iter	TotalF1	MultiClass
0	0.7706128917	1.054511713
1	0.7617228284	1.018157946
2	0.7698862183	0.9785246169
3	0.7652301309	0.9439330393
4	0.7691153517	0.9188088017
5	0.7636249916	0.887512223
6	0.7636249916	0.8601093758
7	0.7628235415	0.8367603074
8	0.7628235415	0.8125752397
9	0.7620228233	0.7949739579
10	0.7620228233	0.7765588947
11	0.7644271845	0.7606092096
12	0.7644271845	0.7430913581
13	0.7707841896	0.7256028458
14	0.7724066239	0.7157423512
15	0.7732191524	0.7029122243
16	0.774032571	0.6906588756
17	0.775615915	0.6832482443
18	0.7745959172	0.6733377433
19	0.7770524635	0.6654140875
20	0.7751785174	0.6587404165
21	0.7761115999	0.648429816
22	0.776164342	0.6407298546
23	0.7760570583	0.6329725126
24	0.778631771	0.6242278327
25	0.7778082439	0.6180636266
26	0.7760570583	0.6121569484
27	0.7775904656	0.6082515616
28	0.7777567127	0.6002264129
29	0.7785212262	0.5958725964
30	0.7793966222	0.5906963364
31	0.7778082439	0.5839655583
32	0.7794563671	0.5806983182
33	0.7777452702	0.5748205851
34	0.7785111985	0.5689853436
35	0.7777452702	0.5634385608
36	0.7777452702	0.5590779859
37	0.7777933465	0.5535526101
38	0.7785569131	0.5498759208
39	0.7793966222	0.5472815097
40	0.7802700596	0.542229392
41	0.7794434139	0.5381273868
42	0.7803144915	0.5342442866
43	0.7795516961	0.53017903
44	0.7804205695	0.5260174595
45	0.7795516961	0.522487034
46	0.7794885017	0.5203350577
47	0.7794885017	0.5174244995
48	0.7795516961	0.5157283148
49	0.7786809272	0.5121766056
50	0.7803572517	0.5087917802
51	0.7794885017	0.5074002485
52	0.7794885017	0.5058163112
53	0.779427451	0.5045974906
54	0.7802123747	0.5029906967
55	0.7810837521	0.499853935
56	0.781872262	0.4984372182
57	0.7827444671	0.4953688415
58	0.7869623348	0.4931374759
59	0.7861155172	0.4897105354
60	0.7827834065	0.4868001987
61	0.785280768	0.4853428366
62	0.7869514382	0.4840588434
63	0.7877885457	0.4828082251
64	0.7877885457	0.4815102834
65	0.7877542354	0.4804400325
66	0.7877885457	0.4779682313
67	0.7861155172	0.4758977705
68	0.7877885457	0.4746721747
69	0.7902685291	0.4730468958
70	0.7894259941	0.4707184058
71	0.7894259941	0.4693061671
72	0.7911123252	0.4669584194
73	0.7894259941	0.4649874708
74	0.7894259941	0.4636574567
75	0.7902685291	0.4627553333
76	0.7911123252	0.4607436589
77	0.7911123252	0.4594133926
78	0.7911123252	0.4583881779
79	0.7911123252	0.4572011945
80	0.7911123252	0.4552309909
81	0.791957398	0.4539836072
82	0.791957398	0.4524605261
83	0.791957398	0.4506612552
84	0.791957398	0.4489614778
85	0.7941884449	0.4475485058
86	0.7941884449	0.4467333291
87	0.7941884449	0.4446679739
88	0.7963896147	0.4425925509
89	0.7985616545	0.4413358772
90	0.7985894369	0.4394424718
91	0.7985616545	0.4384249238
92	0.800281916	0.4372134216
93	0.7994081824	0.4359575203
94	0.800281916	0.4342753489
95	0.8011301024	0.4321337545
96	0.8019796078	0.4312118586
97	0.8019796078	0.4300068925
98	0.8019796078	0.4288721821
99	0.8019796078	0.4283482899
100	0.8032743216	0.4262931419
101	0.8032743216	0.4253845687
102	0.8049747724	0.4242999642
103	0.8041238797	0.4237093568
104	0.8049747724	0.422558388
105	0.8041238797	0.4214160148
106	0.8049747724	0.4208982987
107	0.8049747724	0.4196924011
108	0.8049747724	0.4185926153
109	0.8049747724	0.4174094802
110	0.8041238797	0.4163653019
111	0.8049747724	0.4150216089
112	0.8041238797	0.4138200363
113	0.8041238797	0.412816093
114	0.8041238797	0.4117769528
115	0.8041238797	0.4108908804
116	0.8041238797	0.409737113
117	0.8041238797	0.4086828471
118	0.8049747724	0.4076496195
119	0.8041238797	0.4061214594
120	0.8041238797	0.4051399657
121	0.8041238797	0.404102042
122	0.8041238797	0.4034942037
123	0.8041238797	0.4025622774
124	0.8041238797	0.4015264357
125	0.807554515	0.3996669328
126	0.806700577	0.3982807306
127	0.806700577	0.397622184
128	0.806700577	0.3970034913
129	0.8079650994	0.3957646581
130	0.8088177258	0.394944398
131	0.8096717149	0.3938634769
132	0.8096717149	0.3930997606
133	0.8096717149	0.3923086463
134	0.8096717149	0.3910186363
135	0.8096717149	0.3894981
136	0.8096717149	0.3888024908
137	0.8096717149	0.3880566179
138	0.8105270832	0.3869372822
139	0.8096717149	0.3856239704
140	0.8105270832	0.3850894656
141	0.8113666999	0.3846173118
142	0.8113666999	0.3836210988
143	0.812242024	0.38277189
144	0.812242024	0.3818145437
145	0.8122259961	0.3812108432
146	0.8139489591	0.3799766054
147	0.8139489591	0.378705217
148	0.8139626831	0.3776077921
149	0.8139626831	0.3771768134
150	0.8139626831	0.3765330059
151	0.8139626831	0.3757499828
152	0.8139626831	0.3752113104
153	0.8160531013	0.3744511311
154	0.8169156665	0.3734511144
155	0.8160531013	0.3724652032
156	0.8160531013	0.371323048
157	0.8160531013	0.3698021638
158	0.8151919997	0.3689685595
159	0.8160531013	0.3681508833
