iter	Passed	Remaining
0	4	1449
1	9	1350
2	12	1243
3	16	1238
4	22	1299
5	37	1831
6	41	1729
7	45	1649
8	48	1576
9	52	1536
10	57	1512
11	61	1476
12	66	1460
13	70	1444
14	74	1414
15	78	1393
16	82	1376
17	86	1355
18	91	1348
19	95	1336
20	99	1323
21	103	1313
22	108	1306
23	114	1312
24	118	1301
25	123	1302
26	128	1296
27	132	1285
28	136	1277
29	141	1277
30	147	1281
31	151	1272
32	156	1266
33	161	1261
34	165	1251
35	169	1244
36	174	1239
37	178	1231
38	183	1228
39	188	1222
40	192	1215
41	196	1209
42	200	1197
43	204	1187
44	207	1178
45	211	1169
46	215	1159
47	219	1151
48	223	1145
49	227	1135
50	230	1125
51	234	1116
52	237	1107
53	241	1098
54	245	1091
55	248	1083
56	252	1077
57	256	1069
58	259	1061
59	263	1054
60	268	1050
61	271	1043
62	275	1036
63	279	1030
64	283	1023
65	286	1016
66	290	1011
67	296	1010
68	300	1006
69	304	1001
70	309	997
71	313	992
72	318	989
73	323	989
74	328	986
75	333	982
76	337	978
77	342	974
78	346	970
79	351	966
80	355	960
81	359	954
82	363	949
83	367	943
84	371	938
85	375	934
86	379	929
87	383	925
88	388	920
89	391	914
90	396	910
91	401	907
92	405	902
93	411	901
94	416	898
95	420	893
96	424	888
97	428	883
98	432	879
99	437	874
100	441	870
101	446	867
102	451	862
103	456	860
104	461	857
105	465	852
106	470	847
107	474	842
108	478	837
109	481	832
110	485	827
111	489	821
112	492	815
113	497	810
114	500	805
115	504	800
116	508	795
117	512	790
118	515	784
119	519	779
120	523	774
121	527	769
122	531	764
123	534	759
124	538	753
125	542	749
126	546	743
127	550	739
128	554	734
129	557	729
130	561	724
131	565	719
132	570	715
133	577	715
134	582	711
135	586	707
136	591	703
137	596	699
138	600	695
139	603	690
140	609	686
141	612	682
142	616	677
143	621	672
144	625	668
145	630	664
146	634	660
147	638	655
148	642	651
149	648	648
150	653	644
151	657	640
152	663	637
153	667	633
154	672	628
155	676	624
156	681	621
157	687	617
158	692	613
159	698	610
160	702	606
161	706	601
162	711	598
163	715	593
164	720	589
165	726	586
166	730	581
167	735	577
168	740	573
169	744	569
170	750	566
171	755	562
172	760	557
173	765	554
174	770	550
175	774	545
176	778	540
177	784	537
178	788	533
179	792	528
180	796	523
181	800	519
182	805	514
183	809	510
184	813	505
185	817	501
186	821	496
187	826	492
188	830	488
189	835	483
190	839	479
191	843	474
192	848	470
193	852	465
194	857	461
195	861	457
196	865	452
197	869	448
198	874	443
199	878	439
200	882	434
201	886	430
202	890	425
203	894	420
204	898	416
205	902	411
206	906	407
207	909	402
208	913	397
209	917	393
210	920	388
211	925	384
212	929	379
213	933	375
214	938	370
215	941	366
216	945	361
217	949	357
218	953	352
219	957	348
220	961	343
221	965	339
222	968	334
223	972	330
224	976	325
225	980	321
226	984	316
227	988	312
228	991	307
229	995	302
230	999	298
231	1002	293
232	1006	289
233	1010	285
234	1014	280
235	1018	276
236	1022	271
237	1027	267
238	1031	263
239	1036	259
240	1040	254
241	1044	250
242	1049	246
243	1053	241
244	1057	237
245	1061	233
246	1065	228
247	1070	224
248	1074	220
249	1078	215
250	1083	211
251	1087	207
252	1092	202
253	1098	198
254	1103	194
255	1108	190
256	1113	186
257	1117	181
258	1122	177
259	1128	173
260	1133	169
261	1137	165
262	1142	160
263	1146	156
264	1151	152
265	1155	147
266	1161	143
267	1165	139
268	1170	134
269	1175	130
270	1180	126
271	1186	122
272	1191	117
273	1195	113
274	1199	109
275	1205	104
276	1211	100
277	1215	96
278	1220	91
279	1224	87
280	1230	83
281	1235	78
282	1242	74
283	1247	70
284	1251	65
285	1256	61
286	1261	57
287	1265	52
288	1270	48
289	1275	43
290	1280	39
291	1285	35
292	1290	30
293	1294	26
294	1298	22
295	1303	17
296	1308	13
297	1313	8
298	1319	4
299	1323	0
