claim_id,manuscript_section,object_type,manuscript_table_or_figure,metric_or_statement,full_precision_value,displayed_value,interval_lower,interval_upper,denominator,dataset,model,policy,uncertainty_method,canonical_source_path,source_row_key,source_column,source_sha256,run_id,config_hash,scientific_input_hash,source_tree_hash,verification_status
T03_xgboost_macro_f1,Results,numerical_result,Table 3,macro_f1,0.6210211647446707,0.6210,0.5973194455340743,0.6446899209821426,1200.0,inx_primary,xgboost,no_salary_hike_no_attrition_no_department,paired_stratified_percentile,reports/manuscript_final/canonical_v2_20260714T221501Z_483f96f/core/core_tables/table_03_four_model_nested_benchmark.csv,csv_row=31;record=model_summary;source_row=30,macro_f1,45c0aa5c793cd6066235fead2370d23fa88eb161694cabfb93fbe9ae5a1730ce,canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,verified;direction=higher;rounding=decimal ROUND_HALF_EVEN to 4 places; integer denominators unrounded
T03_xgboost_quadratic_weighted_kappa,Results,numerical_result,Table 3,quadratic_weighted_kappa,0.567602077831626,0.5676,0.5351869047456209,0.5997216934759624,1200.0,inx_primary,xgboost,no_salary_hike_no_attrition_no_department,paired_stratified_percentile,reports/manuscript_final/canonical_v2_20260714T221501Z_483f96f/core/core_tables/table_03_four_model_nested_benchmark.csv,csv_row=32;record=model_summary;source_row=31,quadratic_weighted_kappa,45c0aa5c793cd6066235fead2370d23fa88eb161694cabfb93fbe9ae5a1730ce,canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,verified;direction=higher;rounding=decimal ROUND_HALF_EVEN to 4 places; integer denominators unrounded
T03_xgboost_balanced_accuracy,Results,numerical_result,Table 3,balanced_accuracy,0.6360452170862891,0.6360,0.6110128017655619,0.6611369167744348,1200.0,inx_primary,xgboost,no_salary_hike_no_attrition_no_department,paired_stratified_percentile,reports/manuscript_final/canonical_v2_20260714T221501Z_483f96f/core/core_tables/table_03_four_model_nested_benchmark.csv,csv_row=30;record=model_summary;source_row=29,balanced_accuracy,45c0aa5c793cd6066235fead2370d23fa88eb161694cabfb93fbe9ae5a1730ce,canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,verified;direction=higher;rounding=decimal ROUND_HALF_EVEN to 4 places; integer denominators unrounded
T03_xgboost_ordinal_mae,Results,numerical_result,Table 3,ordinal_mae,0.2433333333333333,0.2433,0.2225,0.2641874999999997,1200.0,inx_primary,xgboost,no_salary_hike_no_attrition_no_department,paired_stratified_percentile,reports/manuscript_final/canonical_v2_20260714T221501Z_483f96f/core/core_tables/table_03_four_model_nested_benchmark.csv,csv_row=33;record=model_summary;source_row=32,ordinal_mae,45c0aa5c793cd6066235fead2370d23fa88eb161694cabfb93fbe9ae5a1730ce,canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,verified;direction=lower;rounding=decimal ROUND_HALF_EVEN to 4 places; integer denominators unrounded
T03_xgboost_severe_error_rate,Results,numerical_result,Table 3,severe_error_rate,0.0025,0.0025,0.0,0.0058333333333333,1200.0,inx_primary,xgboost,no_salary_hike_no_attrition_no_department,paired_stratified_percentile,reports/manuscript_final/canonical_v2_20260714T221501Z_483f96f/core/core_tables/table_03_four_model_nested_benchmark.csv,csv_row=34;record=model_summary;source_row=33,severe_error_rate,45c0aa5c793cd6066235fead2370d23fa88eb161694cabfb93fbe9ae5a1730ce,canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,verified;direction=lower;rounding=decimal ROUND_HALF_EVEN to 4 places; integer denominators unrounded
T03_logistic_regression_macro_f1,Results,numerical_result,Table 3,macro_f1,0.5062207027280411,0.5062,0.480282663864473,0.5318407479346046,1200.0,inx_primary,logistic_regression,no_salary_hike_no_attrition_no_department,paired_stratified_percentile,reports/manuscript_final/canonical_v2_20260714T221501Z_483f96f/core/core_tables/table_03_four_model_nested_benchmark.csv,csv_row=13;record=model_summary;source_row=12,macro_f1,45c0aa5c793cd6066235fead2370d23fa88eb161694cabfb93fbe9ae5a1730ce,canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,verified;direction=higher;rounding=decimal ROUND_HALF_EVEN to 4 places; integer denominators unrounded
T03_logistic_regression_quadratic_weighted_kappa,Results,numerical_result,Table 3,quadratic_weighted_kappa,0.3710113475438177,0.3710,0.3259717577362251,0.4149155196885946,1200.0,inx_primary,logistic_regression,no_salary_hike_no_attrition_no_department,paired_stratified_percentile,reports/manuscript_final/canonical_v2_20260714T221501Z_483f96f/core/core_tables/table_03_four_model_nested_benchmark.csv,csv_row=14;record=model_summary;source_row=13,quadratic_weighted_kappa,45c0aa5c793cd6066235fead2370d23fa88eb161694cabfb93fbe9ae5a1730ce,canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,verified;direction=higher;rounding=decimal ROUND_HALF_EVEN to 4 places; integer denominators unrounded
T03_logistic_regression_balanced_accuracy,Results,numerical_result,Table 3,balanced_accuracy,0.5240114347370947,0.5240,0.4950156332248385,0.5528363547122837,1200.0,inx_primary,logistic_regression,no_salary_hike_no_attrition_no_department,paired_stratified_percentile,reports/manuscript_final/canonical_v2_20260714T221501Z_483f96f/core/core_tables/table_03_four_model_nested_benchmark.csv,csv_row=12;record=model_summary;source_row=11,balanced_accuracy,45c0aa5c793cd6066235fead2370d23fa88eb161694cabfb93fbe9ae5a1730ce,canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,verified;direction=higher;rounding=decimal ROUND_HALF_EVEN to 4 places; integer denominators unrounded
T03_logistic_regression_ordinal_mae,Results,numerical_result,Table 3,ordinal_mae,0.355,0.3550,0.3316666666666666,0.3783333333333333,1200.0,inx_primary,logistic_regression,no_salary_hike_no_attrition_no_department,paired_stratified_percentile,reports/manuscript_final/canonical_v2_20260714T221501Z_483f96f/core/core_tables/table_03_four_model_nested_benchmark.csv,csv_row=15;record=model_summary;source_row=14,ordinal_mae,45c0aa5c793cd6066235fead2370d23fa88eb161694cabfb93fbe9ae5a1730ce,canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,verified;direction=lower;rounding=decimal ROUND_HALF_EVEN to 4 places; integer denominators unrounded
T03_logistic_regression_severe_error_rate,Results,numerical_result,Table 3,severe_error_rate,0.0125,0.0125,0.0066666666666666,0.0183333333333333,1200.0,inx_primary,logistic_regression,no_salary_hike_no_attrition_no_department,paired_stratified_percentile,reports/manuscript_final/canonical_v2_20260714T221501Z_483f96f/core/core_tables/table_03_four_model_nested_benchmark.csv,csv_row=16;record=model_summary;source_row=15,severe_error_rate,45c0aa5c793cd6066235fead2370d23fa88eb161694cabfb93fbe9ae5a1730ce,canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,verified;direction=lower;rounding=decimal ROUND_HALF_EVEN to 4 places; integer denominators unrounded
