run_id,config_hash,scientific_input_hash,fold_contract_hash,policy,model,model_set_sha256,feature,mean_abs_grouped_shap,control_type,sensitive_or_proxy,leakage_risk,allowed_for_final_model,governance_notes,rank,n_outer_models,class_label,_canonical_csv_row
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,no_salary_hike_no_attrition_no_department,xgboost,d483d8ddb93a47a99a2eab54fe3d138d8f614798dd418bca860ea3f20c813f51,EmpEnvironmentSatisfaction,2.3806215549260377,manager_controllable,not_sensitive,medium,True,May be measured near evaluation time; use as decision-support signal with temporality warning.,1,10,2,2
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,no_salary_hike_no_attrition_no_department,xgboost,d483d8ddb93a47a99a2eab54fe3d138d8f614798dd418bca860ea3f20c813f51,YearsSinceLastPromotion,1.1131951364440222,organisation_controllable,possible_proxy,medium,True,May encode prior performance or promotion decisions; audit as historical-decision proxy.,2,10,2,3
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,no_salary_hike_no_attrition_no_department,xgboost,d483d8ddb93a47a99a2eab54fe3d138d8f614798dd418bca860ea3f20c813f51,EmpWorkLifeBalance,0.49184398660513884,manager_controllable,possible_proxy,medium,True,Often shaped by manager/team constraints; avoid employee-blaming recommendations.,3,10,2,4
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,no_salary_hike_no_attrition_no_department,xgboost,d483d8ddb93a47a99a2eab54fe3d138d8f614798dd418bca860ea3f20c813f51,EmpJobRole,0.4503312925728126,organisation_controllable,possible_proxy,low,True,May proxy department after EmpDepartment is removed; requires proxy audit.,4,10,2,5
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,no_salary_hike_no_attrition_no_department,xgboost,d483d8ddb93a47a99a2eab54fe3d138d8f614798dd418bca860ea3f20c813f51,ExperienceYearsInCurrentRole,0.41293784239465214,organisation_controllable,possible_proxy,low,True,Role tenure may reflect staffing and promotion pathways.,5,10,2,6
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,no_salary_hike_no_attrition_no_department,xgboost,d483d8ddb93a47a99a2eab54fe3d138d8f614798dd418bca860ea3f20c813f51,YearsWithCurrManager,0.12385575670382726,organisation_controllable,possible_proxy,low,True,Manager assignment and tenure can encode organisational structure.,6,10,2,7
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,no_salary_hike_no_attrition_no_department,xgboost,d483d8ddb93a47a99a2eab54fe3d138d8f614798dd418bca860ea3f20c813f51,EmpHourlyRate,0.10510336537779343,organisation_controllable,possible_proxy,low,True,Compensation-related but less directly outcome-proximal than salary hike; audit for proxy risk.,7,10,2,8
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,no_salary_hike_no_attrition_no_department,xgboost,d483d8ddb93a47a99a2eab54fe3d138d8f614798dd418bca860ea3f20c813f51,DistanceFromHome,0.09135750622255728,immutable,possible_proxy,none,True,Can proxy socioeconomic or location constraints; audit before final use.,8,10,2,9
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,no_salary_hike_no_attrition_no_department,xgboost,d483d8ddb93a47a99a2eab54fe3d138d8f614798dd418bca860ea3f20c813f51,EmpJobLevel,0.08672580533854973,organisation_controllable,possible_proxy,low,True,Seniority/level may encode historical opportunity and organisational structure.,9,10,2,10
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,no_salary_hike_no_attrition_no_department,xgboost,d483d8ddb93a47a99a2eab54fe3d138d8f614798dd418bca860ea3f20c813f51,EmpEducationLevel,0.07845332767091652,employee_controllable,possible_proxy,none,True,Partly employee-controllable over long horizons; not a short-term prescription.,10,10,2,11
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,no_salary_hike_no_attrition_no_department,xgboost,d483d8ddb93a47a99a2eab54fe3d138d8f614798dd418bca860ea3f20c813f51,EducationBackground,0.07841723466697052,immutable,possible_proxy,low,True,May encode social or demographic proxy effects; audit subgroup and proxy behavior.,11,10,2,12
