run_id,config_hash,scientific_input_hash,source_tree_hash,metric_schema_hash,table_id,dataset_identity,model_identity,evaluation_scope,denominator,uncertainty_method,source_artifact,source_sha256,source_record_type,source_row_number,task_type,comparison_group,metric,display_name,family,applicable,not_applicable_reason,better_direction,domain_lower_bound,domain_upper_bound,unit,estimand,aggregation,requires_probabilities,uncertainty_unit,uncertainty_resamples,confidence_level,selection_role,cross_task_comparability,contract_table_key,contract_table_number,contract_title,claim_boundary
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,98ae57b622a56983192975c5bff94374ed51322f13c76af633c3c96ceb198cdd,reproducibility_and_claim_boundaries,nominal_multiclass_proxy_diagnostic,all_core_models_as_declared,machine_readable_metric_and_claim_contract,complete_task_oof_sample_count,paired_stratified_percentile_bootstrap,run_inputs/canonical_config_snapshot.yaml,f8a6354ab67757c5d92c93cef2fe03ab88f4b16b10ce470f2db97ed4d0407779,metric_definition,37,nominal_multiclass_proxy_diagnostic,nominal_proxy_risk_diagnostic,accuracy,Accuracy,classification,True,,higher,0.0,1.0,proportion,fraction of samples classified correctly,all_exactly_once_out_of_fold_samples,False,sample,5000.0,0.95,not_used_for_selection,Department reconstructability is a nominal multiclass proxy-risk diagnostic. It is not an employee-performance task and ordinal metrics are inapplicable.,,,,
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,98ae57b622a56983192975c5bff94374ed51322f13c76af633c3c96ceb198cdd,reproducibility_and_claim_boundaries,nominal_multiclass_proxy_diagnostic,all_core_models_as_declared,machine_readable_metric_and_claim_contract,complete_task_oof_sample_count,paired_stratified_percentile_bootstrap,run_inputs/canonical_config_snapshot.yaml,f8a6354ab67757c5d92c93cef2fe03ab88f4b16b10ce470f2db97ed4d0407779,metric_definition,38,nominal_multiclass_proxy_diagnostic,nominal_proxy_risk_diagnostic,adjacent_accuracy,Adjacent accuracy,ordinal,False,Department reconstructability is a nominal multiclass proxy-risk diagnostic. It is not an employee-performance task and ordinal metrics are inapplicable.,higher,0.0,1.0,proportion,fraction of predictions within one ordered class,all_exactly_once_out_of_fold_samples,False,sample,5000.0,0.95,not_used_for_selection,Department reconstructability is a nominal multiclass proxy-risk diagnostic. It is not an employee-performance task and ordinal metrics are inapplicable.,,,,
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,98ae57b622a56983192975c5bff94374ed51322f13c76af633c3c96ceb198cdd,reproducibility_and_claim_boundaries,nominal_multiclass_proxy_diagnostic,all_core_models_as_declared,machine_readable_metric_and_claim_contract,complete_task_oof_sample_count,paired_stratified_percentile_bootstrap,run_inputs/canonical_config_snapshot.yaml,f8a6354ab67757c5d92c93cef2fe03ab88f4b16b10ce470f2db97ed4d0407779,metric_definition,39,nominal_multiclass_proxy_diagnostic,nominal_proxy_risk_diagnostic,average_precision,Average precision,ranking,False,Department reconstructability is a nominal multiclass proxy-risk diagnostic. It is not an employee-performance task and ordinal metrics are inapplicable.,higher,0.0,1.0,proportion,positive-class precision-recall summary,all_exactly_once_out_of_fold_samples,True,sample,5000.0,0.95,not_used_for_selection,Department reconstructability is a nominal multiclass proxy-risk diagnostic. It is not an employee-performance task and ordinal metrics are inapplicable.,,,,
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,98ae57b622a56983192975c5bff94374ed51322f13c76af633c3c96ceb198cdd,reproducibility_and_claim_boundaries,nominal_multiclass_proxy_diagnostic,all_core_models_as_declared,machine_readable_metric_and_claim_contract,complete_task_oof_sample_count,paired_stratified_percentile_bootstrap,run_inputs/canonical_config_snapshot.yaml,f8a6354ab67757c5d92c93cef2fe03ab88f4b16b10ce470f2db97ed4d0407779,metric_definition,40,nominal_multiclass_proxy_diagnostic,nominal_proxy_risk_diagnostic,balanced_accuracy,Balanced accuracy,classification,True,,higher,0.0,1.0,proportion,unweighted mean recall across observed classes,all_exactly_once_out_of_fold_samples,False,sample,5000.0,0.95,tie_break,Department reconstructability is a nominal multiclass proxy-risk diagnostic. It is not an employee-performance task and ordinal metrics are inapplicable.,,,,
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,98ae57b622a56983192975c5bff94374ed51322f13c76af633c3c96ceb198cdd,reproducibility_and_claim_boundaries,nominal_multiclass_proxy_diagnostic,all_core_models_as_declared,machine_readable_metric_and_claim_contract,complete_task_oof_sample_count,paired_stratified_percentile_bootstrap,run_inputs/canonical_config_snapshot.yaml,f8a6354ab67757c5d92c93cef2fe03ab88f4b16b10ce470f2db97ed4d0407779,metric_definition,41,nominal_multiclass_proxy_diagnostic,nominal_proxy_risk_diagnostic,binary_brier,Binary Brier score,probability,False,Department reconstructability is a nominal multiclass proxy-risk diagnostic. It is not an employee-performance task and ordinal metrics are inapplicable.,lower,0.0,1.0,squared_probability_error,mean squared positive-class probability error,all_exactly_once_out_of_fold_samples,True,sample,5000.0,0.95,not_used_for_selection,Department reconstructability is a nominal multiclass proxy-risk diagnostic. It is not an employee-performance task and ordinal metrics are inapplicable.,,,,
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,98ae57b622a56983192975c5bff94374ed51322f13c76af633c3c96ceb198cdd,reproducibility_and_claim_boundaries,nominal_multiclass_proxy_diagnostic,all_core_models_as_declared,machine_readable_metric_and_claim_contract,complete_task_oof_sample_count,paired_stratified_percentile_bootstrap,run_inputs/canonical_config_snapshot.yaml,f8a6354ab67757c5d92c93cef2fe03ab88f4b16b10ce470f2db97ed4d0407779,metric_definition,42,nominal_multiclass_proxy_diagnostic,nominal_proxy_risk_diagnostic,ece_confidence,Confidence ECE,calibration,True,,lower,0.0,1.0,absolute_probability_gap,support-weighted absolute confidence-accuracy gap across fixed bins,all_exactly_once_out_of_fold_samples,True,sample,5000.0,0.95,not_used_for_selection,Department reconstructability is a nominal multiclass proxy-risk diagnostic. It is not an employee-performance task and ordinal metrics are inapplicable.,,,,
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,98ae57b622a56983192975c5bff94374ed51322f13c76af633c3c96ceb198cdd,reproducibility_and_claim_boundaries,nominal_multiclass_proxy_diagnostic,all_core_models_as_declared,machine_readable_metric_and_claim_contract,complete_task_oof_sample_count,paired_stratified_percentile_bootstrap,run_inputs/canonical_config_snapshot.yaml,f8a6354ab67757c5d92c93cef2fe03ab88f4b16b10ce470f2db97ed4d0407779,metric_definition,43,nominal_multiclass_proxy_diagnostic,nominal_proxy_risk_diagnostic,macro_f1,Macro-F1,classification,True,,higher,0.0,1.0,proportion,unweighted mean class-specific F1,all_exactly_once_out_of_fold_samples,False,sample,5000.0,0.95,primary,Department reconstructability is a nominal multiclass proxy-risk diagnostic. It is not an employee-performance task and ordinal metrics are inapplicable.,,,,
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,98ae57b622a56983192975c5bff94374ed51322f13c76af633c3c96ceb198cdd,reproducibility_and_claim_boundaries,nominal_multiclass_proxy_diagnostic,all_core_models_as_declared,machine_readable_metric_and_claim_contract,complete_task_oof_sample_count,paired_stratified_percentile_bootstrap,run_inputs/canonical_config_snapshot.yaml,f8a6354ab67757c5d92c93cef2fe03ab88f4b16b10ce470f2db97ed4d0407779,metric_definition,44,nominal_multiclass_proxy_diagnostic,nominal_proxy_risk_diagnostic,macro_precision,Macro precision,classification,True,,higher,0.0,1.0,proportion,unweighted mean class-specific precision,all_exactly_once_out_of_fold_samples,False,sample,5000.0,0.95,not_used_for_selection,Department reconstructability is a nominal multiclass proxy-risk diagnostic. It is not an employee-performance task and ordinal metrics are inapplicable.,,,,
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,98ae57b622a56983192975c5bff94374ed51322f13c76af633c3c96ceb198cdd,reproducibility_and_claim_boundaries,nominal_multiclass_proxy_diagnostic,all_core_models_as_declared,machine_readable_metric_and_claim_contract,complete_task_oof_sample_count,paired_stratified_percentile_bootstrap,run_inputs/canonical_config_snapshot.yaml,f8a6354ab67757c5d92c93cef2fe03ab88f4b16b10ce470f2db97ed4d0407779,metric_definition,45,nominal_multiclass_proxy_diagnostic,nominal_proxy_risk_diagnostic,macro_recall,Macro recall,classification,True,,higher,0.0,1.0,proportion,unweighted mean class-specific recall,all_exactly_once_out_of_fold_samples,False,sample,5000.0,0.95,not_used_for_selection,Department reconstructability is a nominal multiclass proxy-risk diagnostic. It is not an employee-performance task and ordinal metrics are inapplicable.,,,,
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,98ae57b622a56983192975c5bff94374ed51322f13c76af633c3c96ceb198cdd,reproducibility_and_claim_boundaries,nominal_multiclass_proxy_diagnostic,all_core_models_as_declared,machine_readable_metric_and_claim_contract,complete_task_oof_sample_count,paired_stratified_percentile_bootstrap,run_inputs/canonical_config_snapshot.yaml,f8a6354ab67757c5d92c93cef2fe03ab88f4b16b10ce470f2db97ed4d0407779,metric_definition,46,nominal_multiclass_proxy_diagnostic,nominal_proxy_risk_diagnostic,multiclass_brier,Multiclass Brier score,probability,True,,lower,0.0,2.0,squared_probability_error,mean summed squared class-probability error,all_exactly_once_out_of_fold_samples,True,sample,5000.0,0.95,not_used_for_selection,Department reconstructability is a nominal multiclass proxy-risk diagnostic. It is not an employee-performance task and ordinal metrics are inapplicable.,,,,
