panel,rank,feature_family,fold_top10_frequency,governance_category,temporality_status,mean_absolute_grouped_shap_full_precision,mean_absolute_grouped_shap_display,mean_absolute_grouped_shap_ci_lower_full_precision,mean_absolute_grouped_shap_ci_upper_full_precision,mean_absolute_grouped_shap_interval_display,top_k,fold_pair_count,jaccard_median_full_precision,jaccard_median_display,jaccard_iqr_full_precision,jaccard_iqr_display,jaccard_range_full_precision,jaccard_range_display,spearman_median_full_precision,spearman_median_display,spearman_iqr_display,spearman_range_display,inference_status,jaccard_descriptive_full_precision,jaccard_descriptive_display,jaccard_descriptive_ci_lower_full_precision,jaccard_descriptive_ci_upper_full_precision,jaccard_descriptive_interval_display
A_attribution,1,EmpEnvironmentSatisfaction,10,manager_controllable; sensitive_or_proxy=not_sensitive; leakage_risk=medium,May be measured near evaluation time; use as decision-support signal with temporality warning.,1.0788599271198551,1.0789,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
A_attribution,2,YearsSinceLastPromotion,10,organisation_controllable; sensitive_or_proxy=possible_proxy; leakage_risk=medium,May encode prior performance or promotion decisions; audit as historical-decision proxy.,0.5251686564541564,0.5252,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
A_attribution,3,EmpJobRole,10,organisation_controllable; sensitive_or_proxy=possible_proxy; leakage_risk=low,May proxy department after EmpDepartment is removed; requires proxy audit.,0.2653350595046543,0.2653,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
A_attribution,4,EmpWorkLifeBalance,10,manager_controllable; sensitive_or_proxy=possible_proxy; leakage_risk=medium,Often shaped by manager/team constraints; avoid employee-blaming recommendations.,0.2518347756181781,0.2518,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
A_attribution,5,ExperienceYearsInCurrentRole,10,organisation_controllable; sensitive_or_proxy=possible_proxy; leakage_risk=low,Role tenure may reflect staffing and promotion pathways.,0.2242619052709617,0.2243,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
A_attribution,6,EmpHourlyRate,10,organisation_controllable; sensitive_or_proxy=possible_proxy; leakage_risk=low,Compensation-related but less directly outcome-proximal than salary hike; audit for proxy risk.,0.1322206985990144,0.1322,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
A_attribution,7,YearsWithCurrManager,10,organisation_controllable; sensitive_or_proxy=possible_proxy; leakage_risk=low,Manager assignment and tenure can encode organisational structure.,0.1025085072464046,0.1025,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
A_attribution,8,DistanceFromHome,9,immutable; sensitive_or_proxy=possible_proxy; leakage_risk=none,Can proxy socioeconomic or location constraints; audit before final use.,0.0992775367555138,0.0993,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
A_attribution,9,TotalWorkExperienceInYears,9,immutable; sensitive_or_proxy=possible_proxy; leakage_risk=none,May proxy age and historical opportunity.,0.0910416613879836,0.0910,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
A_attribution,10,EmpJobSatisfaction,4,manager_controllable; sensitive_or_proxy=not_sensitive; leakage_risk=medium,Potentially concurrent survey measure; reason codes need non-causal warning.,0.0770187014603369,0.0770,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
A_attribution,11,ExperienceYearsAtThisCompany,3,immutable; sensitive_or_proxy=possible_proxy; leakage_risk=none,Tenure can proxy age and internal opportunity.,0.0728905706959469,0.0729,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
A_attribution,12,TrainingTimesLastYear,1,employee_controllable; sensitive_or_proxy=not_sensitive; leakage_risk=low,Partly employee-controllable but often organisation-mediated.,0.0643242312548439,0.0643,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
A_attribution,13,BusinessTravelFrequency,1,organisation_controllable; sensitive_or_proxy=possible_proxy; leakage_risk=low,Assignment/travel pattern may reflect role or organisational constraints.,0.0579972218376315,0.0580,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
A_attribution,14,NumCompaniesWorked,0,immutable; sensitive_or_proxy=possible_proxy; leakage_risk=none,"Work history can proxy age, opportunity, or labor-market history.",0.0557993290165339,0.0558,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
A_attribution,15,EducationBackground,1,immutable; sensitive_or_proxy=possible_proxy; leakage_risk=low,May encode social or demographic proxy effects; audit subgroup and proxy behavior.,0.0541235560850186,0.0541,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
A_attribution,16,EmpEducationLevel,2,employee_controllable; sensitive_or_proxy=possible_proxy; leakage_risk=none,Partly employee-controllable over long horizons; not a short-term prescription.,0.0530352430750483,0.0530,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
A_attribution,17,EmpRelationshipSatisfaction,0,manager_controllable; sensitive_or_proxy=not_sensitive; leakage_risk=medium,Potentially concurrent survey measure; use non-causal interpretation.,0.0453795527070299,0.0454,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
