panel,audited_attribute,eligible_groups,support_context,metric,class_label,support_status,headline_eligible,largest_supported_gap_full_precision,largest_supported_gap_display,largest_supported_gap_ci_lower_full_precision,largest_supported_gap_ci_upper_full_precision,largest_supported_gap_interval_display,predictor_policy,target_class_support,estimation_status,interpretation,proxy_metric_full_precision,proxy_metric_display,proxy_metric_ci_lower_full_precision,proxy_metric_ci_upper_full_precision,proxy_metric_interval_display
A_supported_subgroup,Age,"[""18-29"",""30-39"",""40-49"",""50-59""]",groups=4.0; minimum_group_support=137.0; metric_denominator>=137.0,accuracy,N/A,support_sufficient_descriptive_estimate,True,0.0843166671475145,0.0843,0.0342287903437052,0.1624761290660581,"[0.0342, 0.1625]",,,,,,,,,
A_supported_subgroup,Age,"[""18-29"",""30-39"",""40-49"",""50-59""]",groups=4.0; minimum_group_support=137.0; metric_denominator>=111.0,false_positive_rate,2.0,support_sufficient_descriptive_estimate,True,0.0143432906590801,0.0143,0.0086375742840238,0.0636328096522563,"[0.0086, 0.0636]",,,,,,,,,
A_supported_subgroup,Age,"[""18-29"",""30-39"",""40-49"",""50-59""]",groups=4.0; minimum_group_support=137.0; metric_denominator>=40.0,false_positive_rate,3.0,support_sufficient_descriptive_estimate,True,0.0716049382716049,0.0716,0.0411878630105231,0.2640463843272831,"[0.0412, 0.2640]",,,,,,,,,
A_supported_subgroup,Age,"[""18-29"",""30-39"",""40-49"",""50-59""]",groups=4.0; minimum_group_support=137.0; metric_denominator>=123.0,false_positive_rate,4.0,support_sufficient_descriptive_estimate,True,0.0956639566395663,0.0957,0.0515893472408828,0.1462128831633667,"[0.0516, 0.1462]",,,,,,,,,
A_supported_subgroup,Age,"[""18-29"",""30-39"",""40-49"",""50-59""]",groups=4.0; minimum_group_support=137.0; metric_denominator>=137.0,macro_f1,N/A,support_sufficient_descriptive_estimate,True,0.0300952607810995,0.0301,0.019823295147815,0.1254568817732602,"[0.0198, 0.1255]",,,,,,,,,
A_supported_subgroup,Age,"[""18-29"",""30-39"",""40-49"",""50-59""]",groups=4.0; minimum_group_support=137.0; metric_denominator>=137.0,mean_predicted_probability,2.0,support_sufficient_descriptive_estimate,True,0.0595504407959114,0.0596,0.021744898197455,0.1340703321345737,"[0.0217, 0.1341]",,,,,,,,,
A_supported_subgroup,Age,"[""18-29"",""30-39"",""40-49"",""50-59""]",groups=4.0; minimum_group_support=137.0; metric_denominator>=137.0,mean_predicted_probability,3.0,support_sufficient_descriptive_estimate,True,0.0471324309717463,0.0471,0.0221730104038171,0.1061612676550236,"[0.0222, 0.1062]",,,,,,,,,
A_supported_subgroup,Age,"[""18-29"",""30-39"",""40-49"",""50-59""]",groups=4.0; minimum_group_support=137.0; metric_denominator>=137.0,mean_predicted_probability,4.0,support_sufficient_descriptive_estimate,True,0.0690327908427651,0.0690,0.0385443705091564,0.1033483960745337,"[0.0385, 0.1033]",,,,,,,,,
A_supported_subgroup,Age,"[""18-29"",""30-39"",""40-49"",""50-59""]",groups=4.0; minimum_group_support=137.0; metric_denominator>=137.0,positive_prediction_rate,2.0,support_sufficient_descriptive_estimate,True,0.0543754613302714,0.0544,0.0217870465055325,0.1370432892871015,"[0.0218, 0.1370]",,,,,,,,,
A_supported_subgroup,Age,"[""18-29"",""30-39"",""40-49"",""50-59""]",groups=4.0; minimum_group_support=137.0; metric_denominator>=137.0,positive_prediction_rate,3.0,support_sufficient_descriptive_estimate,True,0.0647524097764439,0.0648,0.029391332076706,0.1615082178560447,"[0.0294, 0.1615]",,,,,,,,,
A_supported_subgroup,Age,"[""18-29"",""30-39"",""40-49"",""50-59""]",groups=4.0; minimum_group_support=137.0; metric_denominator>=137.0,positive_prediction_rate,4.0,support_sufficient_descriptive_estimate,True,0.0971264533625688,0.0971,0.0562507186850014,0.1453093910015791,"[0.0563, 0.1453]",,,,,,,,,
A_supported_subgroup,Age,"[""18-29"",""30-39"",""40-49"",""50-59""]",groups=4.0; minimum_group_support=137.0; metric_denominator>=29.0,precision,2.0,support_sufficient_descriptive_estimate,True,0.0331164991129508,0.0331,0.0337686660029865,0.2323823937341926,"[0.0338, 0.2324]",,,,,,,,,
A_supported_subgroup,Age,"[""18-29"",""30-39"",""40-49"",""50-59""]",groups=4.0; minimum_group_support=137.0; metric_denominator>=101.0,precision,3.0,support_sufficient_descriptive_estimate,True,0.0202557343271823,0.0203,0.0167002410656721,0.1096759986173607,"[0.0167, 0.1097]",,,,,,,,,
A_supported_subgroup,Age,"[""18-29"",""30-39"",""40-49""]",groups=3.0; minimum_group_support=267.0; metric_denominator>=33.0,precision,4.0,support_sufficient_descriptive_estimate,True,0.0484848484848484,0.0485,0.0186684661524351,0.2317430178822584,"[0.0187, 0.2317]",,,,,,,,,
A_supported_subgroup,Age,"[""18-29"",""30-39"",""40-49"",""50-59""]",groups=4.0; minimum_group_support=137.0; metric_denominator>=26.0,true_positive_rate,2.0,support_sufficient_descriptive_estimate,True,0.0625641025641025,0.0626,0.030349977837466,0.19565607088899,"[0.0303, 0.1957]",,,,,,,,,
A_supported_subgroup,Age,"[""18-29"",""30-39"",""40-49"",""50-59""]",groups=4.0; minimum_group_support=137.0; metric_denominator>=97.0,true_positive_rate,3.0,support_sufficient_descriptive_estimate,True,0.1179314752549531,0.1179,0.0546856180827057,0.1928005103739783,"[0.0547, 0.1928]",,,,,,,,,
