feature,importance
EmpEnvironmentSatisfaction,39.08590425107907
EmpLastSalaryHikePercent,29.51501874907977
YearsSinceLastPromotion,17.517917445803462
EmpDepartment,5.325344236496862
ExperienceYearsInCurrentRole,2.15715001033887
EmpWorkLifeBalance,1.7524672984016871
YearsWithCurrManager,0.5535296436223783
EmpJobRole,0.49175667629714437
ExperienceYearsAtThisCompany,0.4726409875824035
BusinessTravelFrequency,0.4483360917160228
EducationBackground,0.42109002175885357
EmpJobInvolvement,0.2960126344757057
TotalWorkExperienceInYears,0.266452519178027
EmpRelationshipSatisfaction,0.2534475298504947
NumCompaniesWorked,0.24156496486503723
EmpHourlyRate,0.20980805073068534
Attrition,0.194177942455555
DistanceFromHome,0.1588138418129202
Age,0.1580444592637972
EmpJobSatisfaction,0.1413265042009768
OverTime,0.12876305340480979
EmpJobLevel,0.12254838389399336
EmpEducationLevel,0.05175534880232107
TrainingTimesLastYear,0.036129354889161414
