feature_set,n_features,fold,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,weighted_precision,macro_recall,weighted_recall,ordinal_mae,quadratic_weighted_kappa,adjacent_accuracy,severe_error_rate,roc_auc_ovr_macro,roc_auc_ovr_weighted,pr_auc_macro,pr_auc_weighted
all_features,24,1,0.975,0.9748803827751197,0.9686446886446887,0.9752490842490843,0.9628352490421456,0.9757375478927204,0.9748803827751197,0.975,0.025,0.9533437013996889,1.0,0.0,0.9966611175920224,0.9953511757425741,0.9910864072761129,0.9947382333464099
all_features,24,2,0.9583333333333334,0.9017451846399215,0.9233900767852893,0.9572106772888405,0.9555555555555556,0.9597222222222221,0.9017451846399215,0.9583333333333334,0.05,0.8688524590163934,0.9916666666666667,0.008333333333333333,0.9838910753790104,0.9783424998457789,0.9566542208367749,0.9757988304100447
all_features,24,3,0.95,0.8761041589988959,0.9107389686337055,0.9475252525252525,0.9643401983218917,0.9518115942028985,0.8761041589988959,0.95,0.05,0.8983050847457628,1.0,0.0,0.979837311209932,0.9761623446223128,0.9502424193446951,0.9755444281014558
all_features,24,4,0.875,0.8225984541774015,0.8214285714285715,0.8758928571428571,0.8223864258347017,0.8777025177887247,0.8225984541774015,0.875,0.125,0.765990639625585,1.0,0.0,0.9625805583864414,0.9477879884951113,0.8837525352332576,0.9382541807848717
all_features,24,5,0.9166666666666666,0.8543485149655748,0.8661904761904763,0.9156309523809525,0.8872655122655123,0.9180420274170273,0.8543485149655748,0.9166666666666666,0.09166666666666666,0.7974025974025974,0.9916666666666667,0.008333333333333333,0.9735128179739018,0.9702691023819363,0.928405569435426,0.9646332596741931
all_features,24,6,0.9333333333333333,0.8957018984242214,0.894580066298662,0.9334070788462443,0.8999882546394175,0.9361992013154804,0.8957018984242214,0.9333333333333333,0.075,0.8337531486146096,0.9916666666666667,0.008333333333333333,0.9734858260384426,0.966114724680015,0.8742651975124045,0.940085055322555
all_features,24,7,0.9583333333333334,0.9025788387857353,0.9304388766068943,0.9570560058953573,0.9685185185185184,0.9594444444444445,0.9025788387857353,0.9583333333333334,0.041666666666666664,0.9191374663072777,1.0,0.0,0.9874539869721951,0.9803806759180591,0.9721132529875421,0.9836116142547834
all_features,24,8,0.9333333333333333,0.8615531977600943,0.9018518518518519,0.9309722222222223,0.9540770609318997,0.9350134408602151,0.8615531977600943,0.9333333333333333,0.06666666666666667,0.8653576437587658,1.0,0.0,0.9788725103151465,0.9743433635419617,0.9500342750419716,0.9731580011481703
all_features,24,9,0.925,0.8705570291777188,0.8904192685102587,0.9238198037466547,0.912962962962963,0.9241203703703705,0.8705570291777188,0.925,0.075,0.85553772070626,1.0,0.0,0.9744850186754794,0.9693163881808741,0.9153106455570234,0.955236530068198
all_features,24,10,0.9166666666666666,0.8269672855879753,0.8526184374794664,0.9143866219856758,0.8834498834498835,0.9146853146853147,0.8269672855879753,0.9166666666666666,0.08333333333333333,0.8365567965132117,1.0,0.0,0.9710960898055644,0.9690210280373832,0.9325581394397146,0.9678875053162277
satisfaction_only,5,1,0.7083333333333334,0.37699362041467305,0.36300056401579245,0.64526790750141,0.3689185432304698,0.6025298860161246,0.37699362041467305,0.7083333333333334,0.2916666666666667,0.1646778042959427,1.0,0.0,0.7146823246706481,0.6876714142646743,0.4721259511079418,0.6751979051743243
satisfaction_only,5,2,0.7333333333333333,0.42962519936204147,0.4241838487972509,0.681641967353952,0.434204160619255,0.6456337687469762,0.42962519936204147,0.7333333333333333,0.26666666666666666,0.2857142857142858,1.0,0.0,0.6630290702137086,0.6363377397173128,0.4701274243153426,0.6704487928856151
satisfaction_only,5,3,0.7166666666666667,0.4244877929088455,0.4423666117430634,0.6756969672906781,0.5206349206349206,0.6653968253968253,0.4244877929088455,0.7166666666666667,0.2916666666666667,0.20430107526881724,0.9916666666666667,0.008333333333333333,0.7085924807238898,0.6856646492628236,0.4920437566169958,0.706272152557721
satisfaction_only,5,4,0.7,0.3732057416267942,0.3571465954885644,0.6463285706809022,0.34920634920634913,0.6039682539682539,0.3732057416267942,0.7,0.325,0.015317286652078876,0.975,0.025,0.6701310457190769,0.6632003080565064,0.463126488974007,0.6819520432716542
satisfaction_only,5,5,0.675,0.3651945956846139,0.3506944444444445,0.62109375,0.34700854700854694,0.5803846153846154,0.3651945956846139,0.675,0.3333333333333333,0.10796460176991152,0.9916666666666667,0.008333333333333333,0.7636322382317724,0.7474097645613618,0.5169483976223492,0.7446360421033271
satisfaction_only,5,6,0.675,0.38517270186961655,0.38814632310166647,0.6297738083016801,0.6658119658119658,0.6886965811965812,0.38517270186961655,0.675,0.325,0.18466898954703836,1.0,0.0,0.7044236370778844,0.6770755377424535,0.4680693511920769,0.6791771625869036
satisfaction_only,5,7,0.6666666666666666,0.3578544061302682,0.34146098229867866,0.6150585888805783,0.33247863247863246,0.5742521367521367,0.3578544061302682,0.6666666666666666,0.3416666666666667,0.09218859957776204,0.9916666666666667,0.008333333333333333,0.7091206753821965,0.6844829368450864,0.47043066170709813,0.6796638007088647
satisfaction_only,5,8,0.6666666666666666,0.3578544061302682,0.33934458018227653,0.6140003878223773,0.3269230769230769,0.5714743589743588,0.3578544061302682,0.6666666666666666,0.3416666666666667,0.08769448373408772,0.9916666666666667,0.008333333333333333,0.6935152955177931,0.6804068134617202,0.44604640716148375,0.6585002029429988
