model,train_total_s,predict_total_s,predict_per_sample_ms,throughput_samples_s,model_size_mb
logreg,0.04002980003133416,0.004512999998405575,0.01880416666002323,53179.70309877931,0.009241104125976562
logreg_balanced,0.0405689999461174,0.004834984999615699,0.020145770831732076,49638.209843272736,0.009241104125976562
rf,0.37865970004349947,0.06723234999808483,0.2801347916586868,3569.7101173294786,7.699114799499512
rf_balanced,0.3638241000007838,0.0679026649973821,0.28292777082242543,3534.470996230456,7.875018119812012
svm_rbf,0.10675999999511987,0.013406859996030107,0.055861916650125444,17901.283378141205,0.2829570770263672
knn_5,0.013942299992777407,0.08119131500134244,0.3382971458389268,2955.981190796476,0.4253530502319336
sgd_log_loss,0.03331550001166761,0.004514569998718798,0.018810708327994995,53161.20916678892,0.009454727172851562
mlp,0.11369280004873872,0.004855554999085143,0.02023147916285476,49427.92328481903,0.14911842346191406
voting_soft,2.3864934999728575,0.012955324997892603,0.053980520824552514,18525.201030390203,0.2883577346801758
stacking,3.6976748999441043,0.05894440000411123,0.2456016666837968,4071.6336069798076,5.472599983215332
xgboost,2.0154476000461727,0.007851414999458938,0.032714229164412245,30567.738428874163,1.1667213439941406
lightgbm,0.28459439997095615,0.008580920001259073,0.035753833338579476,27969.028957825612,3.02609920501709
ebm,28.17530840006657,0.006170954997651279,0.025712312490213662,38891.87331480235,19.63195514678955
