sample_index,true_class,predicted_class,desired_class,base_desired_probability,valid_counterfactual_found,best_desired_probability,probability_gain,best_cost,best_num_changes
811,3,3,4,0.07191429844645898,True,0.5621819638552001,0.49026766540874117,1.5126288324345933,1.0
1149,3,3,4,0.10228432270571791,True,0.534208405734907,0.4319240830291891,3.8693813251854223,3.0
662,2,3,4,0.07634664477729873,True,0.598055218323483,0.5217085735461843,4.579501094599506,3.0
542,2,2,3,0.33439095792504964,True,0.8641668263084483,0.5297758683833986,1.0630709597505748,1.0
858,3,3,4,0.08189014844484525,True,0.5513547422156377,0.46946459377079247,1.5126288324345933,1.0
191,3,3,4,0.06901357599961665,True,0.606940865701051,0.5379272897014343,1.2401030659476746,1.0
479,2,2,3,0.35111978178774594,True,0.860153687017445,0.509033905229699,1.0630709597505748,1.0
1,3,3,4,0.0629269311086052,True,0.6345659695955903,0.5716390384869852,2.3302061318953493,1.0
659,3,3,4,0.09408718446657931,True,0.5784639040589205,0.48437671959234113,2.575699792185168,2.0
1136,3,3,4,0.06406295019630799,True,0.622132850630013,0.558069900433705,1.785154598921512,1.0
230,3,3,4,0.07697222029940518,True,0.6137779623360189,0.5368057420366137,1.785154598921512,1.0
612,2,2,3,0.33868701605892076,True,0.8205045104158879,0.48181749435696714,1.0630709597505748,1.0
193,3,3,4,0.07637459147624087,True,0.533364795177952,0.4569902037017111,1.5126288324345933,1.0
148,3,3,4,0.07683553258162787,True,0.5233521337178887,0.4465166011362608,1.785154598921512,1.0
328,3,3,4,0.09563369589064315,True,0.5762909494814625,0.4806572535908194,1.5126288324345933,1.0
390,3,3,4,0.09074107066858345,True,0.6418639190271138,0.5511228483585304,3.665802858132843,2.0
461,3,3,4,0.06351871793812207,True,0.6000119827739905,0.5364932648358685,0.6950515329738374,1.0
694,3,3,4,0.07289463823849077,True,0.558636732056042,0.4857420938175513,2.602731898382268,1.0
732,3,3,4,0.22040067343708486,True,0.6596043893537854,0.43920371591670054,1.9761419195011494,1.0
238,3,3,4,0.0685758401833075,True,0.5772856594699842,0.5087098192866767,1.785154598921512,1.0
385,3,3,4,0.1053986302484557,True,0.6078826424406714,0.5024840121922156,3.393277091645924,2.0
1081,2,2,3,0.2951670617988812,True,0.8526861061196604,0.5575190443207793,1.0630709597505748,1.0
997,2,3,4,0.09400029859167981,True,0.6632084278877047,0.5692081292960249,4.03382228490958,2.0
939,3,3,4,0.10103031839531136,True,0.47810308076299424,0.3770727623676829,3.391753862936568,2.0
43,3,3,4,0.09653976170958284,True,0.6503882548811192,0.5538484931715364,3.7612965184226614,2.0
806,2,2,3,0.25922161713730807,False,,,,
116,3,3,4,0.08417373372381944,True,0.6180989864928137,0.5339252527689943,3.1477834313561055,1.0
1125,2,3,4,0.1061645664581292,True,0.5903164674038396,0.48415190094571037,3.393277091645924,2.0
984,3,3,4,0.10481023363373519,True,0.4739222848448018,0.3691120512110666,5.817453655121737,3.0
1098,3,3,4,0.09991756386485916,True,0.5170320687881471,0.41711450492328794,4.03382228490958,2.0
33,3,3,4,0.06997155097052156,True,0.6144523815831147,0.5444808306125931,0.6950515329738374,1.0
1057,3,3,4,0.06501880952573817,True,0.6187401619640361,0.553721352438298,2.057680365408431,1.0
245,3,3,4,0.06990673163242886,True,0.5834481453200213,0.5135414136875924,2.3302061318953493,1.0
654,4,3,4,0.26445601019833914,True,0.5999233647655715,0.33546735456723237,1.9761419195011494,1.0
1063,3,3,4,0.06693688784142814,True,0.6304105365995443,0.5634736487581161,2.057680365408431,1.0
55,3,3,4,0.07215868854355012,True,0.6854131620714795,0.6132544735279294,2.602731898382268,1.0
979,3,3,4,0.09127677534953949,True,0.6422857407039928,0.5510089653544533,4.089182813674493,2.0
