sampler,model,fold,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,weighted_precision,macro_recall,weighted_recall,ordinal_mae,quadratic_weighted_kappa,adjacent_accuracy,severe_error_rate,roc_auc_ovr_macro,roc_auc_ovr_weighted,pr_auc_macro,pr_auc_weighted
none,lr,1,0.875,0.8031836584468164,0.8209559279950341,0.8727697082557418,0.8412159735689148,0.8718761222437693,0.8031836584468164,0.875,0.125,0.7520661157024793,1.0,0.0,0.962790128675525,0.9491501216418371,0.9256760608926015,0.9540100068899021
none,lr_bal,1,0.775,0.8839712918660286,0.7362048841294123,0.7898955181596691,0.6903594771241829,0.8758374183006536,0.8839712918660286,0.775,0.23333333333333334,0.6629213483146068,0.9916666666666667,0.008333333333333333,0.9595728983394386,0.9417723080719287,0.9268751701600698,0.9528794379249591
none,rf,1,0.9416666666666667,0.8804134462029198,0.9083986380817236,0.9405250586997004,0.946597262386736,0.943040293040293,0.8804134462029198,0.9416666666666667,0.058333333333333334,0.8835274542429284,1.0,0.0,0.9929858233574406,0.9881641625026988,0.9854604567996518,0.9910470818564412
none,rf_bal,1,0.9333333333333333,0.8547724205618943,0.889491405280879,0.9310437710437711,0.9431731502669717,0.9355072463768116,0.8547724205618943,0.9333333333333333,0.06666666666666667,0.864406779661017,1.0,0.0,0.9920703740822501,0.9862999917106197,0.985882299601637,0.99065864675771
smote,lr,1,0.8166666666666667,0.9029106858054226,0.7783681214421252,0.8285863377609107,0.7271825396825397,0.8894593253968254,0.9029106858054226,0.8166666666666667,0.19166666666666668,0.7020262216924911,0.9916666666666667,0.008333333333333333,0.9576799132484287,0.94105286696894,0.9083839210546946,0.9453449886454639
smote,lr_bal,1,0.8166666666666667,0.9029106858054226,0.7783681214421252,0.8285863377609107,0.7271825396825397,0.8894593253968254,0.9029106858054226,0.8166666666666667,0.19166666666666668,0.7020262216924911,0.9916666666666667,0.008333333333333333,0.9576799132484287,0.94105286696894,0.9083839210546946,0.9453449886454639
smote,rf,1,0.9583333333333334,0.9235983314930684,0.9371650007243227,0.9580771041576127,0.9554307116104869,0.9594475655430711,0.9235983314930684,0.9583333333333334,0.041666666666666664,0.9194847020933977,1.0,0.0,0.9939250825794156,0.9896312623376823,0.9888520811193798,0.9929455748644869
smote,rf_bal,1,0.9583333333333334,0.9235983314930684,0.9371650007243227,0.9580771041576127,0.9554307116104869,0.9594475655430711,0.9235983314930684,0.9583333333333334,0.041666666666666664,0.9194847020933977,1.0,0.0,0.9939250825794156,0.9896312623376823,0.9888520811193798,0.9929455748644869
adasyn,lr,1,0.7916666666666666,0.8915470494417863,0.7572553807847925,0.8035992003639063,0.7069930069930069,0.87243006993007,0.8915470494417863,0.7916666666666666,0.20833333333333334,0.7089639115250291,1.0,0.0,0.9588404939446562,0.941808333140557,0.9235407021920715,0.9518826596737596
adasyn,lr_bal,1,0.7916666666666666,0.8915470494417863,0.7572553807847925,0.8035992003639063,0.7069930069930069,0.87243006993007,0.8915470494417863,0.7916666666666666,0.20833333333333334,0.7089639115250291,1.0,0.0,0.9579012347226814,0.9403412333055736,0.9225141375921476,0.9510505404175377
adasyn,rf,1,0.9416666666666667,0.9022665930560668,0.9163045052875561,0.9416711936839056,0.9350187265917603,0.9432911985018727,0.9022665930560668,0.9416666666666667,0.058333333333333334,0.8872785829307568,1.0,0.0,0.9922717408472161,0.986293545753524,0.9878081307931925,0.9914997189925517
adasyn,rf_bal,1,0.95,0.9060544718439455,0.9258985478677969,0.9495864544319601,0.9500974658869396,0.9507407407407408,0.9060544718439455,0.95,0.05,0.9019607843137255,1.0,0.0,0.9927519742626103,0.9872003774559699,0.9885254227394427,0.9918912746759688
smote_tomek,lr,1,0.8166666666666667,0.9029106858054226,0.7783681214421252,0.8285863377609107,0.7271825396825397,0.8894593253968254,0.9029106858054226,0.8166666666666667,0.19166666666666668,0.7020262216924911,0.9916666666666667,0.008333333333333333,0.9576799132484287,0.94105286696894,0.9083839210546946,0.9453449886454639
