feature_set,method,class_label,bin,bin_low,bin_high,n_samples,mean_predicted_probability,observed_frequency,absolute_gap
no_salary_hike_no_attrition,raw,2,1,0.0,0.1,93,0.006824966767404865,0.0,0.006824966767404865
no_salary_hike_no_attrition,raw,2,2,0.1,0.2,4,0.11791642778231635,0.0,0.11791642778231635
no_salary_hike_no_attrition,raw,2,3,0.2,0.30000000000000004,1,0.25406681402858955,0.0,0.25406681402858955
no_salary_hike_no_attrition,raw,2,5,0.4,0.5,1,0.4179559334443661,0.0,0.4179559334443661
no_salary_hike_no_attrition,raw,2,7,0.6000000000000001,0.7000000000000001,2,0.6777860838230734,1.0,0.32221391617692663
no_salary_hike_no_attrition,raw,2,8,0.7000000000000001,0.8,2,0.7699751260929997,1.0,0.23002487390700033
no_salary_hike_no_attrition,raw,2,9,0.8,0.9,4,0.849682032225056,0.75,0.099682032225056
no_salary_hike_no_attrition,raw,2,10,0.9,1.0,13,0.9547127059375389,0.9230769230769231,0.031635782860615747
no_salary_hike_no_attrition,raw,3,1,0.0,0.1,13,0.041195140176705065,0.07692307692307693,0.03572793674637186
no_salary_hike_no_attrition,raw,3,2,0.1,0.2,4,0.1376423369318383,0.25,0.1123576630681617
no_salary_hike_no_attrition,raw,3,3,0.2,0.30000000000000004,3,0.24921379954716802,0.0,0.24921379954716802
no_salary_hike_no_attrition,raw,3,4,0.30000000000000004,0.4,1,0.3142190902886827,0.0,0.3142190902886827
no_salary_hike_no_attrition,raw,3,5,0.4,0.5,1,0.46697076546252636,0.0,0.46697076546252636
no_salary_hike_no_attrition,raw,3,6,0.5,0.6000000000000001,2,0.564985033352564,0.5,0.064985033352564
no_salary_hike_no_attrition,raw,3,7,0.6000000000000001,0.7000000000000001,8,0.650861531780256,0.875,0.22413846821974404
no_salary_hike_no_attrition,raw,3,8,0.7000000000000001,0.8,7,0.7467463288524089,1.0,0.2532536711475911
no_salary_hike_no_attrition,raw,3,9,0.8,0.9,26,0.8504418331183228,0.8846153846153846,0.034173551497061805
no_salary_hike_no_attrition,raw,3,10,0.9,1.0,55,0.9511009071866964,0.8727272727272727,0.07837363445942369
