feature_set,method,fold,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,weighted_precision,macro_recall,weighted_recall,ordinal_mae,quadratic_weighted_kappa,adjacent_accuracy,severe_error_rate,nll_log_loss,multiclass_brier,ece_confidence
no_salary_hike_no_attrition,raw,1,0.8833333333333333,0.6847319347319347,0.6725294418842805,0.8440290578597031,0.927437641723356,0.895124716553288,0.6847319347319347,0.8833333333333333,0.11666666666666667,0.7307692307692308,1.0,0.0,0.4388464054602128,0.22819430372503682,0.08521293490979037
no_salary_hike_no_attrition,sigmoid,1,0.875,0.6590909090909091,0.6232620320855614,0.8249264705882352,0.5911495911495912,0.7802910052910053,0.6590909090909091,0.875,0.125,0.7053045186640472,1.0,0.0,0.40767940242144096,0.22810188403450143,0.06671078120518936
no_salary_hike_no_attrition,isotonic,1,0.8833333333333333,0.6847319347319347,0.6725294418842805,0.8440290578597031,0.927437641723356,0.895124716553288,0.6847319347319347,0.8833333333333333,0.11666666666666667,0.7307692307692308,1.0,0.0,0.7749936990393629,0.22511505048372468,0.07589323047121826
no_salary_hike_no_attrition,raw,2,0.8666666666666667,0.6277910685805422,0.6115694642010432,0.8170744428639165,0.5991285403050108,0.7750272331154684,0.6277910685805422,0.8666666666666667,0.13333333333333333,0.6680497925311204,1.0,0.0,0.489852587239859,0.2582577051398924,0.11085147482572393
no_salary_hike_no_attrition,sigmoid,2,0.8666666666666667,0.6277910685805422,0.6115694642010432,0.8170744428639165,0.5991285403050108,0.7750272331154684,0.6277910685805422,0.8666666666666667,0.13333333333333333,0.6680497925311204,1.0,0.0,0.4516478932243938,0.2504730291894603,0.07346978641835812
no_salary_hike_no_attrition,isotonic,2,0.85,0.6202153110047847,0.5920167303146027,0.8011547554100746,0.5666666666666667,0.7579166666666666,0.6202153110047847,0.85,0.15,0.64,1.0,0.0,0.5995205383248366,0.274297025842346,0.07706122491125819
no_salary_hike_no_attrition,raw,3,0.875,0.667188075082812,0.6668292835475498,0.8389542483660131,0.7720184299131668,0.8412037037037037,0.667188075082812,0.875,0.125,0.7076023391812865,1.0,0.0,0.4551668437570043,0.2346948675955599,0.11469061847281309
no_salary_hike_no_attrition,sigmoid,3,0.875,0.6453349282296651,0.6226677805625174,0.825132275132275,0.6029181865554977,0.7816831683168317,0.6453349282296651,0.875,0.125,0.6945010183299389,1.0,0.0,0.4251161239865533,0.23728963904213593,0.0599376669283117
no_salary_hike_no_attrition,isotonic,3,0.8666666666666667,0.6634001962949331,0.6567962503446374,0.8308491866556381,0.7557823129251701,0.8327210884353742,0.6634001962949331,0.8666666666666667,0.13333333333333333,0.6934865900383143,1.0,0.0,0.5360459761198906,0.23542749689838688,0.06324552028523656
no_salary_hike_no_attrition,raw,4,0.825,0.5950956937799043,0.5625668449197861,0.7776470588235295,0.5334295334295334,0.7354497354497355,0.5950956937799043,0.825,0.175,0.5874263261296659,1.0,0.0,0.5135255624296879,0.2870990562114851,0.0834948420078525
no_salary_hike_no_attrition,sigmoid,4,0.8166666666666667,0.5775518341307815,0.5507364975450082,0.7693126022913257,0.5266666666666667,0.7274166666666666,0.5775518341307815,0.8166666666666667,0.18333333333333332,0.56,1.0,0.0,0.47875659620230804,0.28459124082282206,0.050313100198760764
no_salary_hike_no_attrition,isotonic,4,0.825,0.5950956937799043,0.5625668449197861,0.7776470588235295,0.5334295334295334,0.7354497354497355,0.5950956937799043,0.825,0.175,0.5874263261296659,1.0,0.0,0.7572681655371744,0.29655376943019024,0.05562896564577798
no_salary_hike_no_attrition,raw,5,0.85,0.6438942183043816,0.6304804804804806,0.8085172672672674,0.8888888888888888,0.8662698412698412,0.6438942183043816,0.85,0.15833333333333333,0.6062500000000001,0.9916666666666667,0.008333333333333333,0.4614470502857973,0.26615091350518644,0.07294577467690067
no_salary_hike_no_attrition,sigmoid,5,0.8416666666666667,0.6200846944948578,0.5900635312400019,0.7893710864299099,0.5633333333333334,0.7435833333333333,0.6200846944948578,0.8416666666666667,0.15833333333333333,0.6298701298701299,1.0,0.0,0.4433791742728179,0.2567207315965253,0.04884415522684951
no_salary_hike_no_attrition,isotonic,5,0.8416666666666667,0.6200846944948578,0.5900635312400019,0.7893710864299099,0.5633333333333334,0.7435833333333333,0.6200846944948578,0.8416666666666667,0.15833333333333333,0.6298701298701299,1.0,0.0,0.4178444990885007,0.25399599695652675,0.052401335743722945
no_salary_hike_no_attrition,raw,6,0.8583333333333333,0.6614380779535044,0.6414751973606693,0.8165364675385883,0.8947203998750392,0.874047172758513,0.6614380779535044,0.8583333333333333,0.15,0.631336405529954,0.9916666666666667,0.008333333333333333,0.49971672232502423,0.26865255166852703,0.0997728993270503
