feature_name,missing_count,missing_rate
Age,0,0.0
Attrition,0,0.0
BusinessTravelFrequency,0,0.0
DistanceFromHome,0,0.0
EducationBackground,0,0.0
EmpDepartment,0,0.0
EmpEducationLevel,0,0.0
EmpEnvironmentSatisfaction,0,0.0
EmpHourlyRate,0,0.0
EmpJobInvolvement,0,0.0
EmpJobLevel,0,0.0
EmpJobRole,0,0.0
EmpJobSatisfaction,0,0.0
EmpLastSalaryHikePercent,0,0.0
EmpNumber,0,0.0
EmpRelationshipSatisfaction,0,0.0
EmpWorkLifeBalance,0,0.0
ExperienceYearsAtThisCompany,0,0.0
ExperienceYearsInCurrentRole,0,0.0
Gender,0,0.0
MaritalStatus,0,0.0
NumCompaniesWorked,0,0.0
OverTime,0,0.0
PerformanceRating,0,0.0
TotalWorkExperienceInYears,0,0.0
TrainingTimesLastYear,0,0.0
YearsSinceLastPromotion,0,0.0
YearsWithCurrManager,0,0.0
