feature_name,observed,expected,pandas_dtype,non_null_count,missing_count,missing_rate,n_unique
Age,True,True,int64,1200,0,0.0,43
Attrition,True,True,str,1200,0,0.0,2
BusinessTravelFrequency,True,True,str,1200,0,0.0,3
DistanceFromHome,True,True,int64,1200,0,0.0,29
EducationBackground,True,True,str,1200,0,0.0,6
EmpDepartment,True,True,str,1200,0,0.0,6
EmpEducationLevel,True,True,int64,1200,0,0.0,5
EmpEnvironmentSatisfaction,True,True,int64,1200,0,0.0,4
EmpHourlyRate,True,True,int64,1200,0,0.0,71
EmpJobInvolvement,True,True,int64,1200,0,0.0,4
EmpJobLevel,True,True,int64,1200,0,0.0,5
EmpJobRole,True,True,str,1200,0,0.0,19
EmpJobSatisfaction,True,True,int64,1200,0,0.0,4
EmpLastSalaryHikePercent,True,True,int64,1200,0,0.0,15
EmpNumber,True,True,str,1200,0,0.0,1200
EmpRelationshipSatisfaction,True,True,int64,1200,0,0.0,4
EmpWorkLifeBalance,True,True,int64,1200,0,0.0,4
ExperienceYearsAtThisCompany,True,True,int64,1200,0,0.0,37
ExperienceYearsInCurrentRole,True,True,int64,1200,0,0.0,19
Gender,True,True,str,1200,0,0.0,2
MaritalStatus,True,True,str,1200,0,0.0,3
NumCompaniesWorked,True,True,int64,1200,0,0.0,10
OverTime,True,True,str,1200,0,0.0,2
PerformanceRating,True,True,int64,1200,0,0.0,3
TotalWorkExperienceInYears,True,True,int64,1200,0,0.0,40
TrainingTimesLastYear,True,True,int64,1200,0,0.0,7
YearsSinceLastPromotion,True,True,int64,1200,0,0.0,16
YearsWithCurrManager,True,True,int64,1200,0,0.0,18
