feature_set,model,attribute,metric,class_label,point_estimate,ci_low,ci_high,bootstrap_std,n_boot_valid,n_groups_included,min_group_value,min_group_support,min,max_group_value,max_group_support,max,min_group_support_threshold
no_salary_hike_no_attrition,xgboost,BusinessTravelFrequency,accuracy,,0.04993291163503932,0.015363603552925764,0.11707830700072605,0.02714036526762081,500,3,Travel_Frequently,222,0.8153153153153153,Travel_Rarely,846,0.8652482269503546,30
no_salary_hike_no_attrition,xgboost,BusinessTravelFrequency,false_positive_rate,3.0,0.0809159280150416,0.02381702994905557,0.2738615468730285,0.06466678333012571,500,3,Travel_Rarely,846,0.4337899543378995,Travel_Frequently,222,0.5147058823529411,30
no_salary_hike_no_attrition,xgboost,BusinessTravelFrequency,false_positive_rate,2.0,0.01801801801801802,0.005331334112594571,0.04767158294392522,0.010773440188981359,500,3,Non-Travel,132,0.009009009009009009,Travel_Frequently,222,0.02702702702702703,30
no_salary_hike_no_attrition,xgboost,BusinessTravelFrequency,false_positive_rate,4.0,0.008771929824561403,0.0,0.028587626995645852,0.007664970782382051,500,3,Travel_Rarely,846,0.0,Non-Travel,132,0.008771929824561403,30
no_salary_hike_no_attrition,xgboost,BusinessTravelFrequency,macro_f1,,0.039798668708220575,0.011723133478773653,0.08559450355218139,0.018614861693259734,500,3,Travel_Frequently,222,0.586112759643917,Non-Travel,132,0.6259114283521375,30
no_salary_hike_no_attrition,xgboost,BusinessTravelFrequency,mean_predicted_probability,3.0,0.025083450198893353,0.00976424683629444,0.08995003963643958,0.021766803700799614,500,3,Non-Travel,132,0.7349023103544657,Travel_Rarely,846,0.7599857605533591,30
no_salary_hike_no_attrition,xgboost,BusinessTravelFrequency,mean_predicted_probability,4.0,0.025003786480869927,0.010624781593608402,0.046257247211179915,0.00900698561220252,500,3,Travel_Rarely,846,0.08010590272955868,Non-Travel,132,0.10510968921042861,30
no_salary_hike_no_attrition,xgboost,BusinessTravelFrequency,mean_predicted_probability,2.0,0.004842171113161153,0.005986000934222935,0.09043869154910936,0.0217777642882871,500,3,Travel_Rarely,846,0.15990833686602435,Travel_Frequently,222,0.1647505079791855,30
no_salary_hike_no_attrition,xgboost,BusinessTravelFrequency,positive_prediction_rate,3.0,0.009009009009009028,0.008803598603258229,0.10412456081674232,0.024878275166409648,500,3,Travel_Frequently,222,0.8243243243243243,Travel_Rarely,846,0.8333333333333334,30
no_salary_hike_no_attrition,xgboost,BusinessTravelFrequency,positive_prediction_rate,4.0,0.006393724478830862,0.0,0.024495201919232303,0.006259202601622842,500,3,Travel_Rarely,846,0.001182033096926714,Non-Travel,132,0.007575757575757576,30
no_salary_hike_no_attrition,xgboost,BusinessTravelFrequency,positive_prediction_rate,2.0,0.00568653760143123,0.00786928996602649,0.10495949201457673,0.025067553999507542,500,3,Travel_Rarely,846,0.16548463356973994,Travel_Frequently,222,0.17117117117117117,30
no_salary_hike_no_attrition,xgboost,BusinessTravelFrequency,precision,4.0,1.0,0.0,1.0,0.49629558495900283,478,3,Non-Travel,132,0.0,Travel_Rarely,846,1.0,30
