feature_set,model,attribute,metric,n_groups_included,min_group_value,min_group_support,min,max_group_value,max_group_support,max,max_gap,min_group_support_threshold,class_label
no_salary_hike_no_attrition,xgboost,BusinessTravelFrequency,accuracy,3,Travel_Frequently,222,0.8153153153153153,Travel_Rarely,846,0.8652482269503546,0.04993291163503932,30,
no_salary_hike_no_attrition,xgboost,BusinessTravelFrequency,false_positive_rate,3,Travel_Rarely,846,0.4337899543378995,Travel_Frequently,222,0.5147058823529411,0.0809159280150416,30,3.0
no_salary_hike_no_attrition,xgboost,BusinessTravelFrequency,false_positive_rate,3,Non-Travel,132,0.009009009009009009,Travel_Frequently,222,0.02702702702702703,0.01801801801801802,30,2.0
no_salary_hike_no_attrition,xgboost,BusinessTravelFrequency,false_positive_rate,3,Travel_Rarely,846,0.0,Non-Travel,132,0.008771929824561403,0.008771929824561403,30,4.0
no_salary_hike_no_attrition,xgboost,BusinessTravelFrequency,macro_f1,3,Travel_Frequently,222,0.586112759643917,Non-Travel,132,0.6259114283521375,0.039798668708220575,30,
no_salary_hike_no_attrition,xgboost,BusinessTravelFrequency,mean_predicted_probability,3,Non-Travel,132,0.7349023103544657,Travel_Rarely,846,0.7599857605533591,0.025083450198893353,30,3.0
no_salary_hike_no_attrition,xgboost,BusinessTravelFrequency,mean_predicted_probability,3,Travel_Rarely,846,0.08010590272955871,Non-Travel,132,0.10510968921042865,0.02500378648086994,30,4.0
no_salary_hike_no_attrition,xgboost,BusinessTravelFrequency,mean_predicted_probability,3,Travel_Rarely,846,0.15990833686602435,Travel_Frequently,222,0.1647505079791855,0.004842171113161153,30,2.0
no_salary_hike_no_attrition,xgboost,BusinessTravelFrequency,positive_prediction_rate,3,Travel_Frequently,222,0.8243243243243243,Travel_Rarely,846,0.8333333333333334,0.009009009009009028,30,3.0
no_salary_hike_no_attrition,xgboost,BusinessTravelFrequency,positive_prediction_rate,3,Travel_Rarely,846,0.001182033096926714,Non-Travel,132,0.007575757575757576,0.006393724478830862,30,4.0
no_salary_hike_no_attrition,xgboost,BusinessTravelFrequency,positive_prediction_rate,3,Travel_Rarely,846,0.16548463356973994,Travel_Frequently,222,0.17117117117117117,0.00568653760143123,30,2.0
no_salary_hike_no_attrition,xgboost,BusinessTravelFrequency,precision,3,Non-Travel,132,0.0,Travel_Rarely,846,1.0,1.0,30,4.0
no_salary_hike_no_attrition,xgboost,BusinessTravelFrequency,precision,3,Travel_Rarely,846,0.8642857142857143,Non-Travel,132,0.9545454545454546,0.09025974025974026,30,2.0
no_salary_hike_no_attrition,xgboost,BusinessTravelFrequency,precision,3,Travel_Frequently,222,0.8087431693989071,Travel_Rarely,846,0.8652482269503546,0.056505057551447524,30,3.0
no_salary_hike_no_attrition,xgboost,BusinessTravelFrequency,true_positive_rate,3,Travel_Rarely,846,0.8897058823529411,Non-Travel,132,1.0,0.11029411764705888,30,2.0
no_salary_hike_no_attrition,xgboost,BusinessTravelFrequency,true_positive_rate,3,Travel_Frequently,222,0.961038961038961,Non-Travel,132,0.978494623655914,0.01745566261695297,30,3.0
no_salary_hike_no_attrition,xgboost,BusinessTravelFrequency,true_positive_rate,3,Non-Travel,132,0.0,Travel_Rarely,846,0.012048192771084338,0.012048192771084338,30,4.0
no_salary_hike_no_attrition,xgboost,EducationBackground,accuracy,5,Technical Degree,100,0.84,Other,66,0.8787878787878788,0.038787878787878816,30,
