attribute,class_label,metric,max_gap
Gender,2,positive_prediction_rate,0.04166666666666666
Gender,2,tpr_equal_opportunity,0.10185185185185186
Gender,2,fpr,0.005189255189255192
Gender,2,precision,0.0
Gender,2,mean_predicted_probability,0.01853708658570921
Gender,3,positive_prediction_rate,0.01736111111111116
Gender,3,tpr_equal_opportunity,0.019607843137254943
Gender,3,fpr,0.15113871635610765
Gender,3,precision,0.06424242424242432
Gender,3,mean_predicted_probability,0.007570765252085554
Gender,4,positive_prediction_rate,0.024305555555555552
Gender,4,tpr_equal_opportunity,0.1515151515151516
Gender,4,fpr,0.0
Gender,4,precision,0.0
Gender,4,mean_predicted_probability,0.010966321333623574
MaritalStatus,2,positive_prediction_rate,0.09714285714285713
MaritalStatus,2,tpr_equal_opportunity,0.19999999999999996
MaritalStatus,2,fpr,0.024096385542168676
MaritalStatus,2,precision,0.11111111111111116
MaritalStatus,2,mean_predicted_probability,0.06541698377139954
MaritalStatus,3,positive_prediction_rate,0.06428571428571428
MaritalStatus,3,tpr_equal_opportunity,0.025974025974025983
MaritalStatus,3,fpr,0.12380952380952381
MaritalStatus,3,precision,0.03099974166881936
MaritalStatus,3,mean_predicted_probability,0.03728128111073692
MaritalStatus,4,positive_prediction_rate,0.11333333333333334
MaritalStatus,4,tpr_equal_opportunity,0.6
MaritalStatus,4,fpr,0.0
MaritalStatus,4,precision,0.0
MaritalStatus,4,mean_predicted_probability,0.05534121520239764
EmpDepartment,2,positive_prediction_rate,0.375
EmpDepartment,2,tpr_equal_opportunity,1.0
EmpDepartment,2,fpr,0.04918032786885246
EmpDepartment,2,precision,1.0
EmpDepartment,2,mean_predicted_probability,0.1320152685187916
EmpDepartment,3,positive_prediction_rate,0.375
EmpDepartment,3,tpr_equal_opportunity,0.03703703703703709
EmpDepartment,3,fpr,0.4
EmpDepartment,3,precision,0.1428571428571429
EmpDepartment,3,mean_predicted_probability,0.1036177849096549
EmpDepartment,4,positive_prediction_rate,0.2
EmpDepartment,4,tpr_equal_opportunity,0.8571428571428571
EmpDepartment,4,fpr,0.0
EmpDepartment,4,precision,1.0
EmpDepartment,4,mean_predicted_probability,0.12642945621173354
EducationBackground,2,positive_prediction_rate,0.38461538461538464
EducationBackground,2,tpr_equal_opportunity,1.0
EducationBackground,2,fpr,0.11764705882352941
EducationBackground,2,precision,1.0
EducationBackground,2,mean_predicted_probability,0.17816807985543015
EducationBackground,3,positive_prediction_rate,0.4
EducationBackground,3,tpr_equal_opportunity,0.15384615384615385
EducationBackground,3,fpr,0.5
EducationBackground,3,precision,0.25
EducationBackground,3,mean_predicted_probability,0.19335610064415887
EducationBackground,4,positive_prediction_rate,0.2
EducationBackground,4,tpr_equal_opportunity,1.0
EducationBackground,4,fpr,0.0
EducationBackground,4,precision,1.0
EducationBackground,4,mean_predicted_probability,0.13799082001214064
BusinessTravelFrequency,2,positive_prediction_rate,0.09523809523809523
BusinessTravelFrequency,2,tpr_equal_opportunity,0.33333333333333337
BusinessTravelFrequency,2,fpr,0.02054794520547945
BusinessTravelFrequency,2,precision,0.1071428571428571
BusinessTravelFrequency,2,mean_predicted_probability,0.05105439879560472
BusinessTravelFrequency,3,positive_prediction_rate,0.10146103896103886
BusinessTravelFrequency,3,tpr_equal_opportunity,0.015748031496062964
BusinessTravelFrequency,3,fpr,0.10946196660482374
BusinessTravelFrequency,3,precision,0.06547619047619047
BusinessTravelFrequency,3,mean_predicted_probability,0.07508497809425219
BusinessTravelFrequency,4,positive_prediction_rate,0.02967171717171717
BusinessTravelFrequency,4,tpr_equal_opportunity,0.6
BusinessTravelFrequency,4,fpr,0.0
BusinessTravelFrequency,4,precision,0.0
BusinessTravelFrequency,4,mean_predicted_probability,0.028671224879207535
