feature,mean_abs_shap
EmpEnvironmentSatisfaction,0.7891011860860249
YearsSinceLastPromotion,0.3552390162827323
EmpWorkLifeBalance,0.12270869374097954
ExperienceYearsInCurrentRole,0.09874635503492743
EmpHourlyRate,0.06858315864399284
YearsWithCurrManager,0.05941468296321591
DistanceFromHome,0.053188372541304485
EmpJobSatisfaction,0.048787235678544774
EmpRelationshipSatisfaction,0.04851786631782603
NumCompaniesWorked,0.041570432693585284
EmpEducationLevel,0.03759618362099134
EmpJobInvolvement,0.03444361358604309
TrainingTimesLastYear,0.03402344092704079
Age,0.03200225792409614
ExperienceYearsAtThisCompany,0.02937328385632495
EmpJobLevel,0.02747036896354255
TotalWorkExperienceInYears,0.022919750195785696
EducationBackground,0.0
BusinessTravelFrequency,0.0
EmpJobRole,0.0
EmpDepartment,0.0
OverTime,0.0
