feature,feature_value,shap_value,abs_shap_value,direction
EmpEnvironmentSatisfaction,1.0,1.9572131148108836,1.9572131148108836,positive
YearsSinceLastPromotion,9.0,0.8203146187240354,0.8203146187240354,positive
ExperienceYearsInCurrentRole,7.0,0.16843320367898545,0.16843320367898545,positive
YearsWithCurrManager,9.0,0.10811048668323812,0.10811048668323812,positive
EmpJobLevel,3.0,0.08467663621922525,0.08467663621922525,positive
ExperienceYearsAtThisCompany,13.0,0.06895150679361184,0.06895150679361184,positive
TrainingTimesLastYear,5.0,0.06717311229897102,0.06717311229897102,positive
EmpRelationshipSatisfaction,1.0,0.05920724995966315,0.05920724995966315,positive
EmpWorkLifeBalance,3.0,-0.05493711799495375,0.05493711799495375,negative
EmpJobSatisfaction,4.0,0.0517830880855272,0.0517830880855272,positive
Age,31.0,-0.0373240347275439,0.0373240347275439,negative
NumCompaniesWorked,1.0,0.026848771782646483,0.026848771782646483,positive
EmpEducationLevel,2.0,-0.016575405474415647,0.016575405474415647,negative
EmpJobInvolvement,3.0,0.013565605840746313,0.013565605840746313,positive
EmpHourlyRate,31.0,0.00919982895948293,0.00919982895948293,positive
DistanceFromHome,8.0,-0.00802004552608937,0.00802004552608937,negative
TotalWorkExperienceInYears,13.0,0.001099007682608435,0.001099007682608435,positive
EducationBackground,,0.0,0.0,positive
BusinessTravelFrequency,,0.0,0.0,positive
EmpJobRole,,0.0,0.0,positive
EmpDepartment,,0.0,0.0,positive
OverTime,,0.0,0.0,positive
