feature,feature_value,shap_value,abs_shap_value,direction
EmpEnvironmentSatisfaction,3.0,0.497352595352488,0.497352595352488,positive
YearsSinceLastPromotion,1.0,-0.1708833076670381,0.1708833076670381,negative
TrainingTimesLastYear,1.0,-0.15289175187482415,0.15289175187482415,negative
EmpJobSatisfaction,2.0,0.11488057568506702,0.11488057568506702,positive
EmpWorkLifeBalance,1.0,-0.09263612422020125,0.09263612422020125,negative
ExperienceYearsInCurrentRole,2.0,0.09143217205163733,0.09143217205163733,positive
EmpHourlyRate,33.0,-0.07081966158358298,0.07081966158358298,negative
YearsWithCurrManager,3.0,0.05868318601801131,0.05868318601801131,positive
EmpEducationLevel,2.0,0.03894580011113632,0.03894580011113632,positive
EmpJobLevel,2.0,0.03212992108809805,0.03212992108809805,positive
EmpJobInvolvement,2.0,-0.01871972275735085,0.01871972275735085,negative
TotalWorkExperienceInYears,12.0,0.01538034675656021,0.01538034675656021,positive
EmpRelationshipSatisfaction,3.0,0.013780876078443239,0.013780876078443239,positive
Age,36.0,0.01087126722899956,0.01087126722899956,positive
ExperienceYearsAtThisCompany,4.0,0.007758446878232731,0.007758446878232731,positive
DistanceFromHome,17.0,0.004261713499562023,0.004261713499562023,positive
NumCompaniesWorked,2.0,0.0017534064031603984,0.0017534064031603984,positive
EducationBackground,,0.0,0.0,positive
BusinessTravelFrequency,,0.0,0.0,positive
EmpJobRole,,0.0,0.0,positive
EmpDepartment,,0.0,0.0,positive
OverTime,,0.0,0.0,positive
