feature,feature_value,shap_value,abs_shap_value,direction
EmpEnvironmentSatisfaction,2.0,1.6472886301572356,1.6472886301572356,positive
YearsSinceLastPromotion,1.0,0.564471053110619,0.564471053110619,positive
EmpWorkLifeBalance,2.0,0.22384593484419046,0.22384593484419046,positive
EmpHourlyRate,75.0,-0.11737902686767074,0.11737902686767074,negative
EmpJobSatisfaction,1.0,-0.09844797079208263,0.09844797079208263,negative
NumCompaniesWorked,5.0,-0.07264903556799576,0.07264903556799576,negative
DistanceFromHome,1.0,-0.058399564069362545,0.058399564069362545,negative
ExperienceYearsInCurrentRole,3.0,0.04824319916198619,0.04824319916198619,positive
ExperienceYearsAtThisCompany,4.0,-0.039368501552271826,0.039368501552271826,negative
YearsWithCurrManager,3.0,-0.03638839104547677,0.03638839104547677,negative
EmpJobInvolvement,3.0,-0.026629171861702647,0.026629171861702647,negative
Age,44.0,-0.024867781078280384,0.024867781078280384,negative
EmpEducationLevel,5.0,0.014467587255841742,0.014467587255841742,positive
TotalWorkExperienceInYears,9.0,-0.01342663880394312,0.01342663880394312,negative
EmpJobLevel,2.0,-0.012391134363385717,0.012391134363385717,negative
TrainingTimesLastYear,2.0,-0.005742512088924769,0.005742512088924769,negative
EmpRelationshipSatisfaction,3.0,0.004656899373650691,0.004656899373650691,positive
EducationBackground,,0.0,0.0,positive
BusinessTravelFrequency,,0.0,0.0,positive
EmpJobRole,,0.0,0.0,positive
EmpDepartment,,0.0,0.0,positive
OverTime,,0.0,0.0,positive
