feature,mean_abs_shap
EmpEnvironmentSatisfaction,0.7640446075202487
YearsSinceLastPromotion,0.3584323528017713
EmpWorkLifeBalance,0.10698419937993883
ExperienceYearsInCurrentRole,0.08486815287490666
YearsWithCurrManager,0.07247316468054534
EmpHourlyRate,0.07175830348368845
DistanceFromHome,0.05785467951925882
EmpJobSatisfaction,0.05453292757819278
EmpRelationshipSatisfaction,0.040269445819542754
EmpJobInvolvement,0.03604484046553506
NumCompaniesWorked,0.035223450638775
TrainingTimesLastYear,0.03384311621629018
TotalWorkExperienceInYears,0.03128367100280085
Age,0.028166390507427346
EmpJobLevel,0.024194773323904444
EmpEducationLevel,0.023408783081159765
ExperienceYearsAtThisCompany,0.020280498683352282
BusinessTravelFrequency,0.0
EmpJobRole,0.0
EducationBackground,0.0
OverTime,0.0
