feature,feature_value,shap_value,abs_shap_value,direction
EmpEnvironmentSatisfaction,2.0,1.5292870588233973,1.5292870588233973,positive
YearsSinceLastPromotion,3.0,0.6957438047381385,0.6957438047381385,positive
EmpWorkLifeBalance,1.0,0.4051735655840574,0.4051735655840574,positive
ExperienceYearsInCurrentRole,10.0,0.20214333634673862,0.20214333634673862,positive
YearsWithCurrManager,12.0,0.1533423658384314,0.1533423658384314,positive
EmpHourlyRate,31.0,0.06772334843041071,0.06772334843041071,positive
EmpRelationshipSatisfaction,2.0,0.05674931098248272,0.05674931098248272,positive
NumCompaniesWorked,1.0,0.04714751346444984,0.04714751346444984,positive
ExperienceYearsAtThisCompany,13.0,0.04057336392675615,0.04057336392675615,positive
DistanceFromHome,7.0,0.03776081043502051,0.03776081043502051,positive
TrainingTimesLastYear,5.0,0.02913136586703016,0.02913136586703016,positive
TotalWorkExperienceInYears,13.0,0.02728822100830791,0.02728822100830791,positive
EmpJobLevel,2.0,0.017574805012953505,0.017574805012953505,positive
EmpJobInvolvement,3.0,-0.017389197506726205,0.017389197506726205,negative
EmpEducationLevel,2.0,0.013054536204137743,0.013054536204137743,positive
Age,31.0,0.005110507178149507,0.005110507178149507,positive
EmpJobSatisfaction,1.0,-0.0014547881207554302,0.0014547881207554302,negative
BusinessTravelFrequency,,0.0,0.0,positive
EmpJobRole,,0.0,0.0,positive
EducationBackground,,0.0,0.0,positive
OverTime,,0.0,0.0,positive
