feature,feature_value,shap_value,abs_shap_value,direction
EmpEnvironmentSatisfaction,3.0,0.4678394297571485,0.4678394297571485,positive
YearsSinceLastPromotion,1.0,-0.15073269812885723,0.15073269812885723,negative
EmpWorkLifeBalance,1.0,-0.13936776384859656,0.13936776384859656,negative
TrainingTimesLastYear,1.0,-0.13285694282946212,0.13285694282946212,negative
EmpJobSatisfaction,2.0,0.0988525523707427,0.0988525523707427,positive
YearsWithCurrManager,3.0,0.056821049655573816,0.056821049655573816,positive
EmpHourlyRate,33.0,-0.052465727509750155,0.052465727509750155,negative
DistanceFromHome,17.0,0.04762441038947315,0.04762441038947315,positive
ExperienceYearsInCurrentRole,2.0,0.04113003796681513,0.04113003796681513,positive
TotalWorkExperienceInYears,12.0,0.028177876466464295,0.028177876466464295,positive
NumCompaniesWorked,2.0,0.022728990419352318,0.022728990419352318,positive
ExperienceYearsAtThisCompany,4.0,0.02086981924302976,0.02086981924302976,positive
EmpEducationLevel,2.0,0.013834831902971497,0.013834831902971497,positive
EmpRelationshipSatisfaction,3.0,0.013247585000456547,0.013247585000456547,positive
EmpJobInvolvement,2.0,-0.007870298921211414,0.007870298921211414,negative
Age,36.0,0.006629329626749688,0.006629329626749688,positive
EmpJobLevel,2.0,0.004075231142495525,0.004075231142495525,positive
BusinessTravelFrequency,,0.0,0.0,positive
EmpJobRole,,0.0,0.0,positive
EducationBackground,,0.0,0.0,positive
OverTime,,0.0,0.0,positive
