feature,feature_value,shap_value,abs_shap_value,direction
EmpEnvironmentSatisfaction,2.0,-0.7654230764893637,0.7654230764893637,negative
YearsSinceLastPromotion,9.0,-0.3778172553699226,0.3778172553699226,negative
YearsWithCurrManager,0.0,0.1468465135545834,0.1468465135545834,positive
EmpHourlyRate,61.0,0.07046862637971364,0.07046862637971364,positive
EmpEducationLevel,2.0,0.056937914806643626,0.056937914806643626,positive
ExperienceYearsInCurrentRole,9.0,-0.05001854126172684,0.05001854126172684,negative
EmpJobSatisfaction,3.0,0.04727368995547461,0.04727368995547461,positive
NumCompaniesWorked,1.0,0.03833536831577199,0.03833536831577199,positive
TotalWorkExperienceInYears,10.0,0.03449512394847646,0.03449512394847646,positive
DistanceFromHome,2.0,0.030660914193544716,0.030660914193544716,positive
EmpJobInvolvement,2.0,-0.02311314748423337,0.02311314748423337,negative
EmpJobLevel,3.0,-0.016615471384191203,0.016615471384191203,negative
EmpRelationshipSatisfaction,2.0,-0.015368941470271902,0.015368941470271902,negative
EmpWorkLifeBalance,3.0,0.014976013956505704,0.014976013956505704,positive
TrainingTimesLastYear,2.0,-0.011999074673159086,0.011999074673159086,negative
ExperienceYearsAtThisCompany,10.0,0.010545180218050213,0.010545180218050213,positive
Age,36.0,0.0031228923835418983,0.0031228923835418983,positive
BusinessTravelFrequency,,0.0,0.0,positive
EmpJobRole,,0.0,0.0,positive
EducationBackground,,0.0,0.0,positive
OverTime,,0.0,0.0,positive
