feature,feature_value,shap_value,abs_shap_value,direction
YearsSinceLastPromotion,0,0.7123955722930915,0.7123955722930915,positive
ExperienceYearsInCurrentRole,0,0.5784777325855347,0.5784777325855347,positive
YearsWithCurrManager,7,0.521692462569654,0.521692462569654,positive
EmpEnvironmentSatisfaction,4,0.4331649930864923,0.4331649930864923,positive
EmpHourlyRate,83,0.41482744063418453,0.41482744063418453,positive
BusinessTravelFrequency,Travel_Rarely,0.17584000480766038,0.17584000480766038,positive
ExperienceYearsAtThisCompany,9,0.17547186483337204,0.17547186483337204,positive
EmpJobSatisfaction,4,-0.16933320049842585,0.16933320049842585,negative
OverTime,Yes,0.1671173382198875,0.1671173382198875,positive
NumCompaniesWorked,1,0.11729930910706354,0.11729930910706354,positive
EducationBackground,Life Sciences,-0.08584429684536522,0.08584429684536522,negative
EmpJobRole,Sales Executive,0.07796085119112955,0.07796085119112955,positive
TrainingTimesLastYear,0,-0.07055996845234441,0.07055996845234441,negative
EmpJobInvolvement,3,0.0640150382720125,0.0640150382720125,positive
EmpEducationLevel,2,0.0512104234004639,0.0512104234004639,positive
EmpRelationshipSatisfaction,3,-0.04973652928239111,0.04973652928239111,negative
EmpWorkLifeBalance,3,0.048498919664031304,0.048498919664031304,positive
EmpDepartment,Sales,0.04714170026918994,0.04714170026918994,positive
DistanceFromHome,4,0.04645996507951036,0.04645996507951036,positive
Age,47,-0.01726654899297927,0.01726654899297927,negative
EmpJobLevel,2,0.015301776120009006,0.015301776120009006,positive
TotalWorkExperienceInYears,9,-0.015071163317668432,0.015071163317668432,negative
