feature,feature_value,shap_value,abs_shap_value,direction
EmpEnvironmentSatisfaction,3,0.9111860750241255,0.9111860750241255,positive
YearsSinceLastPromotion,1,-0.48839447111024736,0.48839447111024736,negative
EmpHourlyRate,33,0.41308465753539947,0.41308465753539947,positive
DistanceFromHome,17,0.33716692772829054,0.33716692772829054,positive
EmpDepartment,Sales,-0.33611134714597823,0.33611134714597823,negative
ExperienceYearsInCurrentRole,2,0.27198502520058787,0.27198502520058787,positive
YearsWithCurrManager,3,0.2543973392859491,0.2543973392859491,positive
EmpJobSatisfaction,2,0.23935296926754157,0.23935296926754157,positive
BusinessTravelFrequency,Travel_Rarely,0.20018357240260848,0.20018357240260848,positive
EducationBackground,Marketing,0.19640739816264197,0.19640739816264197,positive
Age,36,-0.18636447243865117,0.18636447243865117,negative
ExperienceYearsAtThisCompany,4,0.17257971951093729,0.17257971951093729,positive
EmpRelationshipSatisfaction,3,-0.1471114728902488,0.1471114728902488,negative
TrainingTimesLastYear,1,-0.14205176085099944,0.14205176085099944,negative
TotalWorkExperienceInYears,12,0.13606791056870626,0.13606791056870626,positive
EmpEducationLevel,2,0.08906677694735442,0.08906677694735442,positive
EmpJobInvolvement,2,-0.08786868184950908,0.08786868184950908,negative
NumCompaniesWorked,2,-0.0693576512022068,0.0693576512022068,negative
EmpWorkLifeBalance,1,-0.05867286804376904,0.05867286804376904,negative
OverTime,No,-0.03974100334158762,0.03974100334158762,negative
EmpJobLevel,2,0.030287102888961963,0.030287102888961963,positive
EmpJobRole,Sales Executive,0.012628190982951475,0.012628190982951475,positive
