feature,mean_abs_shap
EmpEnvironmentSatisfaction,1.543681952280226
YearsSinceLastPromotion,0.8141399768504525
EmpJobRole,0.49945659449257185
ExperienceYearsInCurrentRole,0.4877278002158907
EmpWorkLifeBalance,0.324596141942008
EmpHourlyRate,0.2950720794725573
TotalWorkExperienceInYears,0.21754887766859596
Age,0.1899973758610538
DistanceFromHome,0.18388245245472845
EmpJobSatisfaction,0.17095044699982004
YearsWithCurrManager,0.1696855746289173
ExperienceYearsAtThisCompany,0.16860912146666593
BusinessTravelFrequency,0.13764189309922395
EmpRelationshipSatisfaction,0.1337661531620169
NumCompaniesWorked,0.12212697986850261
TrainingTimesLastYear,0.1211924179497661
EmpJobLevel,0.1077495524270376
EmpEducationLevel,0.10052769236405158
EmpJobInvolvement,0.09695118496414755
OverTime,0.07800152746881694
EducationBackground,0.00982423012563917
