feature,feature_value,shap_value,abs_shap_value,direction
DistanceFromHome,26,0.7592755679992887,0.7592755679992887,positive
EmpEnvironmentSatisfaction,3,0.7393498187175045,0.7393498187175045,positive
ExperienceYearsInCurrentRole,5,0.7383486505289222,0.7383486505289222,positive
EmpJobSatisfaction,4,0.5921908417644092,0.5921908417644092,positive
EmpRelationshipSatisfaction,2,-0.44092823186451113,0.44092823186451113,negative
ExperienceYearsAtThisCompany,6,0.4402131131851552,0.4402131131851552,positive
EmpWorkLifeBalance,2,-0.360449313787685,0.360449313787685,negative
Age,25,0.22451985588409176,0.22451985588409176,positive
YearsWithCurrManager,4,0.1909197940828059,0.1909197940828059,positive
TrainingTimesLastYear,5,-0.18647301760606141,0.18647301760606141,negative
BusinessTravelFrequency,Travel_Rarely,-0.17368504300562743,0.17368504300562743,negative
EmpJobRole,Sales Executive,0.1246517653507609,0.1246517653507609,positive
OverTime,No,0.1188291901609651,0.1188291901609651,positive
EmpHourlyRate,32,0.08719412254304065,0.08719412254304065,positive
EmpEducationLevel,1,-0.06293541868517853,0.06293541868517853,negative
YearsSinceLastPromotion,1,-0.04543243746316703,0.04543243746316703,negative
NumCompaniesWorked,1,-0.04281559068394728,0.04281559068394728,negative
EmpJobInvolvement,3,-0.029104804221490685,0.029104804221490685,negative
TotalWorkExperienceInYears,6,-0.005858889176832907,0.005858889176832907,negative
EducationBackground,Medical,0.0032221089284714803,0.0032221089284714803,positive
EmpJobLevel,2,-0.0031598482545464233,0.0031598482545464233,negative
