feature,feature_value,shap_value,abs_shap_value,direction
EmpEnvironmentSatisfaction,3,1.0386131885544372,1.0386131885544372,positive
YearsSinceLastPromotion,1,-0.46171329960044566,0.46171329960044566,negative
DistanceFromHome,17,0.36427325720461046,0.36427325720461046,positive
ExperienceYearsInCurrentRole,2,0.32575521107954786,0.32575521107954786,positive
YearsWithCurrManager,3,0.29139362323760554,0.29139362323760554,positive
EmpJobSatisfaction,2,0.2648761849061597,0.2648761849061597,positive
EmpJobRole,Sales Executive,-0.26362307306446925,0.26362307306446925,negative
TrainingTimesLastYear,1,-0.20657145326003504,0.20657145326003504,negative
EmpRelationshipSatisfaction,3,-0.19441823384883697,0.19441823384883697,negative
TotalWorkExperienceInYears,12,0.19121241931574606,0.19121241931574606,positive
BusinessTravelFrequency,Travel_Rarely,0.17708313915819798,0.17708313915819798,positive
ExperienceYearsAtThisCompany,4,0.1694178105103217,0.1694178105103217,positive
EmpJobLevel,2,0.15276108218228668,0.15276108218228668,positive
EmpJobInvolvement,2,-0.13268255134196627,0.13268255134196627,negative
Age,36,-0.11937320939306127,0.11937320939306127,negative
EmpHourlyRate,33,-0.09444556653956432,0.09444556653956432,negative
OverTime,No,-0.048508637375937774,0.048508637375937774,negative
EmpWorkLifeBalance,1,0.023962446753155467,0.023962446753155467,positive
EmpEducationLevel,2,0.020585782809477024,0.020585782809477024,positive
EducationBackground,Marketing,0.01922184056091246,0.01922184056091246,positive
NumCompaniesWorked,2,0.007704108858115788,0.007704108858115788,positive
