feature,feature_value,shap_value,abs_shap_value,direction
YearsSinceLastPromotion,7,-0.6586439627314158,0.6586439627314158,negative
EmpEnvironmentSatisfaction,3,0.5427482679569765,0.5427482679569765,positive
DistanceFromHome,3,-0.5153312392595731,0.5153312392595731,negative
Age,37,-0.4718272934135888,0.4718272934135888,negative
EmpJobRole,Developer,0.41898738388598905,0.41898738388598905,positive
ExperienceYearsInCurrentRole,7,-0.3037922305346371,0.3037922305346371,negative
EmpHourlyRate,36,-0.2983625890431673,0.2983625890431673,negative
YearsWithCurrManager,8,-0.2937728201578771,0.2937728201578771,negative
BusinessTravelFrequency,Travel_Rarely,0.23961316677630423,0.23961316677630423,positive
EmpRelationshipSatisfaction,3,-0.10497613776128918,0.10497613776128918,negative
EmpJobSatisfaction,3,0.09912289004643651,0.09912289004643651,positive
TotalWorkExperienceInYears,10,-0.06390955771550855,0.06390955771550855,negative
ExperienceYearsAtThisCompany,10,-0.04636186412922254,0.04636186412922254,negative
EmpEducationLevel,3,-0.0388433622726072,0.0388433622726072,negative
EmpJobLevel,3,-0.03674344687839362,0.03674344687839362,negative
EmpJobInvolvement,3,-0.036703854942428824,0.036703854942428824,negative
OverTime,No,-0.03339117964027193,0.03339117964027193,negative
EmpWorkLifeBalance,3,-0.023758059687259518,0.023758059687259518,negative
EducationBackground,Other,0.015540403963796103,0.015540403963796103,positive
TrainingTimesLastYear,2,0.009301273210647706,0.009301273210647706,positive
NumCompaniesWorked,1,-0.005391484551858719,0.005391484551858719,negative
