feature,mean_abs_grouped_shap
EmpEnvironmentSatisfaction,1.0273326396229094
YearsSinceLastPromotion,0.48396558609804036
EmpWorkLifeBalance,0.24720638053594385
EmpDepartment,0.21180676617611122
ExperienceYearsInCurrentRole,0.2059713103721151
EmpHourlyRate,0.14743094551328492
YearsWithCurrManager,0.1428261843217317
EmpJobRole,0.128339741002128
TotalWorkExperienceInYears,0.107564150503054
DistanceFromHome,0.09696709548839458
Age,0.08858119263879619
BusinessTravelFrequency,0.0869108231909599
EmpJobSatisfaction,0.08222409249251036
ExperienceYearsAtThisCompany,0.07353197910257829
NumCompaniesWorked,0.06937706763134581
TrainingTimesLastYear,0.059465494657504475
EmpRelationshipSatisfaction,0.05691647096528969
EducationBackground,0.05580372089041501
EmpJobLevel,0.05325247796099575
EmpEducationLevel,0.0398822997548349
OverTime,0.031207847710114343
EmpJobInvolvement,0.019245280836265817
