feature,mean_abs_grouped_shap
EmpEnvironmentSatisfaction,0.38038778861858497
EmpWorkLifeBalance,0.27118086391201357
EmpHourlyRate,0.1932045019833216
EmpJobRole,0.1498465931872488
YearsSinceLastPromotion,0.12734987326936487
BusinessTravelFrequency,0.11538342444691807
Age,0.11395939705883697
EmpJobSatisfaction,0.1066430958827065
ExperienceYearsInCurrentRole,0.10224798081326299
DistanceFromHome,0.1016450587415117
YearsWithCurrManager,0.09742204716652243
TrainingTimesLastYear,0.09651980012616453
TotalWorkExperienceInYears,0.08623526086448692
ExperienceYearsAtThisCompany,0.07443865205762752
NumCompaniesWorked,0.06398723708886488
EmpEducationLevel,0.06313581385960182
EmpRelationshipSatisfaction,0.05360748197538972
EducationBackground,0.04406481656866769
OverTime,0.03543852498017562
EmpDepartment,0.0353176327815163
EmpJobLevel,0.02068072829473143
EmpJobInvolvement,0.019228233942340012
