feature,feature_value,grouped_shap_value,abs_grouped_shap_value,direction
EmpJobRole,Sales Representative,0.5887951850891113,0.5887951850891113,positive
EducationBackground,Marketing,0.3819848299026489,0.3819848299026489,positive
YearsSinceLastPromotion,0,0.3488873839378357,0.3488873839378357,positive
ExperienceYearsInCurrentRole,0,0.22438299655914307,0.22438299655914307,positive
TotalWorkExperienceInYears,1,-0.18999344110488892,0.18999344110488892,negative
EmpEnvironmentSatisfaction,3,0.16886553168296814,0.16886553168296814,positive
EmpJobSatisfaction,2,0.12302784621715546,0.12302784621715546,positive
BusinessTravelFrequency,Travel_Rarely,0.11771798133850098,0.11771798133850098,positive
OverTime,Yes,0.11302083730697632,0.11302083730697632,positive
Age,25,0.11004580557346344,0.11004580557346344,positive
EmpRelationshipSatisfaction,3,-0.09899809211492538,0.09899809211492538,negative
ExperienceYearsAtThisCompany,1,-0.06793083250522614,0.06793083250522614,negative
EmpHourlyRate,36,0.04365571588277817,0.04365571588277817,positive
TrainingTimesLastYear,2,0.029898464679718018,0.029898464679718018,positive
EmpEducationLevel,2,0.02842959202826023,0.02842959202826023,positive
NumCompaniesWorked,1,0.02306104637682438,0.02306104637682438,positive
EmpJobLevel,1,0.016743410378694534,0.016743410378694534,positive
YearsWithCurrManager,0,0.013476688414812088,0.013476688414812088,positive
EmpWorkLifeBalance,3,0.012240354903042316,0.012240354903042316,positive
EmpDepartment,Sales,-0.009593721479177475,0.009593721479177475,negative
DistanceFromHome,19,0.007234237156808376,0.007234237156808376,positive
EmpJobInvolvement,2,0.002902936190366745,0.002902936190366745,positive
