feature,feature_value,grouped_shap_value,abs_grouped_shap_value,direction
EmpEnvironmentSatisfaction,3,0.57256019115448,0.57256019115448,positive
EducationBackground,Marketing,0.5211402773857117,0.5211402773857117,positive
TrainingTimesLastYear,1,-0.2262464314699173,0.2262464314699173,negative
YearsSinceLastPromotion,1,-0.18194957077503204,0.18194957077503204,negative
YearsWithCurrManager,3,0.17157696187496185,0.17157696187496185,positive
EmpJobSatisfaction,2,0.15598183870315552,0.15598183870315552,positive
ExperienceYearsInCurrentRole,2,0.13971062004566193,0.13971062004566193,positive
DistanceFromHome,17,0.07480039447546005,0.07480039447546005,positive
BusinessTravelFrequency,Travel_Rarely,0.07175154983997345,0.07175154983997345,positive
EmpHourlyRate,33,-0.07019145786762238,0.07019145786762238,negative
EmpEducationLevel,2,0.06451777368783951,0.06451777368783951,positive
Age,36,-0.055082086473703384,0.055082086473703384,negative
OverTime,No,-0.04143252968788147,0.04143252968788147,negative
EmpWorkLifeBalance,1,0.036232080310583115,0.036232080310583115,positive
EmpJobInvolvement,2,0.025184666737914085,0.025184666737914085,positive
EmpJobLevel,2,0.024623967707157135,0.024623967707157135,positive
EmpDepartment,Sales,-0.020781025290489197,0.020781025290489197,negative
TotalWorkExperienceInYears,12,0.01974775269627571,0.01974775269627571,positive
ExperienceYearsAtThisCompany,4,-0.017878927290439606,0.017878927290439606,negative
EmpJobRole,Sales Executive,-0.01181515958160162,0.01181515958160162,negative
NumCompaniesWorked,2,-0.010271313600242138,0.010271313600242138,negative
EmpRelationshipSatisfaction,3,-0.0018693082965910435,0.0018693082965910435,negative
