feature,feature_value,grouped_shap_value,abs_grouped_shap_value,direction
EmpEnvironmentSatisfaction,2,-0.6484896540641785,0.6484896540641785,negative
YearsSinceLastPromotion,4,-0.3556409478187561,0.3556409478187561,negative
YearsWithCurrManager,0,0.3199315071105957,0.3199315071105957,positive
ExperienceYearsAtThisCompany,8,0.22413493692874908,0.22413493692874908,positive
EmpDepartment,Research & Development,-0.17538170516490936,0.17538170516490936,negative
EmpHourlyRate,87,0.13189317286014557,0.13189317286014557,positive
EmpJobSatisfaction,2,0.1258462369441986,0.1258462369441986,positive
TotalWorkExperienceInYears,18,0.10409952700138092,0.10409952700138092,positive
ExperienceYearsInCurrentRole,6,-0.07892075181007385,0.07892075181007385,negative
BusinessTravelFrequency,Travel_Rarely,0.07386694848537445,0.07386694848537445,positive
EmpRelationshipSatisfaction,4,0.05549606680870056,0.05549606680870056,positive
Age,52,-0.04951396957039833,0.04951396957039833,negative
OverTime,No,-0.03310757130384445,0.03310757130384445,negative
TrainingTimesLastYear,4,0.031538188457489014,0.031538188457489014,positive
EmpJobLevel,3,-0.019305774942040443,0.019305774942040443,negative
NumCompaniesWorked,7,-0.013319229707121849,0.013319229707121849,negative
EducationBackground,Life Sciences,-0.013244830071926117,0.013244830071926117,negative
EmpEducationLevel,4,0.011901226826012135,0.011901226826012135,positive
EmpJobInvolvement,3,-0.006979716010391712,0.006979716010391712,negative
EmpJobRole,Healthcare Representative,-0.0068429880775511265,0.0068429880775511265,negative
EmpWorkLifeBalance,3,0.0050782980397343636,0.0050782980397343636,positive
DistanceFromHome,7,0.0017552367644384503,0.0017552367644384503,positive
