feature,mean_abs_grouped_shap
EmpEnvironmentSatisfaction,0.3980939569417387
EmpWorkLifeBalance,0.2703387660740797
EmpHourlyRate,0.19411978369341037
EmpJobRole,0.18063235557310692
BusinessTravelFrequency,0.11893394750465329
YearsSinceLastPromotion,0.1168934219633229
ExperienceYearsInCurrentRole,0.11221173775071899
DistanceFromHome,0.10926362313548452
EmpJobSatisfaction,0.1063631710819512
Age,0.10436677360824737
YearsWithCurrManager,0.09234894499071136
TrainingTimesLastYear,0.09116925237758551
ExperienceYearsAtThisCompany,0.08776153486639184
TotalWorkExperienceInYears,0.08773042551086595
NumCompaniesWorked,0.06362748215324246
EmpEducationLevel,0.05493742365579237
EmpRelationshipSatisfaction,0.05109253557845174
OverTime,0.0439531347413625
EducationBackground,0.037896394454097995
EmpJobInvolvement,0.025409648148252018
EmpJobLevel,0.018252312680730635
