feature,feature_value,grouped_shap_value,abs_grouped_shap_value,direction
ExperienceYearsInCurrentRole,0,0.32404595613479614,0.32404595613479614,positive
EmpEnvironmentSatisfaction,2,-0.2896856367588043,0.2896856367588043,negative
YearsWithCurrManager,0,0.2187802791595459,0.2187802791595459,positive
EmpJobSatisfaction,4,0.19510164856910706,0.19510164856910706,positive
DistanceFromHome,3,0.19502776861190796,0.19502776861190796,positive
TotalWorkExperienceInYears,19,0.1950271874666214,0.1950271874666214,positive
TrainingTimesLastYear,1,0.1838500052690506,0.1838500052690506,positive
EmpHourlyRate,42,0.1450044810771942,0.1450044810771942,positive
YearsSinceLastPromotion,0,0.12527762353420258,0.12527762353420258,positive
BusinessTravelFrequency,Travel_Rarely,-0.11867859959602356,0.11867859959602356,negative
OverTime,Yes,-0.09790131449699402,0.09790131449699402,negative
EmpWorkLifeBalance,3,0.07617462426424026,0.07617462426424026,positive
EmpRelationshipSatisfaction,3,0.040159206837415695,0.040159206837415695,positive
Age,38,0.035039838403463364,0.035039838403463364,positive
EmpEducationLevel,4,0.03491956368088722,0.03491956368088722,positive
EmpJobInvolvement,3,-0.02187689207494259,0.02187689207494259,negative
ExperienceYearsAtThisCompany,1,0.018626710399985313,0.018626710399985313,positive
EducationBackground,Life Sciences,0.01662742719054222,0.01662742719054222,positive
EmpJobLevel,2,0.009877938777208328,0.009877938777208328,positive
NumCompaniesWorked,8,0.009766368195414543,0.009766368195414543,positive
EmpJobRole,Sales Executive,-0.008040416054427624,0.008040416054427624,negative
