feature,feature_value,grouped_shap_value,abs_grouped_shap_value,direction
EmpEnvironmentSatisfaction,3,0.5424423217773438,0.5424423217773438,positive
EducationBackground,Marketing,0.5040016174316406,0.5040016174316406,positive
ExperienceYearsInCurrentRole,2,0.1962154060602188,0.1962154060602188,positive
YearsWithCurrManager,3,0.16995930671691895,0.16995930671691895,positive
TrainingTimesLastYear,1,-0.15486206114292145,0.15486206114292145,negative
EmpJobSatisfaction,2,0.14223653078079224,0.14223653078079224,positive
YearsSinceLastPromotion,1,-0.13640761375427246,0.13640761375427246,negative
EmpHourlyRate,33,-0.09169808030128479,0.09169808030128479,negative
EmpJobRole,Sales Executive,-0.08818434178829193,0.08818434178829193,negative
BusinessTravelFrequency,Travel_Rarely,0.07800900936126709,0.07800900936126709,positive
DistanceFromHome,17,0.07759212702512741,0.07759212702512741,positive
Age,36,-0.054810211062431335,0.054810211062431335,negative
EmpEducationLevel,2,0.04343537613749504,0.04343537613749504,positive
EmpJobInvolvement,2,0.03200996667146683,0.03200996667146683,positive
OverTime,No,-0.03101964481174946,0.03101964481174946,negative
NumCompaniesWorked,2,-0.02303081564605236,0.02303081564605236,negative
EmpJobLevel,2,0.01706841215491295,0.01706841215491295,positive
EmpWorkLifeBalance,1,0.015494609251618385,0.015494609251618385,positive
ExperienceYearsAtThisCompany,4,-0.013131178915500641,0.013131178915500641,negative
TotalWorkExperienceInYears,12,-0.005348337348550558,0.005348337348550558,negative
EmpRelationshipSatisfaction,3,-0.0031459869351238012,0.0031459869351238012,negative
