feature,feature_value,grouped_shap_value,abs_grouped_shap_value,direction
EmpJobRole,Developer,0.22319768369197845,0.22319768369197845,positive
YearsSinceLastPromotion,6,-0.20996668934822083,0.20996668934822083,negative
YearsWithCurrManager,10,-0.17629404366016388,0.17629404366016388,negative
BusinessTravelFrequency,Non-Travel,-0.13795487582683563,0.13795487582683563,negative
ExperienceYearsInCurrentRole,9,-0.12210642546415329,0.12210642546415329,negative
EmpEnvironmentSatisfaction,3,0.11588634550571442,0.11588634550571442,positive
ExperienceYearsAtThisCompany,12,-0.09468574076890945,0.09468574076890945,negative
Age,30,-0.09412255138158798,0.09412255138158798,negative
OverTime,No,-0.05292847007513046,0.05292847007513046,negative
DistanceFromHome,9,-0.04891025274991989,0.04891025274991989,negative
EmpEducationLevel,3,-0.0340832881629467,0.0340832881629467,negative
EducationBackground,Medical,-0.029499828815460205,0.029499828815460205,negative
EmpJobLevel,2,0.02921346202492714,0.02921346202492714,positive
TotalWorkExperienceInYears,12,-0.029206709936261177,0.029206709936261177,negative
TrainingTimesLastYear,4,0.025850379839539528,0.025850379839539528,positive
EmpJobSatisfaction,1,0.025220921263098717,0.025220921263098717,positive
EmpHourlyRate,66,-0.02058624103665352,0.02058624103665352,negative
EmpRelationshipSatisfaction,3,-0.012267204001545906,0.012267204001545906,negative
EmpWorkLifeBalance,3,-0.010526848025619984,0.010526848025619984,negative
EmpJobInvolvement,3,0.010223058983683586,0.010223058983683586,positive
NumCompaniesWorked,1,-0.004667170345783234,0.004667170345783234,negative
