run_id,config_hash,scientific_input_hash,source_tree_hash,record_type,source_path,fold_contract_hash,policy,model,model_set_sha256,feature,mean_abs_grouped_shap,control_type,sensitive_or_proxy,leakage_risk,allowed_for_final_model,governance_notes,rank,n_outer_models,n_samples,n_outer_folds,n_raw_features,attribution_warning,temporality_warning
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,global_grouped_importance,oof_shap/global_grouped_shap_importance.csv,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,no_salary_hike_no_attrition_no_department,xgboost,d483d8ddb93a47a99a2eab54fe3d138d8f614798dd418bca860ea3f20c813f51,EmpEnvironmentSatisfaction,1.0788599271198551,manager_controllable,not_sensitive,medium,True,May be measured near evaluation time; use as decision-support signal with temporality warning.,1.0,10.0,,,,,
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,global_grouped_importance,oof_shap/global_grouped_shap_importance.csv,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,no_salary_hike_no_attrition_no_department,xgboost,d483d8ddb93a47a99a2eab54fe3d138d8f614798dd418bca860ea3f20c813f51,YearsSinceLastPromotion,0.5251686564541564,organisation_controllable,possible_proxy,medium,True,May encode prior performance or promotion decisions; audit as historical-decision proxy.,2.0,10.0,,,,,
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,global_grouped_importance,oof_shap/global_grouped_shap_importance.csv,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,no_salary_hike_no_attrition_no_department,xgboost,d483d8ddb93a47a99a2eab54fe3d138d8f614798dd418bca860ea3f20c813f51,EmpJobRole,0.2653350595046543,organisation_controllable,possible_proxy,low,True,May proxy department after EmpDepartment is removed; requires proxy audit.,3.0,10.0,,,,,
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,global_grouped_importance,oof_shap/global_grouped_shap_importance.csv,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,no_salary_hike_no_attrition_no_department,xgboost,d483d8ddb93a47a99a2eab54fe3d138d8f614798dd418bca860ea3f20c813f51,EmpWorkLifeBalance,0.2518347756181781,manager_controllable,possible_proxy,medium,True,Often shaped by manager/team constraints; avoid employee-blaming recommendations.,4.0,10.0,,,,,
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,global_grouped_importance,oof_shap/global_grouped_shap_importance.csv,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,no_salary_hike_no_attrition_no_department,xgboost,d483d8ddb93a47a99a2eab54fe3d138d8f614798dd418bca860ea3f20c813f51,ExperienceYearsInCurrentRole,0.2242619052709617,organisation_controllable,possible_proxy,low,True,Role tenure may reflect staffing and promotion pathways.,5.0,10.0,,,,,
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,global_grouped_importance,oof_shap/global_grouped_shap_importance.csv,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,no_salary_hike_no_attrition_no_department,xgboost,d483d8ddb93a47a99a2eab54fe3d138d8f614798dd418bca860ea3f20c813f51,EmpHourlyRate,0.1322206985990144,organisation_controllable,possible_proxy,low,True,Compensation-related but less directly outcome-proximal than salary hike; audit for proxy risk.,6.0,10.0,,,,,
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,global_grouped_importance,oof_shap/global_grouped_shap_importance.csv,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,no_salary_hike_no_attrition_no_department,xgboost,d483d8ddb93a47a99a2eab54fe3d138d8f614798dd418bca860ea3f20c813f51,YearsWithCurrManager,0.1025085072464046,organisation_controllable,possible_proxy,low,True,Manager assignment and tenure can encode organisational structure.,7.0,10.0,,,,,
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,global_grouped_importance,oof_shap/global_grouped_shap_importance.csv,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,no_salary_hike_no_attrition_no_department,xgboost,d483d8ddb93a47a99a2eab54fe3d138d8f614798dd418bca860ea3f20c813f51,DistanceFromHome,0.0992775367555138,immutable,possible_proxy,none,True,Can proxy socioeconomic or location constraints; audit before final use.,8.0,10.0,,,,,
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,global_grouped_importance,oof_shap/global_grouped_shap_importance.csv,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,no_salary_hike_no_attrition_no_department,xgboost,d483d8ddb93a47a99a2eab54fe3d138d8f614798dd418bca860ea3f20c813f51,TotalWorkExperienceInYears,0.0910416613879836,immutable,possible_proxy,none,True,May proxy age and historical opportunity.,9.0,10.0,,,,,
canonical_v2_20260714T221501Z_483f96f,51415c2ce68c89d9ce2b042b0a7a811fe3e98180b72460006f9d0465f6bf49b7,06c507bee525ea1daca43b61249764007d4d8baaa05c9333f23446ea723ce160,f1e358e99914563305428cece1b1595bc76a58643184407ec5b222162d650332,global_grouped_importance,oof_shap/global_grouped_shap_importance.csv,c1300316fe5baec24e789c06aec35dd4f283fa4843b71c7aab1edbf4818f8e91,no_salary_hike_no_attrition_no_department,xgboost,d483d8ddb93a47a99a2eab54fe3d138d8f614798dd418bca860ea3f20c813f51,EmpJobSatisfaction,0.0770187014603369,manager_controllable,not_sensitive,medium,True,Potentially concurrent survey measure; reason codes need non-causal warning.,10.0,10.0,,,,,
