case_id,dataset_name,feature_policy,complete,missing_fields,invalid_fields,forbidden_features,readiness_status,evidence_stratum,eligible_for_real_api,diagnostic_category,evidence_notes
inx_primary_no_salary_hike_no_attrition_no_department_376,inx_primary,no_salary_hike_no_attrition_no_department,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
inx_primary_no_salary_hike_no_attrition_no_department_962,inx_primary,no_salary_hike_no_attrition_no_department,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
inx_primary_no_salary_hike_no_attrition_no_department_18,inx_primary,no_salary_hike_no_attrition_no_department,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
inx_primary_no_salary_hike_no_attrition_no_department_101,inx_primary,no_salary_hike_no_attrition_no_department,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
inx_primary_no_salary_hike_no_attrition_no_department_1164,inx_primary,no_salary_hike_no_attrition_no_department,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
inx_primary_no_salary_hike_no_attrition_no_department_25,inx_primary,no_salary_hike_no_attrition_no_department,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
inx_primary_no_salary_hike_no_attrition_no_department_251,inx_primary,no_salary_hike_no_attrition_no_department,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
inx_primary_no_salary_hike_no_attrition_no_department_1126,inx_primary,no_salary_hike_no_attrition_no_department,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
inx_primary_no_salary_hike_no_attrition_no_department_960,inx_primary,no_salary_hike_no_attrition_no_department,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
inx_primary_no_salary_hike_no_attrition_no_department_662,inx_primary,no_salary_hike_no_attrition_no_department,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
inx_primary_no_salary_hike_no_attrition_no_department_685,inx_primary,no_salary_hike_no_attrition_no_department,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
inx_primary_no_salary_hike_no_attrition_no_department_878,inx_primary,no_salary_hike_no_attrition_no_department,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
inx_primary_no_salary_hike_no_attrition_no_department_864,inx_primary,no_salary_hike_no_attrition_no_department,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
inx_primary_no_salary_hike_no_attrition_no_department_904,inx_primary,no_salary_hike_no_attrition_no_department,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
inx_primary_no_salary_hike_no_attrition_no_department_325,inx_primary,no_salary_hike_no_attrition_no_department,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
inx_primary_no_salary_hike_no_attrition_no_department_863,inx_primary,no_salary_hike_no_attrition_no_department,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
inx_primary_no_salary_hike_no_attrition_no_department_707,inx_primary,no_salary_hike_no_attrition_no_department,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
inx_primary_no_salary_hike_no_attrition_no_department_640,inx_primary,no_salary_hike_no_attrition_no_department,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
inx_primary_no_salary_hike_no_attrition_no_department_796,inx_primary,no_salary_hike_no_attrition_no_department,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
inx_primary_no_salary_hike_no_attrition_no_department_277,inx_primary,no_salary_hike_no_attrition_no_department,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
inx_primary_no_salary_hike_no_attrition_no_department_182,inx_primary,no_salary_hike_no_attrition_no_department,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
inx_primary_no_salary_hike_no_attrition_no_department_1044,inx_primary,no_salary_hike_no_attrition_no_department,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
inx_primary_no_salary_hike_no_attrition_no_department_253,inx_primary,no_salary_hike_no_attrition_no_department,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
inx_primary_no_salary_hike_no_attrition_no_department_566,inx_primary,no_salary_hike_no_attrition_no_department,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
inx_primary_no_salary_hike_no_attrition_no_department_1073,inx_primary,no_salary_hike_no_attrition_no_department,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
inx_primary_no_salary_hike_no_attrition_no_department_285,inx_primary,no_salary_hike_no_attrition_no_department,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
inx_primary_no_salary_hike_no_attrition_no_department_132,inx_primary,no_salary_hike_no_attrition_no_department,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
inx_primary_no_salary_hike_no_attrition_no_department_1070,inx_primary,no_salary_hike_no_attrition_no_department,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
inx_primary_no_salary_hike_no_attrition_no_department_910,inx_primary,no_salary_hike_no_attrition_no_department,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
inx_primary_no_salary_hike_no_attrition_no_department_1151,inx_primary,no_salary_hike_no_attrition_no_department,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
inx_primary_no_salary_hike_no_attrition_no_department_874,inx_primary,no_salary_hike_no_attrition_no_department,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
inx_primary_no_salary_hike_no_attrition_no_department_203,inx_primary,no_salary_hike_no_attrition_no_department,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
inx_primary_no_salary_hike_no_attrition_no_department_452,inx_primary,no_salary_hike_no_attrition_no_department,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
inx_primary_no_salary_hike_no_attrition_no_department_897,inx_primary,no_salary_hike_no_attrition_no_department,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
inx_primary_no_salary_hike_no_attrition_no_department_464,inx_primary,no_salary_hike_no_attrition_no_department,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
inx_primary_no_salary_hike_no_attrition_no_department_479,inx_primary,no_salary_hike_no_attrition_no_department,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
inx_primary_no_salary_hike_no_attrition_no_department_39,inx_primary,no_salary_hike_no_attrition_no_department,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
inx_primary_no_salary_hike_no_attrition_no_department_294,inx_primary,no_salary_hike_no_attrition_no_department,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
inx_primary_no_salary_hike_no_attrition_no_department_725,inx_primary,no_salary_hike_no_attrition_no_department,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
inx_primary_no_salary_hike_no_attrition_no_department_1048,inx_primary,no_salary_hike_no_attrition_no_department,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
hrdataset_v14_department_free_49,hrdataset_v14,department_free,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
hrdataset_v14_department_free_98,hrdataset_v14,department_free,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
hrdataset_v14_department_free_282,hrdataset_v14,department_free,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
hrdataset_v14_department_free_300,hrdataset_v14,department_free,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
hrdataset_v14_department_free_85,hrdataset_v14,department_free,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
hrdataset_v14_department_free_189,hrdataset_v14,department_free,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
hrdataset_v14_department_free_246,hrdataset_v14,department_free,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
hrdataset_v14_department_free_302,hrdataset_v14,department_free,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
