policy_id,policy_label,support_threshold,attribute,source_attribute,metric,higher_value_is_better,gap_max_minus_min,minimum_group,minimum_value,maximum_group,maximum_value,eligible_group_count,declared_group_count,gap_status,pointwise_ci_low,pointwise_ci_high,simultaneous_ci_low,simultaneous_ci_high,interval_status,interval_scope,model_training_variability_included,n_resamples,n_complete_familywise_draws,source_gap_row,source_interval_row,source_gap_sha256,source_grid_sha256,source_interval_sha256,claim_boundary
P3,Primary Leakage-Aware,30,Age,Age,macro_f1,True,0.0300952607810995,30-39,0.60682459980127079,40-49,0.63691986058237038,4,5,estimable_descriptive_gap,0.018927774295175798,0.1233391171111099,0,0.1657172597252379,exploratory_pointwise_and_familywise_intervals_available,exploratory_familywise_simultaneous_not_confirmatory,False,5000,5000,218,56,d78755b695b3520d17f877c843aca6f53414905b9a71de3a8a92f529038ee891,6c8ef7a473d760a82492f3bb1a9abbd6d6d04d039e134c9ee3493acd6b60d6aa,10f63819d37933d8c28662c4226acf4bbcdb7c272c13102bb08930ea9397c31a,exploratory_simultaneous_interval_not_confirmatory_fairness_inference
P3,Primary Leakage-Aware,30,Age,Age,quadratic_weighted_kappa,True,0.065333131500983702,30-39,0.54656488549618332,50-59,0.61189801699716706,4,5,estimable_descriptive_gap,0.037667318237506298,0.23951947178578209,0,0.33350859406056749,exploratory_pointwise_and_familywise_intervals_available,exploratory_familywise_simultaneous_not_confirmatory,False,5000,5000,220,58,d78755b695b3520d17f877c843aca6f53414905b9a71de3a8a92f529038ee891,6c8ef7a473d760a82492f3bb1a9abbd6d6d04d039e134c9ee3493acd6b60d6aa,10f63819d37933d8c28662c4226acf4bbcdb7c272c13102bb08930ea9397c31a,exploratory_simultaneous_interval_not_confirmatory_fairness_inference
P3,Primary Leakage-Aware,30,Age,Age,ordinal_mae,False,0.077017397074521807,50-59,0.18978102189781021,30-39,0.26679841897233197,4,5,estimable_descriptive_gap,0.0303982620722789,0.15501947846587311,0,0.2411449535424677,exploratory_pointwise_and_familywise_intervals_available,exploratory_familywise_simultaneous_not_confirmatory,False,5000,5000,221,59,d78755b695b3520d17f877c843aca6f53414905b9a71de3a8a92f529038ee891,6c8ef7a473d760a82492f3bb1a9abbd6d6d04d039e134c9ee3493acd6b60d6aa,10f63819d37933d8c28662c4226acf4bbcdb7c272c13102bb08930ea9397c31a,exploratory_simultaneous_interval_not_confirmatory_fairness_inference
P3,Primary Leakage-Aware,30,Gender,Gender,macro_f1,True,0.036317192136467703,Male,0.60695112672737206,Female,0.64326831886383984,2,2,estimable_descriptive_gap,0.0024488871001937,0.087823806301059099,0,0.1515034687762781,exploratory_pointwise_and_familywise_intervals_available,exploratory_familywise_simultaneous_not_confirmatory,False,5000,5000,227,65,d78755b695b3520d17f877c843aca6f53414905b9a71de3a8a92f529038ee891,6c8ef7a473d760a82492f3bb1a9abbd6d6d04d039e134c9ee3493acd6b60d6aa,10f63819d37933d8c28662c4226acf4bbcdb7c272c13102bb08930ea9397c31a,exploratory_simultaneous_interval_not_confirmatory_fairness_inference
P3,Primary Leakage-Aware,30,Gender,Gender,quadratic_weighted_kappa,True,0.052658819186521301,Male,0.547911037206402,Female,0.60056985639292337,2,2,estimable_descriptive_gap,0.0031584737650211998,0.1385813213982382,0,0.24200192689836519,exploratory_pointwise_and_familywise_intervals_available,exploratory_familywise_simultaneous_not_confirmatory,False,5000,5000,229,67,d78755b695b3520d17f877c843aca6f53414905b9a71de3a8a92f529038ee891,6c8ef7a473d760a82492f3bb1a9abbd6d6d04d039e134c9ee3493acd6b60d6aa,10f63819d37933d8c28662c4226acf4bbcdb7c272c13102bb08930ea9397c31a,exploratory_simultaneous_interval_not_confirmatory_fairness_inference
P3,Primary Leakage-Aware,30,Gender,Gender,ordinal_mae,False,0.050816696914700497,Female,0.21263157894736839,Male,0.26344827586206898,2,2,estimable_descriptive_gap,0.0062480094217931001,0.098765878015233594,0,0.17194068142512539,exploratory_pointwise_and_familywise_intervals_available,exploratory_familywise_simultaneous_not_confirmatory,False,5000,5000,230,68,d78755b695b3520d17f877c843aca6f53414905b9a71de3a8a92f529038ee891,6c8ef7a473d760a82492f3bb1a9abbd6d6d04d039e134c9ee3493acd6b60d6aa,10f63819d37933d8c28662c4226acf4bbcdb7c272c13102bb08930ea9397c31a,exploratory_simultaneous_interval_not_confirmatory_fairness_inference
P3,Primary Leakage-Aware,30,Marital Status,MaritalStatus,macro_f1,True,0.0101459693845041,Married,0.61581133034163971,Divorced,0.62595729972614389,3,3,estimable_descriptive_gap,0.0069077430852436004,0.083126825268179105,0,0.1135039615171418,exploratory_pointwise_and_familywise_intervals_available,exploratory_familywise_simultaneous_not_confirmatory,False,5000,5000,236,74,d78755b695b3520d17f877c843aca6f53414905b9a71de3a8a92f529038ee891,6c8ef7a473d760a82492f3bb1a9abbd6d6d04d039e134c9ee3493acd6b60d6aa,10f63819d37933d8c28662c4226acf4bbcdb7c272c13102bb08930ea9397c31a,exploratory_simultaneous_interval_not_confirmatory_fairness_inference
P3,Primary Leakage-Aware,30,Marital Status,MaritalStatus,quadratic_weighted_kappa,True,0.0381421764644546,Single,0.54779717373233583,Married,0.58593935019679044,3,3,estimable_descriptive_gap,0.013998524837090799,0.1660519877702534,0,0.24310272117628939,exploratory_pointwise_and_familywise_intervals_available,exploratory_familywise_simultaneous_not_confirmatory,False,5000,5000,238,76,d78755b695b3520d17f877c843aca6f53414905b9a71de3a8a92f529038ee891,6c8ef7a473d760a82492f3bb1a9abbd6d6d04d039e134c9ee3493acd6b60d6aa,10f63819d37933d8c28662c4226acf4bbcdb7c272c13102bb08930ea9397c31a,exploratory_simultaneous_interval_not_confirmatory_fairness_inference
P3,Primary Leakage-Aware,30,Marital Status,MaritalStatus,ordinal_mae,False,0.0290733830845771,Divorced,0.2313432835820895,Single,0.26041666666666669,3,3,estimable_descriptive_gap,0.0084327313741021006,0.098091403335370905,0,0.1484714118260152,exploratory_pointwise_and_familywise_intervals_available,exploratory_familywise_simultaneous_not_confirmatory,False,5000,5000,239,77,d78755b695b3520d17f877c843aca6f53414905b9a71de3a8a92f529038ee891,6c8ef7a473d760a82492f3bb1a9abbd6d6d04d039e134c9ee3493acd6b60d6aa,10f63819d37933d8c28662c4226acf4bbcdb7c272c13102bb08930ea9397c31a,exploratory_simultaneous_interval_not_confirmatory_fairness_inference
P3,Primary Leakage-Aware,30,Business Travel,BusinessTravelFrequency,macro_f1,True,0.052844507305931397,Travel_Frequently,0.57982056257918324,Travel_Rarely,0.63266506988511473,3,3,estimable_descriptive_gap,0.0175377711340397,0.13119800954038299,0,0.19874322748555831,exploratory_pointwise_and_familywise_intervals_available,exploratory_familywise_simultaneous_not_confirmatory,False,5000,5000,245,83,d78755b695b3520d17f877c843aca6f53414905b9a71de3a8a92f529038ee891,6c8ef7a473d760a82492f3bb1a9abbd6d6d04d039e134c9ee3493acd6b60d6aa,10f63819d37933d8c28662c4226acf4bbcdb7c272c13102bb08930ea9397c31a,exploratory_simultaneous_interval_not_confirmatory_fairness_inference
