arm,dataset_key,model_name,true_label,predicted_label,count
exclusion_refit_309,hrdataset_v14,xgboost_raw,2,2,28
exclusion_refit_309,hrdataset_v14,xgboost_raw,2,3,2
exclusion_refit_309,hrdataset_v14,xgboost_raw,2,4,0
exclusion_refit_309,hrdataset_v14,xgboost_raw,3,2,1
exclusion_refit_309,hrdataset_v14,xgboost_raw,3,3,221
exclusion_refit_309,hrdataset_v14,xgboost_raw,3,4,20
exclusion_refit_309,hrdataset_v14,xgboost_raw,4,2,0
exclusion_refit_309,hrdataset_v14,xgboost_raw,4,3,32
exclusion_refit_309,hrdataset_v14,xgboost_raw,4,4,5
historical_canonical_311,hrdataset_v14,xgboost_raw,2,2,30
historical_canonical_311,hrdataset_v14,xgboost_raw,2,3,1
historical_canonical_311,hrdataset_v14,xgboost_raw,2,4,0
historical_canonical_311,hrdataset_v14,xgboost_raw,3,2,2
historical_canonical_311,hrdataset_v14,xgboost_raw,3,3,221
historical_canonical_311,hrdataset_v14,xgboost_raw,3,4,20
historical_canonical_311,hrdataset_v14,xgboost_raw,4,2,0
historical_canonical_311,hrdataset_v14,xgboost_raw,4,3,33
historical_canonical_311,hrdataset_v14,xgboost_raw,4,4,4
restricted_canonical_309,hrdataset_v14,xgboost_raw,2,2,29
restricted_canonical_309,hrdataset_v14,xgboost_raw,2,3,1
restricted_canonical_309,hrdataset_v14,xgboost_raw,2,4,0
restricted_canonical_309,hrdataset_v14,xgboost_raw,3,2,1
restricted_canonical_309,hrdataset_v14,xgboost_raw,3,3,221
restricted_canonical_309,hrdataset_v14,xgboost_raw,3,4,20
restricted_canonical_309,hrdataset_v14,xgboost_raw,4,2,0
restricted_canonical_309,hrdataset_v14,xgboost_raw,4,3,33
restricted_canonical_309,hrdataset_v14,xgboost_raw,4,4,4
