summary_id,category,value,denominator,source_path,source_sha256,derivation
selection_leader_changed,selection,6,9,reports/research_log/major_revision_round2/selection_objective_sensitivity/ranking_changes.csv,531f5279bbd89f69eae68d6826fa3a668029b401de89f1e03f9a5ee8744bcbbd,count True in leader_changed
selection_full_ordering_changed,selection,9,9,reports/research_log/major_revision_round2/selection_objective_sensitivity/ranking_changes.csv,531f5279bbd89f69eae68d6826fa3a668029b401de89f1e03f9a5ee8744bcbbd,count True in full_ordering_changed
selection_candidate_changed,selection,37,60,reports/research_log/major_revision_round2/selection_objective_sensitivity/selected_candidate_changes.csv,064fab3f79d428b15855e2dfef9a4af9aa27f672db2af0f253d6dcf66326d6b0,count True in selected_candidate_changed
hr_cv_inside,hr_cv_design,11,14,reports/research_log/major_revision_v3/phase3a_hrdataset_sensitivity/cv_design_sensitivity.csv,366b4834b25e3535c45ae2a2d1b7b1944cbdfe1ead5c3c086bccfe1d670ac1d9,count True in ten_fold_inside_repeated_range
hr_cv_outside,hr_cv_design,3,14,reports/research_log/major_revision_v3/phase3a_hrdataset_sensitivity/cv_design_sensitivity.csv,366b4834b25e3535c45ae2a2d1b7b1944cbdfe1ead5c3c086bccfe1d670ac1d9,count False in ten_fold_inside_repeated_range
hr_alias_candidate_changed,hr_alias,2,5,reports/research_log/major_revision_round2/hr_target_alias_sensitivity/selected_hyperparameters.csv,c6d3eb2a0d421527fa1fde877cd29c3a5130db7ca5e5cc48ec035e578639de6e,count True in selected_candidate_changed
p3_p4_fixed_macro_f1_delta,timing_information,-0.2093522509132256,1,reports/research_log/major_revision_v3/phase1d_policy_retuning/headline_policy_comparison.csv,3ea78efa8b710759c1db2fa53e782b0144951ac927f3c86f0e18871b3c3e95e4,P4.fixed_macro_f1 minus P3.fixed_macro_f1
p3_p4_fixed_quadratic_weighted_kappa_delta,timing_information,-0.35810351296815993,1,reports/research_log/major_revision_v3/phase1d_policy_retuning/headline_policy_comparison.csv,3ea78efa8b710759c1db2fa53e782b0144951ac927f3c86f0e18871b3c3e95e4,P4.fixed_quadratic_weighted_kappa minus P3.fixed_quadratic_weighted_kappa
p3_p4_fixed_ordinal_mae_delta,timing_information,0.23999999999999999,1,reports/research_log/major_revision_v3/phase1d_policy_retuning/headline_policy_comparison.csv,3ea78efa8b710759c1db2fa53e782b0144951ac927f3c86f0e18871b3c3e95e4,P4.fixed_ordinal_mae minus P3.fixed_ordinal_mae
p3_p4_retuned_macro_f1_delta,timing_information,-0.1936734123548972,1,reports/research_log/major_revision_v3/phase1d_policy_retuning/headline_policy_comparison.csv,3ea78efa8b710759c1db2fa53e782b0144951ac927f3c86f0e18871b3c3e95e4,P4.retuned_macro_f1 minus P3.retuned_macro_f1
p3_p4_retuned_quadratic_weighted_kappa_delta,timing_information,-0.3307990250438372,1,reports/research_log/major_revision_v3/phase1d_policy_retuning/headline_policy_comparison.csv,3ea78efa8b710759c1db2fa53e782b0144951ac927f3c86f0e18871b3c3e95e4,P4.retuned_quadratic_weighted_kappa minus P3.retuned_quadratic_weighted_kappa
p3_p4_retuned_ordinal_mae_delta,timing_information,0.23999999999999999,1,reports/research_log/major_revision_v3/phase1d_policy_retuning/headline_policy_comparison.csv,3ea78efa8b710759c1db2fa53e782b0144951ac927f3c86f0e18871b3c3e95e4,P4.retuned_ordinal_mae minus P3.retuned_ordinal_mae
p4_p5_fixed_macro_f1_delta,timing_information,-0.0656876711099055,1,reports/research_log/major_revision_v3/phase1d_policy_retuning/headline_policy_comparison.csv,3ea78efa8b710759c1db2fa53e782b0144951ac927f3c86f0e18871b3c3e95e4,P5.fixed_macro_f1 minus P4.fixed_macro_f1
p4_p5_fixed_quadratic_weighted_kappa_delta,timing_information,-0.11498912044116460,1,reports/research_log/major_revision_v3/phase1d_policy_retuning/headline_policy_comparison.csv,3ea78efa8b710759c1db2fa53e782b0144951ac927f3c86f0e18871b3c3e95e4,P5.fixed_quadratic_weighted_kappa minus P4.fixed_quadratic_weighted_kappa
p4_p5_fixed_ordinal_mae_delta,timing_information,0.11249999999999996,1,reports/research_log/major_revision_v3/phase1d_policy_retuning/headline_policy_comparison.csv,3ea78efa8b710759c1db2fa53e782b0144951ac927f3c86f0e18871b3c3e95e4,P5.fixed_ordinal_mae minus P4.fixed_ordinal_mae
p4_p5_retuned_macro_f1_delta,timing_information,-0.0726965039805020,1,reports/research_log/major_revision_v3/phase1d_policy_retuning/headline_policy_comparison.csv,3ea78efa8b710759c1db2fa53e782b0144951ac927f3c86f0e18871b3c3e95e4,P5.retuned_macro_f1 minus P4.retuned_macro_f1
p4_p5_retuned_quadratic_weighted_kappa_delta,timing_information,-0.17668572729746735,1,reports/research_log/major_revision_v3/phase1d_policy_retuning/headline_policy_comparison.csv,3ea78efa8b710759c1db2fa53e782b0144951ac927f3c86f0e18871b3c3e95e4,P5.retuned_quadratic_weighted_kappa minus P4.retuned_quadratic_weighted_kappa
p4_p5_retuned_ordinal_mae_delta,timing_information,0.06833333333333326,1,reports/research_log/major_revision_v3/phase1d_policy_retuning/headline_policy_comparison.csv,3ea78efa8b710759c1db2fa53e782b0144951ac927f3c86f0e18871b3c3e95e4,P5.retuned_ordinal_mae minus P4.retuned_ordinal_mae
