selection_objective,model,metric,value
macro_f1,cumulative_threshold_xgboost,accuracy,0.6875
macro_f1,cumulative_threshold_xgboost,adjacent_accuracy,0.9983333333333333
macro_f1,cumulative_threshold_xgboost,balanced_accuracy,0.6745231336221923
macro_f1,cumulative_threshold_xgboost,ece_confidence,0.036279059021035225
macro_f1,cumulative_threshold_xgboost,macro_f1,0.6254589405107375
macro_f1,cumulative_threshold_xgboost,macro_precision,0.6177274700177959
macro_f1,cumulative_threshold_xgboost,macro_recall,0.6745231336221923
macro_f1,cumulative_threshold_xgboost,multiclass_brier,0.4156397748910172
macro_f1,cumulative_threshold_xgboost,nll_log_loss,1.3053420590697462
macro_f1,cumulative_threshold_xgboost,ordinal_mae,0.31416666666666665
macro_f1,cumulative_threshold_xgboost,quadratic_weighted_kappa,0.5549741277609709
macro_f1,cumulative_threshold_xgboost,ranked_probability_score,0.10292624128447324
macro_f1,cumulative_threshold_xgboost,two_level_reversal_rate,0.0016666666666666668
macro_f1,cumulative_threshold_xgboost,weighted_f1,0.7204577662947739
macro_f1,cumulative_threshold_xgboost,weighted_precision,0.783005967994361
macro_f1,cumulative_threshold_xgboost,weighted_recall,0.6875
macro_f1,lightgbm,accuracy,0.8041666666666667
macro_f1,lightgbm,adjacent_accuracy,0.9975
macro_f1,lightgbm,balanced_accuracy,0.6218085690708305
macro_f1,lightgbm,ece_confidence,0.08637988509260462
macro_f1,lightgbm,macro_f1,0.6054877989025346
macro_f1,lightgbm,macro_precision,0.597444000547498
macro_f1,lightgbm,macro_recall,0.6218085690708305
macro_f1,lightgbm,multiclass_brier,0.31728849312284085
macro_f1,lightgbm,nll_log_loss,0.5882905279384019
macro_f1,lightgbm,ordinal_mae,0.19833333333333333
macro_f1,lightgbm,quadratic_weighted_kappa,0.5883292466200256
macro_f1,lightgbm,ranked_probability_score,0.08040618857328805
macro_f1,lightgbm,two_level_reversal_rate,0.0025
macro_f1,lightgbm,weighted_f1,0.7828110500437045
macro_f1,lightgbm,weighted_precision,0.7650726675181624
macro_f1,lightgbm,weighted_recall,0.8041666666666667
macro_f1,logistic_regression,accuracy,0.6575
macro_f1,logistic_regression,adjacent_accuracy,0.9875
macro_f1,logistic_regression,balanced_accuracy,0.5240114347370947
macro_f1,logistic_regression,ece_confidence,0.08149117721287089
macro_f1,logistic_regression,macro_f1,0.5062207027280411
macro_f1,logistic_regression,macro_precision,0.4952084793274436
macro_f1,logistic_regression,macro_recall,0.5240114347370947
macro_f1,logistic_regression,multiclass_brier,0.4414988252803433
macro_f1,logistic_regression,nll_log_loss,0.7142190792589433
macro_f1,logistic_regression,ordinal_mae,0.355
macro_f1,logistic_regression,quadratic_weighted_kappa,0.3710113475438177
macro_f1,logistic_regression,ranked_probability_score,0.11341442812838876
macro_f1,logistic_regression,two_level_reversal_rate,0.0125
macro_f1,logistic_regression,weighted_f1,0.6697554308419819
macro_f1,logistic_regression,weighted_precision,0.6870488364042748
macro_f1,logistic_regression,weighted_recall,0.6575
macro_f1,proportional_odds_logistic,accuracy,0.5408333333333334
macro_f1,proportional_odds_logistic,adjacent_accuracy,0.9908333333333333
macro_f1,proportional_odds_logistic,balanced_accuracy,0.5531187693777045
macro_f1,proportional_odds_logistic,ece_confidence,0.2066473313133832
macro_f1,proportional_odds_logistic,macro_f1,0.484376966740101
macro_f1,proportional_odds_logistic,macro_precision,0.4861465249551891
macro_f1,proportional_odds_logistic,macro_recall,0.5531187693777045
macro_f1,proportional_odds_logistic,multiclass_brier,0.5790612249553473
macro_f1,proportional_odds_logistic,nll_log_loss,0.8981885257561593
macro_f1,proportional_odds_logistic,ordinal_mae,0.4683333333333333
macro_f1,proportional_odds_logistic,quadratic_weighted_kappa,0.3927083405547429
macro_f1,proportional_odds_logistic,ranked_probability_score,0.14047979116106593
macro_f1,proportional_odds_logistic,two_level_reversal_rate,0.009166666666666667
macro_f1,proportional_odds_logistic,weighted_f1,0.578418443243149
macro_f1,proportional_odds_logistic,weighted_precision,0.6766085704307725
macro_f1,proportional_odds_logistic,weighted_recall,0.5408333333333334
macro_f1,random_forest,accuracy,0.8433333333333334
macro_f1,random_forest,adjacent_accuracy,0.9983333333333333
macro_f1,random_forest,balanced_accuracy,0.6252565524074641
macro_f1,random_forest,ece_confidence,0.2085914992186787
macro_f1,random_forest,macro_f1,0.5923396716497974
macro_f1,random_forest,macro_precision,0.5627289464798783
macro_f1,random_forest,macro_recall,0.6252565524074641
macro_f1,random_forest,multiclass_brier,0.3412800646473824
macro_f1,random_forest,nll_log_loss,0.5982140010442769
macro_f1,random_forest,ordinal_mae,0.15833333333333333
macro_f1,random_forest,quadratic_weighted_kappa,0.6316782057286063
macro_f1,random_forest,ranked_probability_score,0.08217810547034922
macro_f1,random_forest,two_level_reversal_rate,0.0016666666666666668
macro_f1,random_forest,weighted_f1,0.7970399603325852
macro_f1,random_forest,weighted_precision,0.7555752091177239
macro_f1,random_forest,weighted_recall,0.8433333333333334
macro_f1,xgboost,accuracy,0.7591666666666667
macro_f1,xgboost,adjacent_accuracy,0.9975
macro_f1,xgboost,balanced_accuracy,0.6360452170862891
macro_f1,xgboost,ece_confidence,0.03754265683135832
macro_f1,xgboost,macro_f1,0.6210211647446707
macro_f1,xgboost,macro_precision,0.6088778581249189
macro_f1,xgboost,macro_recall,0.6360452170862891
macro_f1,xgboost,multiclass_brier,0.34260632657334306
macro_f1,xgboost,nll_log_loss,0.5514626110693018
macro_f1,xgboost,ordinal_mae,0.24333333333333335
macro_f1,xgboost,quadratic_weighted_kappa,0.567602077831626
macro_f1,xgboost,ranked_probability_score,0.08597383249482213
macro_f1,xgboost,two_level_reversal_rate,0.0025
macro_f1,xgboost,weighted_f1,0.7643838408010087
macro_f1,xgboost,weighted_precision,0.7715440036340437
macro_f1,xgboost,weighted_recall,0.7591666666666667
qwk,cumulative_threshold_xgboost,accuracy,0.8483333333333334
qwk,cumulative_threshold_xgboost,adjacent_accuracy,0.9983333333333333
qwk,cumulative_threshold_xgboost,balanced_accuracy,0.6208607579010278
qwk,cumulative_threshold_xgboost,ece_confidence,0.030058300534922942
qwk,cumulative_threshold_xgboost,macro_f1,0.5912134189864383
qwk,cumulative_threshold_xgboost,macro_precision,0.5645849205263946
qwk,cumulative_threshold_xgboost,macro_recall,0.6208607579010278
qwk,cumulative_threshold_xgboost,multiclass_brier,0.26274312036195957
qwk,cumulative_threshold_xgboost,nll_log_loss,0.4886146025292758
qwk,cumulative_threshold_xgboost,ordinal_mae,0.15333333333333332
qwk,cumulative_threshold_xgboost,quadratic_weighted_kappa,0.6318874254310964
qwk,cumulative_threshold_xgboost,ranked_probability_score,0.06658639841901966
qwk,cumulative_threshold_xgboost,two_level_reversal_rate,0.0016666666666666668
qwk,cumulative_threshold_xgboost,weighted_f1,0.7988013204853676
qwk,cumulative_threshold_xgboost,weighted_precision,0.7549772746511431
qwk,cumulative_threshold_xgboost,weighted_recall,0.8483333333333334
qwk,lightgbm,accuracy,0.8316666666666667
qwk,lightgbm,adjacent_accuracy,0.9983333333333333
qwk,lightgbm,balanced_accuracy,0.6164611507035249
qwk,lightgbm,ece_confidence,0.10529197130962646
qwk,lightgbm,macro_f1,0.5987309330962581
qwk,lightgbm,macro_precision,0.6219134587943121
qwk,lightgbm,macro_recall,0.6164611507035249
qwk,lightgbm,multiclass_brier,0.2988229498980066
qwk,lightgbm,nll_log_loss,0.6548838613838496
qwk,lightgbm,ordinal_mae,0.17
qwk,lightgbm,quadratic_weighted_kappa,0.6097463351178266
qwk,lightgbm,ranked_probability_score,0.07561283325625917
qwk,lightgbm,two_level_reversal_rate,0.0016666666666666668
qwk,lightgbm,weighted_f1,0.7930220828363242
qwk,lightgbm,weighted_precision,0.7711844305008025
qwk,lightgbm,weighted_recall,0.8316666666666667
qwk,logistic_regression,accuracy,0.6516666666666666
qwk,logistic_regression,adjacent_accuracy,0.9875
qwk,logistic_regression,balanced_accuracy,0.5200048921592247
