outer_fold,outer_train_count,outer_test_count,train_count_class_2,train_count_class_3,train_count_class_4,prior_prob_class_2,prior_prob_class_3,prior_prob_class_4,derived_from_outer_training_labels_only
1,1080,120,175,786,119,0.16203703703703703,0.7277777777777777,0.11018518518518519,True
2,1080,120,175,786,119,0.16203703703703703,0.7277777777777777,0.11018518518518519,True
3,1080,120,175,786,119,0.16203703703703703,0.7277777777777777,0.11018518518518519,True
4,1080,120,175,786,119,0.16203703703703703,0.7277777777777777,0.11018518518518519,True
5,1080,120,174,787,119,0.16111111111111112,0.7287037037037037,0.11018518518518519,True
6,1080,120,174,787,119,0.16111111111111112,0.7287037037037037,0.11018518518518519,True
7,1080,120,174,787,119,0.16111111111111112,0.7287037037037037,0.11018518518518519,True
8,1080,120,174,787,119,0.16111111111111112,0.7287037037037037,0.11018518518518519,True
9,1080,120,175,787,118,0.16203703703703703,0.7287037037037037,0.10925925925925926,True
10,1080,120,175,787,118,0.16203703703703703,0.7287037037037037,0.10925925925925926,True
