model,metric,value
outer_training_empirical_prior,accuracy,0.7283333333333334
outer_training_empirical_prior,adjacent_accuracy,1.0
outer_training_empirical_prior,balanced_accuracy,0.3333333333333333
outer_training_empirical_prior,ece_confidence,0.0
outer_training_empirical_prior,macro_f1,0.2809386049501768
outer_training_empirical_prior,macro_precision,0.2427777777777778
outer_training_empirical_prior,macro_recall,0.3333333333333333
outer_training_empirical_prior,multiclass_brier,0.43130486968449927
outer_training_empirical_prior,nll_log_loss,0.7682980081665606
outer_training_empirical_prior,ordinal_mae,0.27166666666666667
outer_training_empirical_prior,quadratic_weighted_kappa,0.0
outer_training_empirical_prior,ranked_probability_score,0.11671853566529493
outer_training_empirical_prior,two_level_reversal_rate,0.0
outer_training_empirical_prior,weighted_f1,0.6138508518161363
outer_training_empirical_prior,weighted_precision,0.5304694444444444
outer_training_empirical_prior,weighted_recall,0.7283333333333334
