metric,direction,model,macro_f1_selection_value,qwk_selection_value,qwk_minus_macro_f1_selection,absolute_effect_magnitude,macro_f1_selection_rank,qwk_selection_rank,rank_position_change
macro_f1,higher,logistic_regression,0.5062207027280411,0.5013173649029127,-0.004903337825128418,0.004903337825128418,5,5,0
macro_f1,higher,random_forest,0.5923396716497974,0.5906004509221857,-0.001739220727611679,0.001739220727611679,4,4,0
macro_f1,higher,lightgbm,0.6054877989025346,0.5987309330962581,-0.006756865806276435,0.006756865806276435,3,2,-1
macro_f1,higher,xgboost,0.6210211647446707,0.6013783576379511,-0.019642807106719617,0.019642807106719617,2,1,-1
macro_f1,higher,proportional_odds_logistic,0.484376966740101,0.4630525078185715,-0.02132445892152951,0.02132445892152951,6,6,0
macro_f1,higher,cumulative_threshold_xgboost,0.6254589405107375,0.5912134189864383,-0.03424552152429916,0.03424552152429916,1,3,2
balanced_accuracy,higher,logistic_regression,0.5240114347370947,0.5200048921592247,-0.00400654257786992,0.00400654257786992,6,6,0
balanced_accuracy,higher,random_forest,0.6252565524074641,0.6260193289139478,0.0007627765064837089,0.0007627765064837089,3,2,-1
balanced_accuracy,higher,lightgbm,0.6218085690708305,0.6164611507035249,-0.0053474183673055675,0.0053474183673055675,4,4,0
balanced_accuracy,higher,xgboost,0.6360452170862891,0.6300701344521675,-0.005975082634121609,0.005975082634121609,2,1,-1
balanced_accuracy,higher,proportional_odds_logistic,0.5531187693777045,0.5835535758157193,0.030434806438014772,0.030434806438014772,5,5,0
balanced_accuracy,higher,cumulative_threshold_xgboost,0.6745231336221923,0.6208607579010278,-0.0536623757211645,0.0536623757211645,1,3,2
quadratic_weighted_kappa,higher,logistic_regression,0.3710113475438177,0.36564045651965427,-0.005370891024163438,0.005370891024163438,6,6,0
quadratic_weighted_kappa,higher,random_forest,0.6316782057286063,0.6335085196543782,0.0018303139257718204,0.0018303139257718204,1,2,1
quadratic_weighted_kappa,higher,lightgbm,0.5883292466200256,0.6097463351178266,0.021417088497800996,0.021417088497800996,2,4,2
