model,outer_fold,macro_f1_candidate_index,qwk_candidate_index,selected_candidate_changed
cumulative_threshold_xgboost,1,5,0,True
cumulative_threshold_xgboost,2,5,4,True
cumulative_threshold_xgboost,3,5,0,True
cumulative_threshold_xgboost,4,5,0,True
cumulative_threshold_xgboost,5,5,0,True
cumulative_threshold_xgboost,6,5,0,True
cumulative_threshold_xgboost,7,5,4,True
cumulative_threshold_xgboost,8,5,4,True
cumulative_threshold_xgboost,9,5,0,True
cumulative_threshold_xgboost,10,5,0,True
lightgbm,1,7,0,True
lightgbm,2,1,0,True
lightgbm,3,7,0,True
lightgbm,4,7,6,True
lightgbm,5,3,5,True
lightgbm,6,1,5,True
lightgbm,7,7,2,True
lightgbm,8,1,4,True
lightgbm,9,3,4,True
lightgbm,10,5,0,True
logistic_regression,1,3,3,False
logistic_regression,2,4,4,False
logistic_regression,3,4,4,False
logistic_regression,4,4,4,False
logistic_regression,5,5,1,True
logistic_regression,6,5,5,False
logistic_regression,7,4,4,False
logistic_regression,8,3,3,False
logistic_regression,9,4,4,False
logistic_regression,10,4,4,False
proportional_odds_logistic,1,1,1,False
proportional_odds_logistic,2,4,1,True
proportional_odds_logistic,3,4,1,True
proportional_odds_logistic,4,1,1,False
proportional_odds_logistic,5,1,1,False
proportional_odds_logistic,6,1,1,False
proportional_odds_logistic,7,3,3,False
proportional_odds_logistic,8,1,1,False
proportional_odds_logistic,9,1,1,False
proportional_odds_logistic,10,3,3,False
random_forest,1,5,5,False
random_forest,2,3,5,True
random_forest,3,5,5,False
random_forest,4,3,5,True
random_forest,5,5,5,False
random_forest,6,3,3,False
random_forest,7,7,5,True
random_forest,8,5,3,True
random_forest,9,5,5,False
random_forest,10,3,3,False
xgboost,1,3,0,True
xgboost,2,1,2,True
xgboost,3,5,4,True
xgboost,4,3,0,True
xgboost,5,1,2,True
xgboost,6,5,2,True
xgboost,7,1,0,True
xgboost,8,5,2,True
xgboost,9,1,2,True
xgboost,10,1,0,True
