model,outer_fold,selection_objective,selected_candidate_index,selected_candidate_parameters_json,selected_primary_mean,selected_tie_break_mean,primary_gap_from_best,practical_tie_tolerance,outer_test_used_for_selection,candidate_evidence_source
cumulative_threshold_xgboost,1,macro_f1,5,"{""class_weight"":""balanced"",""max_depth"":3,""min_child_weight"":1.0}",0.6451604974305194,0.5806345631497504,0.0,0.001,False,phase1b_ordinal_candidate_scores
cumulative_threshold_xgboost,2,macro_f1,5,"{""class_weight"":""balanced"",""max_depth"":3,""min_child_weight"":1.0}",0.6173068946163681,0.5509718571822304,0.0,0.001,False,phase1b_ordinal_candidate_scores
cumulative_threshold_xgboost,3,macro_f1,5,"{""class_weight"":""balanced"",""max_depth"":3,""min_child_weight"":1.0}",0.6017956581487119,0.5291709527345421,0.0,0.001,False,phase1b_ordinal_candidate_scores
cumulative_threshold_xgboost,4,macro_f1,5,"{""class_weight"":""balanced"",""max_depth"":3,""min_child_weight"":1.0}",0.6183667170514955,0.5502083746770676,0.0,0.001,False,phase1b_ordinal_candidate_scores
cumulative_threshold_xgboost,5,macro_f1,5,"{""class_weight"":""balanced"",""max_depth"":3,""min_child_weight"":1.0}",0.6167206384463073,0.5425794375735944,0.0,0.001,False,phase1b_ordinal_candidate_scores
cumulative_threshold_xgboost,6,macro_f1,5,"{""class_weight"":""balanced"",""max_depth"":3,""min_child_weight"":1.0}",0.6224621089383601,0.5569251441879739,0.0,0.001,False,phase1b_ordinal_candidate_scores
cumulative_threshold_xgboost,7,macro_f1,5,"{""class_weight"":""balanced"",""max_depth"":3,""min_child_weight"":1.0}",0.6164958991138209,0.543735902316835,0.0,0.001,False,phase1b_ordinal_candidate_scores
cumulative_threshold_xgboost,8,macro_f1,5,"{""class_weight"":""balanced"",""max_depth"":3,""min_child_weight"":1.0}",0.606698239137277,0.5307032496772596,0.0,0.001,False,phase1b_ordinal_candidate_scores
cumulative_threshold_xgboost,9,macro_f1,5,"{""class_weight"":""balanced"",""max_depth"":3,""min_child_weight"":1.0}",0.6343210801699231,0.5671780337109785,0.0,0.001,False,phase1b_ordinal_candidate_scores
cumulative_threshold_xgboost,10,macro_f1,5,"{""class_weight"":""balanced"",""max_depth"":3,""min_child_weight"":1.0}",0.613382418554651,0.5459873071232767,0.0,0.001,False,phase1b_ordinal_candidate_scores
lightgbm,1,macro_f1,7,"{""class_weight"":""balanced"",""min_child_samples"":40,""num_leaves"":31}",0.6323055380304148,0.6196732671324137,0.0,0.001,False,canonical_v2_nominal_candidate_scores
lightgbm,2,macro_f1,1,"{""class_weight"":""balanced"",""min_child_samples"":20,""num_leaves"":15}",0.6315557201102971,0.6142905914680441,0.0,0.001,False,canonical_v2_nominal_candidate_scores
lightgbm,3,macro_f1,7,"{""class_weight"":""balanced"",""min_child_samples"":40,""num_leaves"":31}",0.6085845685537736,0.5757778775055166,0.0,0.001,False,canonical_v2_nominal_candidate_scores
lightgbm,4,macro_f1,7,"{""class_weight"":""balanced"",""min_child_samples"":40,""num_leaves"":31}",0.5976359662603616,0.5729941845649306,0.0,0.001,False,canonical_v2_nominal_candidate_scores
lightgbm,5,macro_f1,3,"{""class_weight"":""balanced"",""min_child_samples"":40,""num_leaves"":15}",0.6416777543660263,0.6183085581733856,0.0,0.001,False,canonical_v2_nominal_candidate_scores
lightgbm,6,macro_f1,1,"{""class_weight"":""balanced"",""min_child_samples"":20,""num_leaves"":15}",0.6296726382764538,0.6286477681285572,0.00036843252289930906,0.001,False,canonical_v2_nominal_candidate_scores
lightgbm,7,macro_f1,7,"{""class_weight"":""balanced"",""min_child_samples"":40,""num_leaves"":31}",0.6167998416085159,0.5839956541308345,0.0,0.001,False,canonical_v2_nominal_candidate_scores
lightgbm,8,macro_f1,1,"{""class_weight"":""balanced"",""min_child_samples"":20,""num_leaves"":15}",0.6246490781765921,0.6192032773694115,0.0,0.001,False,canonical_v2_nominal_candidate_scores
lightgbm,9,macro_f1,3,"{""class_weight"":""balanced"",""min_child_samples"":40,""num_leaves"":15}",0.6161732289280092,0.5968824112432787,0.0,0.001,False,canonical_v2_nominal_candidate_scores
lightgbm,10,macro_f1,5,"{""class_weight"":""balanced"",""min_child_samples"":20,""num_leaves"":31}",0.6210158630270038,0.6332320537582772,0.0,0.001,False,canonical_v2_nominal_candidate_scores
logistic_regression,1,macro_f1,3,"{""C"":1.0,""class_weight"":""balanced""}",0.5092044313970947,0.4073636219533362,0.0,0.001,False,canonical_v2_nominal_candidate_scores
logistic_regression,2,macro_f1,4,"{""C"":10.0,""class_weight"":null}",0.5058353329274747,0.4268297425853669,0.0,0.001,False,canonical_v2_nominal_candidate_scores
logistic_regression,3,macro_f1,4,"{""C"":10.0,""class_weight"":null}",0.4830286945417764,0.3883635432734998,0.0,0.001,False,canonical_v2_nominal_candidate_scores
logistic_regression,4,macro_f1,4,"{""C"":10.0,""class_weight"":null}",0.4824525499210586,0.3888603024509897,0.0,0.001,False,canonical_v2_nominal_candidate_scores
logistic_regression,5,macro_f1,5,"{""C"":10.0,""class_weight"":""balanced""}",0.4808291923484772,0.3734220506286495,0.0,0.001,False,canonical_v2_nominal_candidate_scores
logistic_regression,6,macro_f1,5,"{""C"":10.0,""class_weight"":""balanced""}",0.5115955374056186,0.4012474222958762,0.0,0.001,False,canonical_v2_nominal_candidate_scores
logistic_regression,7,macro_f1,4,"{""C"":10.0,""class_weight"":null}",0.4913552972279092,0.4139589813982599,0.0,0.001,False,canonical_v2_nominal_candidate_scores
logistic_regression,8,macro_f1,3,"{""C"":1.0,""class_weight"":""balanced""}",0.4846547682251619,0.390255168446988,0.0009483104846232937,0.001,False,canonical_v2_nominal_candidate_scores
logistic_regression,9,macro_f1,4,"{""C"":10.0,""class_weight"":null}",0.4859924768679647,0.3875446795568026,0.0,0.001,False,canonical_v2_nominal_candidate_scores
logistic_regression,10,macro_f1,4,"{""C"":10.0,""class_weight"":null}",0.4991027543156404,0.4214907610700189,0.0,0.001,False,canonical_v2_nominal_candidate_scores
proportional_odds_logistic,1,macro_f1,1,"{""C"":0.1,""class_weight"":""balanced""}",0.4702386232430595,0.4080688027948964,0.0,0.001,False,phase1b_ordinal_candidate_scores
proportional_odds_logistic,2,macro_f1,4,"{""C"":10.0,""class_weight"":null}",0.4713437013611012,0.3229347813561923,0.0,0.001,False,phase1b_ordinal_candidate_scores
proportional_odds_logistic,3,macro_f1,4,"{""C"":10.0,""class_weight"":null}",0.4549330589065648,0.2855812131672096,0.0,0.001,False,phase1b_ordinal_candidate_scores
proportional_odds_logistic,4,macro_f1,1,"{""C"":0.1,""class_weight"":""balanced""}",0.4505371586952627,0.3800435461207562,0.0,0.001,False,phase1b_ordinal_candidate_scores
proportional_odds_logistic,5,macro_f1,1,"{""C"":0.1,""class_weight"":""balanced""}",0.4575510266531264,0.3960241862975666,0.0,0.001,False,phase1b_ordinal_candidate_scores
proportional_odds_logistic,6,macro_f1,1,"{""C"":0.1,""class_weight"":""balanced""}",0.4702083743727617,0.3972234647092461,0.0,0.001,False,phase1b_ordinal_candidate_scores
proportional_odds_logistic,7,macro_f1,3,"{""C"":1.0,""class_weight"":""balanced""}",0.4682492276847479,0.3931207451286044,0.0,0.001,False,phase1b_ordinal_candidate_scores
proportional_odds_logistic,8,macro_f1,1,"{""C"":0.1,""class_weight"":""balanced""}",0.471399927851267,0.406176935475518,0.0,0.001,False,phase1b_ordinal_candidate_scores
proportional_odds_logistic,9,macro_f1,1,"{""C"":0.1,""class_weight"":""balanced""}",0.4698212394942571,0.3986013399917504,0.0,0.001,False,phase1b_ordinal_candidate_scores
proportional_odds_logistic,10,macro_f1,3,"{""C"":1.0,""class_weight"":""balanced""}",0.4420175567658876,0.3681572612842331,0.0,0.001,False,phase1b_ordinal_candidate_scores
random_forest,1,macro_f1,5,"{""class_weight"":""balanced_subsample"",""max_depth"":8,""min_samples_leaf"":1}",0.5976985036508919,0.644447676379154,0.0,0.001,False,canonical_v2_nominal_candidate_scores
random_forest,2,macro_f1,3,"{""class_weight"":""balanced_subsample"",""max_depth"":null,""min_samples_leaf"":3}",0.5983698251338817,0.6385114675747975,0.0,0.001,False,canonical_v2_nominal_candidate_scores
random_forest,3,macro_f1,5,"{""class_weight"":""balanced_subsample"",""max_depth"":8,""min_samples_leaf"":1}",0.5958646540711647,0.6351972675442139,0.0,0.001,False,canonical_v2_nominal_candidate_scores
random_forest,4,macro_f1,3,"{""class_weight"":""balanced_subsample"",""max_depth"":null,""min_samples_leaf"":3}",0.5955580431319485,0.6272437384753033,0.0,0.001,False,canonical_v2_nominal_candidate_scores
random_forest,5,macro_f1,5,"{""class_weight"":""balanced_subsample"",""max_depth"":8,""min_samples_leaf"":1}",0.5916646548187556,0.6321469541147917,0.0,0.001,False,canonical_v2_nominal_candidate_scores
random_forest,6,macro_f1,3,"{""class_weight"":""balanced_subsample"",""max_depth"":null,""min_samples_leaf"":3}",0.5967628239681675,0.6351158749193798,0.0,0.001,False,canonical_v2_nominal_candidate_scores
random_forest,7,macro_f1,7,"{""class_weight"":""balanced_subsample"",""max_depth"":8,""min_samples_leaf"":3}",0.5974529685523583,0.615344480345456,0.0,0.001,False,canonical_v2_nominal_candidate_scores
random_forest,8,macro_f1,5,"{""class_weight"":""balanced_subsample"",""max_depth"":8,""min_samples_leaf"":1}",0.5982092538003194,0.6306852735867998,0.0,0.001,False,canonical_v2_nominal_candidate_scores
random_forest,9,macro_f1,5,"{""class_weight"":""balanced_subsample"",""max_depth"":8,""min_samples_leaf"":1}",0.5905295308473795,0.6302786339095393,0.0,0.001,False,canonical_v2_nominal_candidate_scores
random_forest,10,macro_f1,3,"{""class_weight"":""balanced_subsample"",""max_depth"":null,""min_samples_leaf"":3}",0.5908407596247294,0.6334193864140649,0.0,0.001,False,canonical_v2_nominal_candidate_scores
xgboost,1,macro_f1,3,"{""class_weight"":""balanced"",""max_depth"":3,""min_child_weight"":5.0}",0.6405982435343656,0.5821500911844468,0.0,0.001,False,canonical_v2_nominal_candidate_scores
xgboost,2,macro_f1,1,"{""class_weight"":""balanced"",""max_depth"":3,""min_child_weight"":1.0}",0.6427504491972831,0.5939481917165972,0.0,0.001,False,canonical_v2_nominal_candidate_scores
xgboost,3,macro_f1,5,"{""class_weight"":""balanced"",""max_depth"":5,""min_child_weight"":1.0}",0.6165997967027781,0.5934877151067564,0.0,0.001,False,canonical_v2_nominal_candidate_scores
xgboost,4,macro_f1,3,"{""class_weight"":""balanced"",""max_depth"":3,""min_child_weight"":5.0}",0.6154696593077518,0.5545067630685738,0.0,0.001,False,canonical_v2_nominal_candidate_scores
xgboost,5,macro_f1,1,"{""class_weight"":""balanced"",""max_depth"":3,""min_child_weight"":1.0}",0.6498928184643444,0.5982738256766076,0.0,0.001,False,canonical_v2_nominal_candidate_scores
xgboost,6,macro_f1,5,"{""class_weight"":""balanced"",""max_depth"":5,""min_child_weight"":1.0}",0.640002103099496,0.6326353515809965,0.0,0.001,False,canonical_v2_nominal_candidate_scores
xgboost,7,macro_f1,1,"{""class_weight"":""balanced"",""max_depth"":3,""min_child_weight"":1.0}",0.62570352575046,0.5731367374961718,0.0,0.001,False,canonical_v2_nominal_candidate_scores
xgboost,8,macro_f1,5,"{""class_weight"":""balanced"",""max_depth"":5,""min_child_weight"":1.0}",0.6322265993290898,0.6170734305569475,0.0,0.001,False,canonical_v2_nominal_candidate_scores
xgboost,9,macro_f1,1,"{""class_weight"":""balanced"",""max_depth"":3,""min_child_weight"":1.0}",0.6415558852152039,0.58644057740983,0.0,0.001,False,canonical_v2_nominal_candidate_scores
xgboost,10,macro_f1,1,"{""class_weight"":""balanced"",""max_depth"":3,""min_child_weight"":1.0}",0.6280335451346277,0.580951457613738,0.0,0.001,False,canonical_v2_nominal_candidate_scores
cumulative_threshold_xgboost,1,qwk,0,"{""class_weight"":null,""max_depth"":2,""min_child_weight"":1.0}",0.6555416584314031,0.6026315672397113,0.0,0.001,False,phase1b_ordinal_candidate_scores
cumulative_threshold_xgboost,2,qwk,4,"{""class_weight"":null,""max_depth"":3,""min_child_weight"":1.0}",0.6431129364209667,0.5965874368639479,0.0008339518122014722,0.001,False,phase1b_ordinal_candidate_scores
cumulative_threshold_xgboost,3,qwk,0,"{""class_weight"":null,""max_depth"":2,""min_child_weight"":1.0}",0.6342087639143978,0.5929887492535986,0.0,0.001,False,phase1b_ordinal_candidate_scores
cumulative_threshold_xgboost,4,qwk,0,"{""class_weight"":null,""max_depth"":2,""min_child_weight"":1.0}",0.6343497166369818,0.5911748877613447,0.0,0.001,False,phase1b_ordinal_candidate_scores
cumulative_threshold_xgboost,5,qwk,0,"{""class_weight"":null,""max_depth"":2,""min_child_weight"":1.0}",0.6332360645823816,0.5927112834160992,0.0,0.001,False,phase1b_ordinal_candidate_scores
cumulative_threshold_xgboost,6,qwk,0,"{""class_weight"":null,""max_depth"":2,""min_child_weight"":1.0}",0.6371926075727605,0.5918285754438883,0.0,0.001,False,phase1b_ordinal_candidate_scores
cumulative_threshold_xgboost,7,qwk,4,"{""class_weight"":null,""max_depth"":3,""min_child_weight"":1.0}",0.6278697990279835,0.5946121016231853,0.0,0.001,False,phase1b_ordinal_candidate_scores
cumulative_threshold_xgboost,8,qwk,4,"{""class_weight"":null,""max_depth"":3,""min_child_weight"":1.0}",0.6412561875443673,0.593975983749905,0.0,0.001,False,phase1b_ordinal_candidate_scores
cumulative_threshold_xgboost,9,qwk,0,"{""class_weight"":null,""max_depth"":2,""min_child_weight"":1.0}",0.6368751361300271,0.5938272555354186,0.0,0.001,False,phase1b_ordinal_candidate_scores
cumulative_threshold_xgboost,10,qwk,0,"{""class_weight"":null,""max_depth"":2,""min_child_weight"":1.0}",0.6392083153073495,0.5939255407303735,0.0,0.001,False,phase1b_ordinal_candidate_scores
lightgbm,1,qwk,0,"{""class_weight"":null,""min_child_samples"":20,""num_leaves"":15}",0.6366670814366866,0.6100879165850877,0.0,0.001,False,canonical_v2_nominal_candidate_scores
lightgbm,2,qwk,0,"{""class_weight"":null,""min_child_samples"":20,""num_leaves"":15}",0.6188408169951359,0.618483742519657,0.0,0.001,False,canonical_v2_nominal_candidate_scores
lightgbm,3,qwk,0,"{""class_weight"":null,""min_child_samples"":20,""num_leaves"":15}",0.6004397741362454,0.5817873253943091,0.0,0.001,False,canonical_v2_nominal_candidate_scores
lightgbm,4,qwk,6,"{""class_weight"":null,""min_child_samples"":40,""num_leaves"":31}",0.5945727774074295,0.5894094897479247,0.0,0.001,False,canonical_v2_nominal_candidate_scores
lightgbm,5,qwk,5,"{""class_weight"":""balanced"",""min_child_samples"":20,""num_leaves"":31}",0.6259241729737486,0.6270951088263207,0.0,0.001,False,canonical_v2_nominal_candidate_scores
lightgbm,6,qwk,5,"{""class_weight"":""balanced"",""min_child_samples"":20,""num_leaves"":31}",0.6315319734738718,0.61737568783254,0.0,0.001,False,canonical_v2_nominal_candidate_scores
lightgbm,7,qwk,2,"{""class_weight"":null,""min_child_samples"":40,""num_leaves"":15}",0.6026317431979556,0.5926433566585003,0.0,0.001,False,canonical_v2_nominal_candidate_scores
lightgbm,8,qwk,4,"{""class_weight"":null,""min_child_samples"":20,""num_leaves"":31}",0.6237099504884949,0.5982999199661496,0.0,0.001,False,canonical_v2_nominal_candidate_scores
lightgbm,9,qwk,4,"{""class_weight"":null,""min_child_samples"":20,""num_leaves"":31}",0.6163964444785544,0.589439322424397,0.0,0.001,False,canonical_v2_nominal_candidate_scores
lightgbm,10,qwk,0,"{""class_weight"":null,""min_child_samples"":20,""num_leaves"":15}",0.6343028839000513,0.6191340161539916,0.0,0.001,False,canonical_v2_nominal_candidate_scores
logistic_regression,1,qwk,3,"{""C"":1.0,""class_weight"":""balanced""}",0.4073636219533362,0.5092044313970947,0.0,0.001,False,canonical_v2_nominal_candidate_scores
logistic_regression,2,qwk,4,"{""C"":10.0,""class_weight"":null}",0.4268297425853669,0.5058353329274747,0.0,0.001,False,canonical_v2_nominal_candidate_scores
logistic_regression,3,qwk,4,"{""C"":10.0,""class_weight"":null}",0.3883635432734998,0.4830286945417764,0.0,0.001,False,canonical_v2_nominal_candidate_scores
logistic_regression,4,qwk,4,"{""C"":10.0,""class_weight"":null}",0.3888603024509897,0.4824525499210586,0.0,0.001,False,canonical_v2_nominal_candidate_scores
logistic_regression,5,qwk,1,"{""C"":0.1,""class_weight"":""balanced""}",0.3773761715015766,0.4631026645972104,0.0,0.001,False,canonical_v2_nominal_candidate_scores
logistic_regression,6,qwk,5,"{""C"":10.0,""class_weight"":""balanced""}",0.4012474222958762,0.5115955374056186,0.0,0.001,False,canonical_v2_nominal_candidate_scores
logistic_regression,7,qwk,4,"{""C"":10.0,""class_weight"":null}",0.4139589813982599,0.4913552972279092,0.0,0.001,False,canonical_v2_nominal_candidate_scores
logistic_regression,8,qwk,3,"{""C"":1.0,""class_weight"":""balanced""}",0.390255168446988,0.4846547682251619,0.0,0.001,False,canonical_v2_nominal_candidate_scores
logistic_regression,9,qwk,4,"{""C"":10.0,""class_weight"":null}",0.3875446795568026,0.4859924768679647,0.0,0.001,False,canonical_v2_nominal_candidate_scores
logistic_regression,10,qwk,4,"{""C"":10.0,""class_weight"":null}",0.4214907610700189,0.4991027543156404,0.0,0.001,False,canonical_v2_nominal_candidate_scores
proportional_odds_logistic,1,qwk,1,"{""C"":0.1,""class_weight"":""balanced""}",0.4080688027948964,0.4702386232430595,0.0,0.001,False,phase1b_ordinal_candidate_scores
proportional_odds_logistic,2,qwk,1,"{""C"":0.1,""class_weight"":""balanced""}",0.4021970871444759,0.4650441447204529,0.0,0.001,False,phase1b_ordinal_candidate_scores
proportional_odds_logistic,3,qwk,1,"{""C"":0.1,""class_weight"":""balanced""}",0.3898107737680732,0.4530716002473844,0.0,0.001,False,phase1b_ordinal_candidate_scores
proportional_odds_logistic,4,qwk,1,"{""C"":0.1,""class_weight"":""balanced""}",0.3800435461207562,0.4505371586952627,0.0,0.001,False,phase1b_ordinal_candidate_scores
proportional_odds_logistic,5,qwk,1,"{""C"":0.1,""class_weight"":""balanced""}",0.3960241862975666,0.4575510266531264,0.0,0.001,False,phase1b_ordinal_candidate_scores
proportional_odds_logistic,6,qwk,1,"{""C"":0.1,""class_weight"":""balanced""}",0.3972234647092461,0.4702083743727617,0.0,0.001,False,phase1b_ordinal_candidate_scores
proportional_odds_logistic,7,qwk,3,"{""C"":1.0,""class_weight"":""balanced""}",0.3931207451286044,0.4682492276847479,0.0,0.001,False,phase1b_ordinal_candidate_scores
proportional_odds_logistic,8,qwk,1,"{""C"":0.1,""class_weight"":""balanced""}",0.406176935475518,0.471399927851267,0.0,0.001,False,phase1b_ordinal_candidate_scores
proportional_odds_logistic,9,qwk,1,"{""C"":0.1,""class_weight"":""balanced""}",0.3986013399917504,0.4698212394942571,0.0,0.001,False,phase1b_ordinal_candidate_scores
proportional_odds_logistic,10,qwk,3,"{""C"":1.0,""class_weight"":""balanced""}",0.3681572612842331,0.4420175567658876,0.0,0.001,False,phase1b_ordinal_candidate_scores
random_forest,1,qwk,5,"{""class_weight"":""balanced_subsample"",""max_depth"":8,""min_samples_leaf"":1}",0.644447676379154,0.5976985036508919,0.0,0.001,False,canonical_v2_nominal_candidate_scores
random_forest,2,qwk,5,"{""class_weight"":""balanced_subsample"",""max_depth"":8,""min_samples_leaf"":1}",0.6408326622548237,0.5961301473812732,0.0,0.001,False,canonical_v2_nominal_candidate_scores
random_forest,3,qwk,5,"{""class_weight"":""balanced_subsample"",""max_depth"":8,""min_samples_leaf"":1}",0.6351972675442139,0.5958646540711647,0.0,0.001,False,canonical_v2_nominal_candidate_scores
random_forest,4,qwk,5,"{""class_weight"":""balanced_subsample"",""max_depth"":8,""min_samples_leaf"":1}",0.6357103902347238,0.5912724791075308,0.0,0.001,False,canonical_v2_nominal_candidate_scores
random_forest,5,qwk,5,"{""class_weight"":""balanced_subsample"",""max_depth"":8,""min_samples_leaf"":1}",0.6321469541147917,0.5916646548187556,0.0,0.001,False,canonical_v2_nominal_candidate_scores
random_forest,6,qwk,3,"{""class_weight"":""balanced_subsample"",""max_depth"":null,""min_samples_leaf"":3}",0.6351158749193798,0.5967628239681675,0.0,0.001,False,canonical_v2_nominal_candidate_scores
random_forest,7,qwk,5,"{""class_weight"":""balanced_subsample"",""max_depth"":8,""min_samples_leaf"":1}",0.6211014043061119,0.5913043601007875,0.0,0.001,False,canonical_v2_nominal_candidate_scores
random_forest,8,qwk,3,"{""class_weight"":""balanced_subsample"",""max_depth"":null,""min_samples_leaf"":3}",0.6327215479410282,0.5931045672885761,0.0,0.001,False,canonical_v2_nominal_candidate_scores
random_forest,9,qwk,5,"{""class_weight"":""balanced_subsample"",""max_depth"":8,""min_samples_leaf"":1}",0.6302786339095393,0.5905295308473795,0.0,0.001,False,canonical_v2_nominal_candidate_scores
random_forest,10,qwk,3,"{""class_weight"":""balanced_subsample"",""max_depth"":null,""min_samples_leaf"":3}",0.6334193864140649,0.5908407596247294,0.0,0.001,False,canonical_v2_nominal_candidate_scores
xgboost,1,qwk,0,"{""class_weight"":null,""max_depth"":3,""min_child_weight"":1.0}",0.6545058223980721,0.606476533501631,0.0,0.001,False,canonical_v2_nominal_candidate_scores
xgboost,2,qwk,2,"{""class_weight"":null,""max_depth"":3,""min_child_weight"":5.0}",0.6522562242586931,0.6243974508694614,0.0,0.001,False,canonical_v2_nominal_candidate_scores
xgboost,3,qwk,4,"{""class_weight"":null,""max_depth"":5,""min_child_weight"":1.0}",0.6249739926784634,0.597681407310654,0.0,0.001,False,canonical_v2_nominal_candidate_scores
xgboost,4,qwk,0,"{""class_weight"":null,""max_depth"":3,""min_child_weight"":1.0}",0.6261221398831595,0.593000227066233,0.0,0.001,False,canonical_v2_nominal_candidate_scores
xgboost,5,qwk,2,"{""class_weight"":null,""max_depth"":3,""min_child_weight"":5.0}",0.6335071016652953,0.5976167207587053,0.0,0.001,False,canonical_v2_nominal_candidate_scores
xgboost,6,qwk,2,"{""class_weight"":null,""max_depth"":3,""min_child_weight"":5.0}",0.6392574164529622,0.6060092433392582,0.0,0.001,False,canonical_v2_nominal_candidate_scores
xgboost,7,qwk,0,"{""class_weight"":null,""max_depth"":3,""min_child_weight"":1.0}",0.6182632232629045,0.5918667370369523,0.0,0.001,False,canonical_v2_nominal_candidate_scores
xgboost,8,qwk,2,"{""class_weight"":null,""max_depth"":3,""min_child_weight"":5.0}",0.6420157107398935,0.6041074129483107,0.0,0.001,False,canonical_v2_nominal_candidate_scores
xgboost,9,qwk,2,"{""class_weight"":null,""max_depth"":3,""min_child_weight"":5.0}",0.62502606539258,0.5894890726277208,0.0,0.001,False,canonical_v2_nominal_candidate_scores
xgboost,10,qwk,0,"{""class_weight"":null,""max_depth"":3,""min_child_weight"":1.0}",0.6512831892496626,0.6112370856651119,0.0,0.001,False,canonical_v2_nominal_candidate_scores
