metric,direction,model_name,repetition_count,mean_rank,sample_sd_rank,median_rank,minimum_rank,maximum_rank,winner_count,winner_frequency
balanced_accuracy,higher,cumulative_threshold_xgboost,5,1.2,0.4472135954999579,1.0,1,2,4,0.8
balanced_accuracy,higher,lightgbm,5,2.8,1.0954451150103321,3.0,1,4,1,0.2
balanced_accuracy,higher,logistic_regression,5,6.0,0.0,6.0,6,6,0,0.0
balanced_accuracy,higher,proportional_odds_logistic,5,5.0,0.0,5.0,5,5,0,0.0
balanced_accuracy,higher,random_forest,5,3.8,0.44721359549995787,4.0,3,4,0,0.0
balanced_accuracy,higher,xgboost,5,2.2,0.4472135954999579,2.0,2,3,0,0.0
macro_f1,higher,cumulative_threshold_xgboost,5,2.8,0.44721359549995787,3.0,2,3,0,0.0
macro_f1,higher,lightgbm,5,1.6,0.8944271909999159,1.0,1,3,3,0.6
macro_f1,higher,logistic_regression,5,5.0,0.0,5.0,5,5,0,0.0
macro_f1,higher,proportional_odds_logistic,5,6.0,0.0,6.0,6,6,0,0.0
macro_f1,higher,random_forest,5,4.0,0.0,4.0,4,4,0,0.0
macro_f1,higher,xgboost,5,1.6,0.5477225575051661,2.0,1,2,2,0.4
ordinal_mae,lower,cumulative_threshold_xgboost,5,4.4,0.5477225575051661,4.0,4,5,0,0.0
ordinal_mae,lower,lightgbm,5,2.0,0.0,2.0,2,2,0,0.0
ordinal_mae,lower,logistic_regression,5,4.4,0.8944271909999159,5.0,3,5,0,0.0
ordinal_mae,lower,proportional_odds_logistic,5,6.0,0.0,6.0,6,6,0,0.0
ordinal_mae,lower,random_forest,5,1.0,0.0,1.0,1,1,5,1.0
ordinal_mae,lower,xgboost,5,3.2,0.4472135954999579,3.0,3,4,0,0.0
quadratic_weighted_kappa,higher,cumulative_threshold_xgboost,5,4.0,0.0,4.0,4,4,0,0.0
quadratic_weighted_kappa,higher,lightgbm,5,2.2,0.44721359549995787,2.0,2,3,0,0.0
quadratic_weighted_kappa,higher,logistic_regression,5,5.4,0.5477225575051662,5.0,5,6,0,0.0
quadratic_weighted_kappa,higher,proportional_odds_logistic,5,5.6,0.5477225575051662,6.0,5,6,0,0.0
quadratic_weighted_kappa,higher,random_forest,5,1.0,0.0,1.0,1,1,5,1.0
quadratic_weighted_kappa,higher,xgboost,5,2.8,0.44721359549995787,3.0,2,3,0,0.0
