repetition,metric,direction,model_name,value,rank,is_winner
1,balanced_accuracy,higher,cumulative_threshold_xgboost,0.6474599375528861,1,True
1,balanced_accuracy,higher,xgboost,0.6426173433120991,2,False
1,balanced_accuracy,higher,lightgbm,0.6373414724755874,3,False
1,balanced_accuracy,higher,random_forest,0.6277818049327167,4,False
1,balanced_accuracy,higher,proportional_odds_logistic,0.5513562933589355,5,False
1,balanced_accuracy,higher,logistic_regression,0.5361237585222581,6,False
2,balanced_accuracy,higher,cumulative_threshold_xgboost,0.658275529362368,1,True
2,balanced_accuracy,higher,xgboost,0.6526740904527595,2,False
2,balanced_accuracy,higher,random_forest,0.6279744649781688,3,False
2,balanced_accuracy,higher,lightgbm,0.6213191148551737,4,False
2,balanced_accuracy,higher,proportional_odds_logistic,0.5318376384572804,5,False
2,balanced_accuracy,higher,logistic_regression,0.518085917086837,6,False
3,balanced_accuracy,higher,cumulative_threshold_xgboost,0.64208398357588,1,True
3,balanced_accuracy,higher,xgboost,0.6304727903727645,2,False
3,balanced_accuracy,higher,lightgbm,0.6284249582569902,3,False
3,balanced_accuracy,higher,random_forest,0.6270190284262331,4,False
3,balanced_accuracy,higher,proportional_odds_logistic,0.5818756938799875,5,False
3,balanced_accuracy,higher,logistic_regression,0.5178531642118894,6,False
4,balanced_accuracy,higher,lightgbm,0.6549297142316558,1,True
4,balanced_accuracy,higher,cumulative_threshold_xgboost,0.6546543068754019,2,False
4,balanced_accuracy,higher,xgboost,0.6538741945392256,3,False
4,balanced_accuracy,higher,random_forest,0.6301625922105292,4,False
4,balanced_accuracy,higher,proportional_odds_logistic,0.5574064979217259,5,False
4,balanced_accuracy,higher,logistic_regression,0.5208157443171244,6,False
5,balanced_accuracy,higher,cumulative_threshold_xgboost,0.6595198964091836,1,True
5,balanced_accuracy,higher,xgboost,0.643576711701697,2,False
5,balanced_accuracy,higher,lightgbm,0.6399552509215393,3,False
5,balanced_accuracy,higher,random_forest,0.6283558532314106,4,False
5,balanced_accuracy,higher,proportional_odds_logistic,0.5233062060363954,5,False
5,balanced_accuracy,higher,logistic_regression,0.5044154536947478,6,False
1,macro_f1,higher,xgboost,0.6297293596791791,1,True
1,macro_f1,higher,lightgbm,0.6252771959821247,2,False
1,macro_f1,higher,cumulative_threshold_xgboost,0.6113391044354286,3,False
1,macro_f1,higher,random_forest,0.5958710819224606,4,False
1,macro_f1,higher,logistic_regression,0.5029693547814353,5,False
1,macro_f1,higher,proportional_odds_logistic,0.48027133156090535,6,False
2,macro_f1,higher,xgboost,0.6362794834824373,1,True
2,macro_f1,higher,cumulative_threshold_xgboost,0.6191329157984394,2,False
2,macro_f1,higher,lightgbm,0.6082143805721042,3,False
2,macro_f1,higher,random_forest,0.5926785162853748,4,False
2,macro_f1,higher,logistic_regression,0.5161883451376181,5,False
2,macro_f1,higher,proportional_odds_logistic,0.46944482805466947,6,False
3,macro_f1,higher,lightgbm,0.6166241546215873,1,True
3,macro_f1,higher,xgboost,0.6123817970888034,2,False
3,macro_f1,higher,cumulative_threshold_xgboost,0.609415617040224,3,False
3,macro_f1,higher,random_forest,0.5940615929966806,4,False
3,macro_f1,higher,logistic_regression,0.5032193199705381,5,False
3,macro_f1,higher,proportional_odds_logistic,0.46496251918101955,6,False
4,macro_f1,higher,lightgbm,0.6440674743793099,1,True
4,macro_f1,higher,xgboost,0.6368774594954879,2,False
4,macro_f1,higher,cumulative_threshold_xgboost,0.6137782856632232,3,False
4,macro_f1,higher,random_forest,0.5998938976154877,4,False
4,macro_f1,higher,logistic_regression,0.5066255305795941,5,False
4,macro_f1,higher,proportional_odds_logistic,0.483779694325212,6,False
5,macro_f1,higher,lightgbm,0.6305080309641591,1,True
5,macro_f1,higher,xgboost,0.6286193491679578,2,False
5,macro_f1,higher,cumulative_threshold_xgboost,0.6237238611254653,3,False
5,macro_f1,higher,random_forest,0.595032234269751,4,False
5,macro_f1,higher,logistic_regression,0.4896686761036911,5,False
5,macro_f1,higher,proportional_odds_logistic,0.48771062041455226,6,False
1,ordinal_mae,lower,random_forest,0.1575,1,True
1,ordinal_mae,lower,lightgbm,0.19083333333333333,2,False
1,ordinal_mae,lower,xgboost,0.23166666666666666,3,False
1,ordinal_mae,lower,cumulative_threshold_xgboost,0.31416666666666665,4,False
1,ordinal_mae,lower,logistic_regression,0.4008333333333333,5,False
1,ordinal_mae,lower,proportional_odds_logistic,0.4716666666666667,6,False
2,ordinal_mae,lower,random_forest,0.16,1,True
2,ordinal_mae,lower,lightgbm,0.19333333333333333,2,False
