model_name,selected_candidate_index,selected_candidate_parameters_json,selection_count,selection_opportunities,selection_frequency
cumulative_threshold_xgboost,5,"{""class_weight"":""balanced"",""max_depth"":3,""min_child_weight"":1.0}",23,25,0.92
cumulative_threshold_xgboost,7,"{""class_weight"":""balanced"",""max_depth"":3,""min_child_weight"":5.0}",2,25,0.08
lightgbm,0,"{""class_weight"":null,""min_child_samples"":20,""num_leaves"":15}",1,25,0.04
lightgbm,1,"{""class_weight"":""balanced"",""min_child_samples"":20,""num_leaves"":15}",10,25,0.4
lightgbm,3,"{""class_weight"":""balanced"",""min_child_samples"":40,""num_leaves"":15}",7,25,0.28
lightgbm,5,"{""class_weight"":""balanced"",""min_child_samples"":20,""num_leaves"":31}",2,25,0.08
lightgbm,7,"{""class_weight"":""balanced"",""min_child_samples"":40,""num_leaves"":31}",5,25,0.2
logistic_regression,2,"{""C"":1.0,""class_weight"":null}",2,25,0.08
logistic_regression,3,"{""C"":1.0,""class_weight"":""balanced""}",3,25,0.12
logistic_regression,4,"{""C"":10.0,""class_weight"":null}",15,25,0.6
logistic_regression,5,"{""C"":10.0,""class_weight"":""balanced""}",5,25,0.2
proportional_odds_logistic,1,"{""C"":0.1,""class_weight"":""balanced""}",12,25,0.48
proportional_odds_logistic,3,"{""C"":1.0,""class_weight"":""balanced""}",6,25,0.24
proportional_odds_logistic,4,"{""C"":10.0,""class_weight"":null}",5,25,0.2
proportional_odds_logistic,5,"{""C"":10.0,""class_weight"":""balanced""}",2,25,0.08
random_forest,3,"{""class_weight"":""balanced_subsample"",""max_depth"":null,""min_samples_leaf"":3}",4,25,0.16
random_forest,5,"{""class_weight"":""balanced_subsample"",""max_depth"":8,""min_samples_leaf"":1}",14,25,0.56
random_forest,7,"{""class_weight"":""balanced_subsample"",""max_depth"":8,""min_samples_leaf"":3}",7,25,0.28
xgboost,1,"{""class_weight"":""balanced"",""max_depth"":3,""min_child_weight"":1.0}",14,25,0.56
xgboost,3,"{""class_weight"":""balanced"",""max_depth"":3,""min_child_weight"":5.0}",2,25,0.08
xgboost,5,"{""class_weight"":""balanced"",""max_depth"":5,""min_child_weight"":1.0}",4,25,0.16
xgboost,7,"{""class_weight"":""balanced"",""max_depth"":5,""min_child_weight"":5.0}",5,25,0.2
