method,random_repetition,n_samples,mean_deletion_auc,sample_sd_deletion_auc,median_deletion_auc
random,1,1200,0.04940068519059239,0.13132178055793298,0.012954474019568962
random,2,1200,0.05881345993708128,0.14996055039129205,0.013121081159627412
random,3,1200,0.05516931974994658,0.1463568740867157,0.011082500518346444
random,4,1200,0.04687912077634631,0.13285432597215274,0.01201339026007508
random,5,1200,0.04811224396000363,0.1318255174933434,0.012560277336694793
random,6,1200,0.05152656564524847,0.13682040854751962,0.013379969700714457
random,7,1200,0.049465877218856896,0.13319508719459616,0.012986466615920934
random,8,1200,0.051529638793171746,0.13585110335644193,0.013571695012456426
random,9,1200,0.05247287668298652,0.1397375335127644,0.011780778350228966
random,10,1200,0.054074365853286704,0.13429106591311005,0.012551818994977365
random,11,1200,0.051701513727654594,0.13604438631487248,0.014273421630583916
random,12,1200,0.045031159104235816,0.1291345684801971,0.012036787915849783
random,13,1200,0.05449432559617237,0.14251550831492507,0.01255200978919855
random,14,1200,0.04651687962629333,0.12990001631107942,0.011786026833477983
random,15,1200,0.04884531645344567,0.13761201217964913,0.010850728113313895
random,16,1200,0.051519956763961365,0.14013774896448727,0.0109376459182817
random,17,1200,0.05638816442086267,0.14246351807067245,0.01466600933471523
random,18,1200,0.04458330639234684,0.13823067069520226,0.011565128801429875
random,19,1200,0.05452032006844942,0.13907954956141452,0.013749280891142059
random,20,1200,0.0528402378643449,0.14623931861163894,0.010351073630083696
shap_guided,0,1200,0.2719850778552195,0.303641386084998,0.1706553904838689
