method,random_repetition,deleted_feature_count,n_samples,mean_probability_drop,sample_sd_probability_drop,median_probability_drop,mean_raw_margin_drop,sample_sd_raw_margin_drop,median_raw_margin_drop,positive_probability_drop_fraction
random,1,1,1200,0.022551654399780255,0.11648801044269594,0.0,0.09752244192408398,0.6588469613630119,0.0,0.38416666666666666
random,1,3,1200,0.05652038379448579,0.1745041251819358,0.010856457344176285,0.22638194897406114,0.9778397591651231,0.041976168751716614,0.6025
random,1,5,1200,0.10013517676431999,0.2359972097268142,0.029943043422755278,0.4283331682443774,1.4094422672198539,0.09648087620735168,0.6558333333333334
random,2,1,1200,0.026772561697108555,0.12754281536380424,0.0,0.11063513872601713,0.6921490264008874,0.0,0.4033333333333333
random,2,3,1200,0.0708541846321807,0.20753140830230246,0.009935318566096307,0.2847572030282269,1.1660321675985574,0.037203460931777954,0.6025
random,2,5,1200,0.11220008787538215,0.24907525723807192,0.02880879725342056,0.46703493264426166,1.4837878065104007,0.10050684213638306,0.6691666666666667
random,3,1,1200,0.022730885473171487,0.11747872772062687,0.0,0.08195458069754144,0.605696591781393,0.0,0.405
random,3,3,1200,0.06776927423805569,0.21070002087133358,0.008498093666149342,0.3070931259915233,1.2722473477149912,0.032730817794799805,0.6058333333333333
random,3,5,1200,0.10621172206386426,0.245014652656312,0.02793393933811733,0.4542173360222174,1.4449497465709635,0.10026296973228455,0.6741666666666667
random,4,1,1200,0.017829237592707613,0.10921090120381599,0.0,0.07962601779145188,0.6778905414586291,0.0,0.38916666666666666
random,4,3,1200,0.054593464010013026,0.1839429475442869,0.00747709382817735,0.2371957177521957,1.1146065898356432,0.03496602177619934,0.5908333333333333
random,4,5,1200,0.09846481947264404,0.23414381441535154,0.0284560695793028,0.4166676266673797,1.4079954651874171,0.09762926399707794,0.6766666666666666
random,5,1,1200,0.01845718139324268,0.10550878036592636,0.0,0.07858594357521118,0.5791420812792458,0.0,0.38166666666666665
random,5,3,1200,0.05882778134158272,0.18518565846523147,0.010852335156035287,0.240063500435402,1.0237250476131485,0.03500103950500488,0.6041666666666666
random,5,5,1200,0.09521988502698871,0.2309005612936553,0.026482365594697854,0.3905725201496777,1.3330240559516808,0.09653371572494507,0.66
random,6,1,1200,0.020317732451896255,0.11268956656566628,0.0,0.08613709355549266,0.6917128893072808,0.0,0.4191666666666667
random,6,3,1200,0.06357825384552453,0.1931672714757393,0.01006933729503151,0.2674347653965621,1.160955180240919,0.03807386755943298,0.6125
random,6,5,1200,0.09999972185734889,0.2337005475625085,0.02757598838151759,0.4168942183131973,1.3736691115000055,0.10529232025146484,0.6608333333333334
random,7,1,1200,0.021169289965123725,0.11127837248905288,0.0,0.07579270862819006,0.6033851879543896,0.0,0.41583333333333333
random,7,3,1200,0.05775635333703109,0.18629946183086232,0.007825204312282119,0.23616363768970283,1.0811144631968723,0.031892329454422,0.5883333333333334
random,7,5,1200,0.10006274447253674,0.23116025358436826,0.028223462054908388,0.3786764796920276,1.3086052190486719,0.09918341040611267,0.6583333333333333
random,8,1,1200,0.018673788206408772,0.1031527557061833,0.0,0.07021253041030528,0.5599044746032926,0.0,0.39916666666666667
