method,reliability_scope,target_id,bin,bin_low,bin_high,n_samples,n_positive,bin_status,mean_predicted_probability,observed_frequency,absolute_gap
raw,cumulative_threshold,Y_le_2,1,0.0,0.1,919,6,observed,0.007995867794689838,0.006528835690968444,0.0014670321037213944
raw,cumulative_threshold,Y_le_2,2,0.1,0.2,25,3,observed,0.14672372147143872,0.12,0.026723721471438727
raw,cumulative_threshold,Y_le_2,3,0.2,0.30000000000000004,16,2,observed,0.2506050180474241,0.125,0.12560501804742408
raw,cumulative_threshold,Y_le_2,4,0.30000000000000004,0.4,13,2,observed,0.34751478469365205,0.15384615384615385,0.1936686308474982
raw,cumulative_threshold,Y_le_2,5,0.4,0.5,10,3,observed,0.43320762995846784,0.3,0.13320762995846785
raw,cumulative_threshold,Y_le_2,6,0.5,0.6000000000000001,2,0,observed,0.5499648093197544,0.0,0.5499648093197544
raw,cumulative_threshold,Y_le_2,7,0.6000000000000001,0.7000000000000001,8,5,observed,0.6716032189675458,0.625,0.04660321896754582
raw,cumulative_threshold,Y_le_2,8,0.7000000000000001,0.8,11,6,observed,0.7475024256758176,0.5454545454545454,0.20204788022127218
raw,cumulative_threshold,Y_le_2,9,0.8,0.9,29,22,observed,0.8602287261473545,0.7586206896551724,0.10160803649218209
raw,cumulative_threshold,Y_le_2,10,0.9,1.0,167,145,observed,0.9541856949686339,0.8682634730538922,0.08592222191474175
raw,cumulative_threshold,Y_le_3,1,0.0,0.1,0,0,empty,,,
raw,cumulative_threshold,Y_le_3,2,0.1,0.2,4,2,observed,0.16713578700979537,0.5,0.33286421299020463
raw,cumulative_threshold,Y_le_3,3,0.2,0.30000000000000004,20,18,observed,0.2539437460907345,0.9,0.6460562539092656
raw,cumulative_threshold,Y_le_3,4,0.30000000000000004,0.4,42,36,observed,0.3539291192336708,0.8571428571428571,0.5032137379091863
raw,cumulative_threshold,Y_le_3,5,0.4,0.5,81,69,observed,0.4509555857842686,0.8518518518518519,0.4008962660675833
raw,cumulative_threshold,Y_le_3,6,0.5,0.6000000000000001,106,85,observed,0.5558546214763982,0.8018867924528302,0.24603217097643204
raw,cumulative_threshold,Y_le_3,7,0.6000000000000001,0.7000000000000001,135,113,observed,0.6482421494218383,0.837037037037037,0.1887948876151987
raw,cumulative_threshold,Y_le_3,8,0.7000000000000001,0.8,185,160,observed,0.754797639194288,0.8648648648648649,0.11006722567057692
raw,cumulative_threshold,Y_le_3,9,0.8,0.9,189,170,observed,0.8501435230986126,0.8994708994708994,0.04932737637228679
raw,cumulative_threshold,Y_le_3,10,0.9,1.0,438,415,observed,0.9682121681732435,0.9474885844748858,0.020723583698357695
raw,one_vs_rest_class,class_2,1,0.0,0.1,919,6,observed,0.007995867794689838,0.006528835690968444,0.0014670321037213944
raw,one_vs_rest_class,class_2,2,0.1,0.2,25,3,observed,0.14672372147143872,0.12,0.026723721471438727
raw,one_vs_rest_class,class_2,3,0.2,0.30000000000000004,16,2,observed,0.2506050180474241,0.125,0.12560501804742408
raw,one_vs_rest_class,class_2,4,0.30000000000000004,0.4,13,2,observed,0.34751478469365205,0.15384615384615385,0.1936686308474982
raw,one_vs_rest_class,class_2,5,0.4,0.5,10,3,observed,0.43320762995846784,0.3,0.13320762995846785
raw,one_vs_rest_class,class_2,6,0.5,0.6000000000000001,2,0,observed,0.5499648093197544,0.0,0.5499648093197544
raw,one_vs_rest_class,class_2,7,0.6000000000000001,0.7000000000000001,8,5,observed,0.6716032189675458,0.625,0.04660321896754582
raw,one_vs_rest_class,class_2,8,0.7000000000000001,0.8,11,6,observed,0.7475024256758176,0.5454545454545454,0.20204788022127218
raw,one_vs_rest_class,class_2,9,0.8,0.9,29,22,observed,0.8602287261473545,0.7586206896551724,0.10160803649218209
raw,one_vs_rest_class,class_2,10,0.9,1.0,167,145,observed,0.9541856949686339,0.8682634730538922,0.08592222191474175
raw,one_vs_rest_class,class_3,1,0.0,0.1,179,24,observed,0.03995231618898789,0.1340782122905028,0.0941258961015149
raw,one_vs_rest_class,class_3,2,0.1,0.2,29,6,observed,0.1376631969361817,0.20689655172413793,0.06923335478795622
raw,one_vs_rest_class,class_3,3,0.2,0.30000000000000004,34,26,observed,0.2526842457334542,0.7647058823529411,0.512021636619487
raw,one_vs_rest_class,class_3,4,0.30000000000000004,0.4,45,38,observed,0.3546004997189499,0.8444444444444444,0.48984394472549453
raw,one_vs_rest_class,class_3,5,0.4,0.5,90,76,observed,0.45164189370554847,0.8444444444444444,0.392802550738896
raw,one_vs_rest_class,class_3,6,0.5,0.6000000000000001,125,103,observed,0.5552844169247657,0.824,0.26871558307523424
raw,one_vs_rest_class,class_3,7,0.6000000000000001,0.7000000000000001,147,121,observed,0.6480865678997216,0.8231292517006803,0.17504268380095866
raw,one_vs_rest_class,class_3,8,0.7000000000000001,0.8,194,170,observed,0.7506425094080481,0.8762886597938144,0.12564615038576632
raw,one_vs_rest_class,class_3,9,0.8,0.9,193,170,observed,0.8491323531166919,0.8808290155440415,0.03169666242734959
raw,one_vs_rest_class,class_3,10,0.9,1.0,164,140,observed,0.9425112725151259,0.8536585365853658,0.08885273592976006
raw,one_vs_rest_class,class_4,1,0.0,0.1,438,23,observed,0.03178783182675638,0.05251141552511415,0.02072358369835777
raw,one_vs_rest_class,class_4,2,0.1,0.2,189,19,observed,0.14985647690138743,0.10052910052910052,0.0493273763722869
raw,one_vs_rest_class,class_4,3,0.2,0.30000000000000004,185,25,observed,0.24520236080571206,0.13513513513513514,0.11006722567057692
raw,one_vs_rest_class,class_4,4,0.30000000000000004,0.4,135,22,observed,0.3517578505781615,0.16296296296296298,0.18879488761519853
raw,one_vs_rest_class,class_4,5,0.4,0.5,106,21,observed,0.44414537852360164,0.19811320754716982,0.24603217097643182
raw,one_vs_rest_class,class_4,6,0.5,0.6000000000000001,81,12,observed,0.5490444142157312,0.14814814814814814,0.4008962660675831
raw,one_vs_rest_class,class_4,7,0.6000000000000001,0.7000000000000001,42,6,observed,0.6460708807663291,0.14285714285714285,0.5032137379091863
raw,one_vs_rest_class,class_4,8,0.7000000000000001,0.8,20,2,observed,0.7460562539092652,0.1,0.6460562539092652
raw,one_vs_rest_class,class_4,9,0.8,0.9,4,2,observed,0.8328642129902045,0.5,0.3328642129902045
raw,one_vs_rest_class,class_4,10,0.9,1.0,0,0,empty,,,
raw,top_label,argmax_correct,1,0.0,0.1,0,0,empty,,,
raw,top_label,argmax_correct,2,0.1,0.2,0,0,empty,,,
raw,top_label,argmax_correct,3,0.2,0.30000000000000004,0,0,empty,,,
raw,top_label,argmax_correct,4,0.30000000000000004,0.4,0,0,empty,,,
raw,top_label,argmax_correct,5,0.4,0.5,13,7,observed,0.475471645860111,0.5384615384615384,0.06298989260142746
raw,top_label,argmax_correct,6,0.5,0.6000000000000001,208,115,observed,0.5528032657966802,0.5528846153846154,8.134958793526437e-05
raw,top_label,argmax_correct,7,0.6000000000000001,0.7000000000000001,197,132,observed,0.6486118184019557,0.6700507614213198,0.02143894301936411
raw,top_label,argmax_correct,8,0.7000000000000001,0.8,225,178,observed,0.750081327047914,0.7911111111111111,0.04102978406319713
raw,top_label,argmax_correct,9,0.8,0.9,226,194,observed,0.8502682923086534,0.8584070796460177,0.008138787337364284
raw,top_label,argmax_correct,10,0.9,1.0,331,285,observed,0.9484013889795846,0.8610271903323263,0.08737419864725826
sigmoid,cumulative_threshold,Y_le_2,1,0.0,0.1,934,9,observed,0.00866075782263496,0.009635974304068522,0.0009752164814335624
sigmoid,cumulative_threshold,Y_le_2,2,0.1,0.2,30,2,observed,0.14602981087719366,0.06666666666666667,0.079363144210527
sigmoid,cumulative_threshold,Y_le_2,3,0.2,0.30000000000000004,17,4,observed,0.23828507561497947,0.23529411764705882,0.002990957967920649
