scheme,seed,n_samples,job_role_value_changed_fraction,mean_total_variation,prediction_change_rate,mean_absolute_ordinal_prediction_shift,mean_original_predicted_class_probability_drop,mean_original_predicted_class_raw_margin_drop,original_macro_f1,original_balanced_accuracy,original_quadratic_weighted_kappa,original_ordinal_mae,original_recall_class_2,original_recall_class_3,original_recall_class_4,original_multiclass_brier,original_log_loss,permuted_macro_f1,permuted_balanced_accuracy,permuted_quadratic_weighted_kappa,permuted_ordinal_mae,permuted_recall_class_2,permuted_recall_class_3,permuted_recall_class_4,permuted_multiclass_brier,permuted_log_loss,delta_macro_f1,delta_balanced_accuracy,delta_quadratic_weighted_kappa,delta_ordinal_mae,delta_recall_class_2,delta_recall_class_3,delta_recall_class_4,delta_multiclass_brier,delta_log_loss,inference_scope,claim_boundary
marginal_within_outer_test_fold,31042,1200,0.8833333333333333,0.1029288934189473,0.12916666666666668,0.13083333333333333,0.05039566810347728,0.13988200608834936,0.6210211647446707,0.6360452170862891,0.567602077831626,0.24333333333333335,0.9226804123711341,0.8112128146453089,0.17424242424242425,0.34260632657334306,0.5514626110693018,0.5749033116849248,0.5917492531295641,0.4927629416891709,0.2875,0.7938144329896907,0.7768878718535469,0.20454545454545456,0.40514765233564837,0.6546468089897712,-0.04611785305974592,-0.04429596395672508,-0.07483913614245508,0.04416666666666663,-0.1288659793814434,-0.034324942791762014,0.030303030303030304,0.06254132576230531,0.1031841979204694,dependent_random_perturbation_repetitions_descriptive_not_confidence_intervals,model_dependence_sensitivity_not_causal_effect_or_discrimination_evidence
marginal_within_outer_test_fold,31043,1200,0.8691666666666666,0.09780063251983374,0.1275,0.12833333333333333,0.05014629771028923,0.13995216856807627,0.6210211647446707,0.6360452170862891,0.567602077831626,0.24333333333333335,0.9226804123711341,0.8112128146453089,0.17424242424242425,0.34260632657334306,0.5514626110693018,0.5816489426711209,0.5988550965313805,0.504841864236989,0.2816666666666667,0.8041237113402062,0.7803203661327232,0.21212121212121213,0.39805524024860406,0.6459764578422033,-0.039372222073549845,-0.03719012055490867,-0.06276021359463702,0.03833333333333333,-0.11855670103092786,-0.03089244851258577,0.03787878787878787,0.055448913675261,0.09451384677290142,dependent_random_perturbation_repetitions_descriptive_not_confidence_intervals,model_dependence_sensitivity_not_causal_effect_or_discrimination_evidence
marginal_within_outer_test_fold,31044,1200,0.8691666666666666,0.10265303236010863,0.1375,0.13916666666666666,0.05577611313306383,0.15565483758517076,0.6210211647446707,0.6360452170862891,0.567602077831626,0.24333333333333335,0.9226804123711341,0.8112128146453089,0.17424242424242425,0.34260632657334306,0.5514626110693018,0.582325748794131,0.5951218762443372,0.4964724214049717,0.2825,0.7731958762886598,0.7848970251716247,0.22727272727272727,0.40355282116939967,0.6535172301156161,-0.03869541595053971,-0.04092334084195193,-0.07112965642665425,0.03916666666666663,-0.14948453608247425,-0.02631578947368418,0.05303030303030301,0.06094649459605661,0.1020546190463143,dependent_random_perturbation_repetitions_descriptive_not_confidence_intervals,model_dependence_sensitivity_not_causal_effect_or_discrimination_evidence
marginal_within_outer_test_fold,31045,1200,0.8641666666666666,0.10005692884819027,0.125,0.125,0.049436531362086214,0.13790065477738,0.6210211647446707,0.6360452170862891,0.567602077831626,0.24333333333333335,0.9226804123711341,0.8112128146453089,0.17424242424242425,0.34260632657334306,0.5514626110693018,0.5880721268440011,0.6059648717708591,0.5156384935981677,0.2816666666666667,0.8247422680412371,0.7734553775743707,0.2196969696969697,0.3914957658285602,0.6359255036228584,-0.03294903790066961,-0.030080345315430024,-0.05196358423345826,0.03833333333333333,-0.097938144329897,-0.03775743707093826,0.04545454545454544,0.04888943925521716,0.08446289255355655,dependent_random_perturbation_repetitions_descriptive_not_confidence_intervals,model_dependence_sensitivity_not_causal_effect_or_discrimination_evidence
marginal_within_outer_test_fold,31046,1200,0.8575,0.1039004765769154,0.12416666666666666,0.125,0.05594274122062417,0.1700762002133221,0.6210211647446707,0.6360452170862891,0.567602077831626,0.24333333333333335,0.9226804123711341,0.8112128146453089,0.17424242424242425,0.34260632657334306,0.5514626110693018,0.5848716896850358,0.5984697764404764,0.5066600888011841,0.27666666666666667,0.7938144329896907,0.7894736842105263,0.21212121212121213,0.39621063880342394,0.6441566230589263,-0.03614947505963495,-0.03757544064581275,-0.0609419890304419,0.033333333333333326,-0.1288659793814434,-0.021739130434782594,0.03787878787878787,0.053604312230080886,0.09269401198962446,dependent_random_perturbation_repetitions_descriptive_not_confidence_intervals,model_dependence_sensitivity_not_causal_effect_or_discrimination_evidence
marginal_within_outer_test_fold,31047,1200,0.8891666666666667,0.10312289682119734,0.13166666666666665,0.1325,0.05616066395487604,0.16333064719258497,0.6210211647446707,0.6360452170862891,0.567602077831626,0.24333333333333335,0.9226804123711341,0.8112128146453089,0.17424242424242425,0.34260632657334306,0.5514626110693018,0.5772277948972757,0.5928491549289399,0.49975732704145626,0.2825,0.7989690721649485,0.782608695652174,0.19696969696969696,0.4035072760605912,0.6536622626482146,-0.043793369847395014,-0.04319606215734928,-0.06784475079016972,0.03916666666666663,-0.12371134020618557,-0.028604118993134975,0.022727272727272707,0.06090094948724817,0.10219965157891275,dependent_random_perturbation_repetitions_descriptive_not_confidence_intervals,model_dependence_sensitivity_not_causal_effect_or_discrimination_evidence
marginal_within_outer_test_fold,31048,1200,0.87,0.09789561316523149,0.1275,0.1275,0.05060122653093156,0.1484059925749898,0.6210211647446707,0.6360452170862891,0.567602077831626,0.24333333333333335,0.9226804123711341,0.8112128146453089,0.17424242424242425,0.34260632657334306,0.5514626110693018,0.5948465764130643,0.6092893000876204,0.5217119513861631,0.26916666666666667,0.7989690721649485,0.7940503432494279,0.23484848484848486,0.39540433587318463,0.6477490215765576,-0.026174588331606463,-0.02675591699866875,-0.045890126445462864,0.02583333333333332,-0.12371134020618557,-0.017162471395881007,0.06060606060606061,0.052798009299841575,0.09628641050725573,dependent_random_perturbation_repetitions_descriptive_not_confidence_intervals,model_dependence_sensitivity_not_causal_effect_or_discrimination_evidence
marginal_within_outer_test_fold,31049,1200,0.8791666666666667,0.10360343926111303,0.13333333333333333,0.135,0.05798862490054187,0.16666674819736121,0.6210211647446707,0.6360452170862891,0.567602077831626,0.24333333333333335,0.9226804123711341,0.8112128146453089,0.17424242424242425,0.34260632657334306,0.5514626110693018,0.5727170716607336,0.5872246015797409,0.4915401973792529,0.2833333333333333,0.7938144329896907,0.7860411899313501,0.18181818181818182,0.4047659145642734,0.658156689677826,-0.04830409308393713,-0.04882061550654826,-0.07606188045237305,0.03999999999999998,-0.1288659793814434,-0.02517162471395884,0.007575757575757569,0.062159587990930354,0.1066940786085242,dependent_random_perturbation_repetitions_descriptive_not_confidence_intervals,model_dependence_sensitivity_not_causal_effect_or_discrimination_evidence
marginal_within_outer_test_fold,31050,1200,0.875,0.099610009250551,0.12666666666666668,0.12666666666666668,0.04832571533303054,0.13887232945727496,0.6210211647446707,0.6360452170862891,0.567602077831626,0.24333333333333335,0.9226804123711341,0.8112128146453089,0.17424242424242425,0.34260632657334306,0.5514626110693018,0.5698783241818804,0.582692205501189,0.49063315152952325,0.29333333333333333,0.788659793814433,0.7700228832951945,0.1893939393939394,0.40634587054772303,0.6560908090215918,-0.05114284056279028,-0.053353011585100085,-0.07696892630210272,0.04999999999999999,-0.1340206185567011,-0.041189931350114395,0.015151515151515138,0.06373954397437998,0.10462819795228995,dependent_random_perturbation_repetitions_descriptive_not_confidence_intervals,model_dependence_sensitivity_not_causal_effect_or_discrimination_evidence
marginal_within_outer_test_fold,31051,1200,0.885,0.10572774578697265,0.12916666666666668,0.12916666666666668,0.057389550991629235,0.16134908566096176,0.6210211647446707,0.6360452170862891,0.567602077831626,0.24333333333333335,0.9226804123711341,0.8112128146453089,0.17424242424242425,0.34260632657334306,0.5514626110693018,0.5795518513119884,0.5965225040515799,0.505897429812279,0.2841666666666667,0.8092783505154639,0.7757437070938215,0.20454545454545456,0.40898282034307165,0.6614505345528358,-0.04146931343268234,-0.03952271303470922,-0.06170464801934694,0.04083333333333333,-0.11340206185567014,-0.035469107551487467,0.030303030303030304,0.0663764937697286,0.10998792348353392,dependent_random_perturbation_repetitions_descriptive_not_confidence_intervals,model_dependence_sensitivity_not_causal_effect_or_discrimination_evidence
