formulation_id,candidate_index,candidate_parameters_json,selected_count,total_outer_selections,selection_fraction,interpretation
primary_three_class,0,"{""class_weight"":null,""max_depth"":3,""min_child_weight"":1.0}",1,25,0.04,descriptive_selection_frequency_not_model_probability
primary_three_class,1,"{""class_weight"":""balanced"",""max_depth"":3,""min_child_weight"":1.0}",5,25,0.2,descriptive_selection_frequency_not_model_probability
primary_three_class,2,"{""class_weight"":null,""max_depth"":3,""min_child_weight"":5.0}",4,25,0.16,descriptive_selection_frequency_not_model_probability
primary_three_class,3,"{""class_weight"":""balanced"",""max_depth"":3,""min_child_weight"":5.0}",1,25,0.04,descriptive_selection_frequency_not_model_probability
primary_three_class,4,"{""class_weight"":null,""max_depth"":5,""min_child_weight"":1.0}",2,25,0.08,descriptive_selection_frequency_not_model_probability
primary_three_class,5,"{""class_weight"":""balanced"",""max_depth"":5,""min_child_weight"":1.0}",8,25,0.32,descriptive_selection_frequency_not_model_probability
primary_three_class,6,"{""class_weight"":null,""max_depth"":5,""min_child_weight"":5.0}",2,25,0.08,descriptive_selection_frequency_not_model_probability
primary_three_class,7,"{""class_weight"":""balanced"",""max_depth"":5,""min_child_weight"":5.0}",2,25,0.08,descriptive_selection_frequency_not_model_probability
raw_order_four_class,0,"{""class_weight"":null,""max_depth"":3,""min_child_weight"":1.0}",1,25,0.04,descriptive_selection_frequency_not_model_probability
raw_order_four_class,1,"{""class_weight"":""balanced"",""max_depth"":3,""min_child_weight"":1.0}",5,25,0.2,descriptive_selection_frequency_not_model_probability
raw_order_four_class,2,"{""class_weight"":null,""max_depth"":3,""min_child_weight"":5.0}",1,25,0.04,descriptive_selection_frequency_not_model_probability
raw_order_four_class,3,"{""class_weight"":""balanced"",""max_depth"":3,""min_child_weight"":5.0}",0,25,0.0,descriptive_selection_frequency_not_model_probability
raw_order_four_class,4,"{""class_weight"":null,""max_depth"":5,""min_child_weight"":1.0}",2,25,0.08,descriptive_selection_frequency_not_model_probability
raw_order_four_class,5,"{""class_weight"":""balanced"",""max_depth"":5,""min_child_weight"":1.0}",14,25,0.56,descriptive_selection_frequency_not_model_probability
raw_order_four_class,6,"{""class_weight"":null,""max_depth"":5,""min_child_weight"":5.0}",0,25,0.0,descriptive_selection_frequency_not_model_probability
raw_order_four_class,7,"{""class_weight"":""balanced"",""max_depth"":5,""min_child_weight"":5.0}",2,25,0.08,descriptive_selection_frequency_not_model_probability
