formulation_id,formulation_role,raw_target_value,mapped_label,observed_support,observed_in_dataset,mapping_rationale,target_equivalence_claim_allowed
primary_three_class,retained_primary_mapping,PIP,2,13,True,Retains the canonical v2 mapping onto the INX-like 2/3/4 scale; it does not establish target equivalence.,False
primary_three_class,retained_primary_mapping,Needs Improvement,2,18,True,Retains the canonical v2 mapping onto the INX-like 2/3/4 scale; it does not establish target equivalence.,False
primary_three_class,retained_primary_mapping,Fully Meets,3,243,True,Retains the canonical v2 mapping onto the INX-like 2/3/4 scale; it does not establish target equivalence.,False
primary_three_class,retained_primary_mapping,Exceeds,4,37,True,Retains the canonical v2 mapping onto the INX-like 2/3/4 scale; it does not establish target equivalence.,False
primary_three_class,retained_primary_mapping,Exceptional,4,0,False,Retains the canonical v2 mapping onto the INX-like 2/3/4 scale; it does not establish target equivalence.,False
raw_order_four_class,supplementary_mapping_sensitivity,PIP,1,13,True,Preserves the dataset's ordered raw performance categories and isolates sensitivity to merging PIP with Needs Improvement; the unobserved Exceptional category shares the highest label without fabricating observations.,False
raw_order_four_class,supplementary_mapping_sensitivity,Needs Improvement,2,18,True,Preserves the dataset's ordered raw performance categories and isolates sensitivity to merging PIP with Needs Improvement; the unobserved Exceptional category shares the highest label without fabricating observations.,False
raw_order_four_class,supplementary_mapping_sensitivity,Fully Meets,3,243,True,Preserves the dataset's ordered raw performance categories and isolates sensitivity to merging PIP with Needs Improvement; the unobserved Exceptional category shares the highest label without fabricating observations.,False
raw_order_four_class,supplementary_mapping_sensitivity,Exceeds,4,37,True,Preserves the dataset's ordered raw performance categories and isolates sensitivity to merging PIP with Needs Improvement; the unobserved Exceptional category shares the highest label without fabricating observations.,False
raw_order_four_class,supplementary_mapping_sensitivity,Exceptional,4,0,False,Preserves the dataset's ordered raw performance categories and isolates sensitivity to merging PIP with Needs Improvement; the unobserved Exceptional category shares the highest label without fabricating observations.,False
