dataset_key,schema_stage,column_position,column_name,pandas_dtype,source_column,transformation,missing_count,schema_sha256
inx_primary,raw,1,EmpNumber,str,EmpNumber,none_raw_profile,0,55b779e653a1e6dcd0e6f23e3a1aa98bc8b4bd68080ac42b88b2eb916eb2f0d7
inx_primary,raw,2,Age,int64,Age,none_raw_profile,0,55b779e653a1e6dcd0e6f23e3a1aa98bc8b4bd68080ac42b88b2eb916eb2f0d7
inx_primary,raw,3,Gender,str,Gender,none_raw_profile,0,55b779e653a1e6dcd0e6f23e3a1aa98bc8b4bd68080ac42b88b2eb916eb2f0d7
inx_primary,raw,4,EducationBackground,str,EducationBackground,none_raw_profile,0,55b779e653a1e6dcd0e6f23e3a1aa98bc8b4bd68080ac42b88b2eb916eb2f0d7
inx_primary,raw,5,MaritalStatus,str,MaritalStatus,none_raw_profile,0,55b779e653a1e6dcd0e6f23e3a1aa98bc8b4bd68080ac42b88b2eb916eb2f0d7
inx_primary,raw,6,EmpDepartment,str,EmpDepartment,none_raw_profile,0,55b779e653a1e6dcd0e6f23e3a1aa98bc8b4bd68080ac42b88b2eb916eb2f0d7
inx_primary,raw,7,EmpJobRole,str,EmpJobRole,none_raw_profile,0,55b779e653a1e6dcd0e6f23e3a1aa98bc8b4bd68080ac42b88b2eb916eb2f0d7
inx_primary,raw,8,BusinessTravelFrequency,str,BusinessTravelFrequency,none_raw_profile,0,55b779e653a1e6dcd0e6f23e3a1aa98bc8b4bd68080ac42b88b2eb916eb2f0d7
inx_primary,raw,9,DistanceFromHome,int64,DistanceFromHome,none_raw_profile,0,55b779e653a1e6dcd0e6f23e3a1aa98bc8b4bd68080ac42b88b2eb916eb2f0d7
inx_primary,raw,10,EmpEducationLevel,int64,EmpEducationLevel,none_raw_profile,0,55b779e653a1e6dcd0e6f23e3a1aa98bc8b4bd68080ac42b88b2eb916eb2f0d7
inx_primary,raw,11,EmpEnvironmentSatisfaction,int64,EmpEnvironmentSatisfaction,none_raw_profile,0,55b779e653a1e6dcd0e6f23e3a1aa98bc8b4bd68080ac42b88b2eb916eb2f0d7
inx_primary,raw,12,EmpHourlyRate,int64,EmpHourlyRate,none_raw_profile,0,55b779e653a1e6dcd0e6f23e3a1aa98bc8b4bd68080ac42b88b2eb916eb2f0d7
inx_primary,raw,13,EmpJobInvolvement,int64,EmpJobInvolvement,none_raw_profile,0,55b779e653a1e6dcd0e6f23e3a1aa98bc8b4bd68080ac42b88b2eb916eb2f0d7
inx_primary,raw,14,EmpJobLevel,int64,EmpJobLevel,none_raw_profile,0,55b779e653a1e6dcd0e6f23e3a1aa98bc8b4bd68080ac42b88b2eb916eb2f0d7
inx_primary,raw,15,EmpJobSatisfaction,int64,EmpJobSatisfaction,none_raw_profile,0,55b779e653a1e6dcd0e6f23e3a1aa98bc8b4bd68080ac42b88b2eb916eb2f0d7
inx_primary,raw,16,NumCompaniesWorked,int64,NumCompaniesWorked,none_raw_profile,0,55b779e653a1e6dcd0e6f23e3a1aa98bc8b4bd68080ac42b88b2eb916eb2f0d7
inx_primary,raw,17,OverTime,str,OverTime,none_raw_profile,0,55b779e653a1e6dcd0e6f23e3a1aa98bc8b4bd68080ac42b88b2eb916eb2f0d7
inx_primary,raw,18,EmpLastSalaryHikePercent,int64,EmpLastSalaryHikePercent,none_raw_profile,0,55b779e653a1e6dcd0e6f23e3a1aa98bc8b4bd68080ac42b88b2eb916eb2f0d7
inx_primary,raw,19,EmpRelationshipSatisfaction,int64,EmpRelationshipSatisfaction,none_raw_profile,0,55b779e653a1e6dcd0e6f23e3a1aa98bc8b4bd68080ac42b88b2eb916eb2f0d7
inx_primary,raw,20,TotalWorkExperienceInYears,int64,TotalWorkExperienceInYears,none_raw_profile,0,55b779e653a1e6dcd0e6f23e3a1aa98bc8b4bd68080ac42b88b2eb916eb2f0d7
inx_primary,raw,21,TrainingTimesLastYear,int64,TrainingTimesLastYear,none_raw_profile,0,55b779e653a1e6dcd0e6f23e3a1aa98bc8b4bd68080ac42b88b2eb916eb2f0d7
inx_primary,raw,22,EmpWorkLifeBalance,int64,EmpWorkLifeBalance,none_raw_profile,0,55b779e653a1e6dcd0e6f23e3a1aa98bc8b4bd68080ac42b88b2eb916eb2f0d7
inx_primary,raw,23,ExperienceYearsAtThisCompany,int64,ExperienceYearsAtThisCompany,none_raw_profile,0,55b779e653a1e6dcd0e6f23e3a1aa98bc8b4bd68080ac42b88b2eb916eb2f0d7
inx_primary,raw,24,ExperienceYearsInCurrentRole,int64,ExperienceYearsInCurrentRole,none_raw_profile,0,55b779e653a1e6dcd0e6f23e3a1aa98bc8b4bd68080ac42b88b2eb916eb2f0d7
inx_primary,raw,25,YearsSinceLastPromotion,int64,YearsSinceLastPromotion,none_raw_profile,0,55b779e653a1e6dcd0e6f23e3a1aa98bc8b4bd68080ac42b88b2eb916eb2f0d7
inx_primary,raw,26,YearsWithCurrManager,int64,YearsWithCurrManager,none_raw_profile,0,55b779e653a1e6dcd0e6f23e3a1aa98bc8b4bd68080ac42b88b2eb916eb2f0d7
inx_primary,raw,27,Attrition,str,Attrition,none_raw_profile,0,55b779e653a1e6dcd0e6f23e3a1aa98bc8b4bd68080ac42b88b2eb916eb2f0d7
