artifact_id,path,role,evidence_identity,file_count,size_bytes,manifest_path,manifest_sha256,release_inclusion
canonical_v2_manuscript_assets,manuscript/mdpi_information/assets,historical_v2_compact_manuscript_support,canonical_v2_20260714T221501Z_483f96f,109,10338351,manuscript/mdpi_information/assets/manifests/manuscript_asset_manifest.json,fbe7355b956df01ad9817f27b42dc13c0f3e0e33e7f0e5c42a2477beb9d001e1,candidate_tracked_component_after_final_gate
phase1b_ordinal_benchmark,reports/research_log/major_revision_v3/phase1b_ordinal_benchmark,v3_compact_aggregate_evidence,phase1b_v3_20260903T130912Z_dc5cb8b,9,71654,reports/research_log/major_revision_v3/phase1b_ordinal_benchmark/manifest.json,b97b558d8c373958d79847b4e8d568ca6f670e5438859df56213799601f3d389,candidate_tracked_component_after_final_gate
phase1c_repeated_nested_cv,reports/research_log/major_revision_v3/phase1c_repeated_nested_cv,v3_compact_aggregate_evidence,phase1c_v3_20260903T215015Z_78649c4,9,255182,reports/research_log/major_revision_v3/phase1c_repeated_nested_cv/manifest.json,ce930c634e6108e6a9859df6eaac628bacde98cd7b71563ad0a067dc1849638b,candidate_tracked_component_after_final_gate
phase1d_policy_retuning,reports/research_log/major_revision_v3/phase1d_policy_retuning,v3_compact_aggregate_evidence,phase1d_v3_20260904T063324Z_823c848,7,92567,reports/research_log/major_revision_v3/phase1d_policy_retuning/manifest.json,57f00a27f7de87f2f931fef1b29f7435e5869f77b14f065d98b7dbd19d2c1303,candidate_tracked_component_after_final_gate
phase2a_shap_stability_faithfulness,reports/research_log/major_revision_v3/phase2a_shap_stability_faithfulness,v3_compact_aggregate_evidence,phase2a_v3_20260904T073008Z_6e52de7,8,24079,reports/research_log/major_revision_v3/phase2a_shap_stability_faithfulness/manifest.json,4cd7bcace03d556e2bd27eea4dca87143745914ddd56136476edc6c662e44481,candidate_tracked_component_after_final_gate
phase2b_calibration_diagnostics,reports/research_log/major_revision_v3/phase2b_calibration_diagnostics,v3_compact_aggregate_evidence,phase2b_v3_20260904T120838Z_21d1aec,13,757267,reports/research_log/major_revision_v3/phase2b_calibration_diagnostics/manifest.json,196d9eea87a160b375ddf215fc131142598b0338fa373a7474aaaa1b865d29f3,candidate_tracked_component_after_final_gate
phase2c_subgroup_proxy_use,reports/research_log/major_revision_v3/phase2c_subgroup_proxy_use,v3_compact_aggregate_evidence,phase2c_v3_20260907T070905Z_e314bb5,12,994542,reports/research_log/major_revision_v3/phase2c_subgroup_proxy_use/manifest.json,0720d0575154b850a0d3cb89b9bb09403dd514f1e9ebde87ff458189185077f0,candidate_tracked_component_after_final_gate
phase3a_hrdataset_sensitivity,reports/research_log/major_revision_v3/phase3a_hrdataset_sensitivity,v3_compact_aggregate_evidence,phase3a_v3_20260907T141213Z_f6e6a0a,14,409991,reports/research_log/major_revision_v3/phase3a_hrdataset_sensitivity/manifest.json,415f1bc5d346c282e51dcc1212335c80c0ee3cd7a673180b22bc4b36f52d1651,candidate_tracked_component_after_final_gate
phase3b_data_quality,reports/research_log/major_revision_v3/phase3b_data_quality,v3_compact_aggregate_evidence,phase3b_v3_20260907T154418Z_0d9643b,13,53868,reports/research_log/major_revision_v3/phase3b_data_quality/manifest.json,07083ec83ac01e9393995b30c697190e2ee5221cd54aa3b54fbde01072f57eea,candidate_tracked_component_after_final_gate
phase4a_literature,reports/research_log/major_revision_v3/phase4a_literature,v3_source_verified_positioning_evidence,e408208bbd7fb3071c47717f21ef521b1917e93a,9,58534,reports/research_log/major_revision_v3/phase4a_literature/manifest.json,e7b8fdd654c228344d13ec37c8817414b977a5173e5ca3721cbd2641b61c1730,candidate_tracked_component_after_final_gate
